"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","5,000.0","4,750.0","5,000.0","4,520.0","152.43K","4.71%"
"02/12/2026","4,775.0","4,880.0","4,880.0","4,775.0","49.75K","-2.15%"
"02/11/2026","4,880.0","4,850.0","4,945.0","4,850.0","543.15K","-1.61%"
"02/10/2026","4,960.0","4,855.0","4,960.0","4,800.0","169.11K","1.85%"
"02/09/2026","4,870.0","4,875.0","4,940.0","4,780.0","568.61K","-0.20%"
"02/06/2026","4,880.0","4,800.0","4,920.0","4,720.0","802.37K","1.67%"
"02/05/2026","4,800.0","4,650.0","4,980.0","4,650.0","543.98K","-1.03%"
"02/04/2026","4,850.0","4,830.0","4,850.0","4,600.0","435.55K","-1.72%"
"02/03/2026","4,935.0","4,900.0","5,010.0","4,850.0","134.85K","-1.10%"
"02/02/2026","4,990.0","5,100.0","5,100.0","4,905.0","195.73K","-2.16%"
"01/30/2026","5,100.0","5,050.0","5,100.0","5,000.0","154.03K","0.99%"
"01/29/2026","5,050.0","5,070.0","5,070.0","5,030.0","209.75K","0.00%"
"01/28/2026","5,050.0","5,020.0","5,090.0","5,000.0","244.69K","0.80%"
"01/27/2026","5,010.0","4,960.0","5,040.0","4,960.0","144.43K","0.20%"
"01/26/2026","5,000.0","4,990.0","5,050.0","4,970.0","348.51K","1.01%"
"01/23/2026","4,950.0","4,900.0","4,950.0","4,835.0","145.99K","1.02%"
"01/22/2026","4,900.0","4,975.0","5,000.0","4,900.0","241.97K","-1.51%"
"01/21/2026","4,975.0","4,930.0","4,975.0","4,910.0","321.58K","1.12%"
"01/20/2026","4,920.0","4,850.0","4,980.0","4,850.0","988.93K","1.44%"
"01/19/2026","4,850.0","4,690.0","4,850.0","4,655.0","2.01M","3.41%"
"01/16/2026","4,690.0","4,600.0","4,690.0","4,590.0","488.51K","1.96%"
"01/15/2026","4,600.0","4,595.0","4,650.0","4,580.0","502.41K","0.33%"
"01/14/2026","4,585.0","4,525.0","4,590.0","4,520.0","324.56K","-0.11%"
"01/13/2026","4,590.0","4,600.0","4,600.0","4,515.0","194.47K","-0.22%"
"01/09/2026","4,600.0","4,570.0","4,600.0","4,560.0","72.62K","0.00%"
"01/08/2026","4,600.0","4,630.0","4,630.0","4,600.0","49.85K","-0.65%"
"01/07/2026","4,630.0","4,490.0","4,630.0","4,460.0","420.20K","3.12%"
"01/06/2026","4,490.0","4,500.0","4,555.0","4,485.0","194.69K","-0.66%"
"01/05/2026","4,520.0","4,300.0","4,520.0","4,255.0","240.25K","5.12%"
"01/02/2026","4,300.0","4,255.0","4,310.0","4,220.0","178.05K","1.06%"
"12/30/2025","4,255.0","4,390.0","4,390.0","4,255.0","27.85M","-3.08%"
"12/29/2025","4,390.0","4,390.0","4,390.0","4,390.0","34.50K","1.15%"
"12/26/2025","4,340.0","4,380.0","4,380.0","4,340.0","35.11K","-1.59%"
"12/24/2025","4,410.0","4,410.0","4,410.0","4,410.0","17.92K","-0.23%"
"12/23/2025","4,420.0","4,410.0","4,420.0","4,410.0","62.36K","0.00%"
"12/22/2025","4,420.0","4,315.0","4,490.0","4,310.0","260.15K","0.45%"
"12/19/2025","4,400.0","4,360.0","4,400.0","4,360.0","540.34K","0.57%"
"12/18/2025","4,375.0","4,430.0","4,430.0","4,265.0","123.14K","-1.24%"
"12/17/2025","4,430.0","4,430.0","4,430.0","4,430.0","14.37K","-1.23%"
"12/16/2025","4,485.0","4,490.0","4,495.0","4,485.0","122.29K","-1.64%"
"12/15/2025","4,560.0","4,560.0","4,560.0","4,450.0","142.68K","0.00%"
"12/12/2025","4,560.0","4,550.0","4,595.0","4,500.0","58.95K","-0.76%"
"12/11/2025","4,595.0","4,580.0","4,630.0","4,500.0","7.12M","-0.11%"
"12/10/2025","4,600.0","4,660.0","4,690.0","4,560.0","325.69K","0.00%"
"12/09/2025","4,600.0","4,545.0","4,600.0","4,545.0","127.50K","1.21%"
"12/05/2025","4,545.0","4,460.0","4,545.0","4,450.0","94.68K","0.44%"
"12/04/2025","4,525.0","4,515.0","4,545.0","4,500.0","94.51K","-0.44%"
"12/03/2025","4,545.0","4,525.0","4,545.0","4,500.0","136.83K","-0.76%"
"12/02/2025","4,580.0","4,620.0","4,670.0","4,520.0","123.95K","-1.19%"
"12/01/2025","4,635.0","4,600.0","4,685.0","4,550.0","178.64K","0.76%"
"11/28/2025","4,600.0","4,490.0","4,615.0","4,490.0","227.64K","2.68%"
"11/27/2025","4,480.0","4,500.0","4,500.0","4,380.0","127.27K","-0.44%"
"11/26/2025","4,500.0","4,570.0","4,590.0","4,500.0","127.61K","0.00%"
"11/25/2025","4,500.0","4,450.0","4,500.0","4,305.0","454.84K","-2.17%"
"11/24/2025","4,600.0","4,700.0","4,730.0","4,600.0","11.16M","-2.75%"
"11/21/2025","4,730.0","4,720.0","4,745.0","4,615.0","351.16K","-0.21%"
"11/20/2025","4,740.0","4,800.0","4,800.0","4,710.0","517.58K","-2.27%"
"11/19/2025","4,850.0","4,850.0","4,880.0","4,820.0","559.39K","0.00%"
"11/18/2025","4,850.0","4,600.0","4,935.0","4,600.0","1.47M","4.64%"
"11/14/2025","4,635.0","4,305.0","4,640.0","4,305.0","869.98K","4.39%"
"11/13/2025","4,440.0","4,200.0","4,440.0","4,200.0","1.15M","6.60%"
"11/12/2025","4,165.0","4,170.0","4,250.0","4,160.0","939.22K","0.36%"
"11/11/2025","4,150.0","4,000.0","4,200.0","4,000.0","473.64K","4.14%"
"11/10/2025","3,985.0","4,060.0","4,080.0","3,910.0","180.99K","0.13%"
"11/07/2025","3,980.0","3,950.0","3,985.0","3,915.0","479.64K","1.53%"
"11/06/2025","3,920.0","3,800.0","3,940.0","3,800.0","848.02K","2.22%"
"11/05/2025","3,835.0","3,655.0","3,850.0","3,650.0","444.94K","3.65%"
"11/04/2025","3,700.0","3,700.0","3,730.0","3,700.0","181.24K","0.00%"
"10/31/2025","3,700.0","3,725.0","3,790.0","3,700.0","1.38M","0.00%"
"10/30/2025","3,700.0","3,645.0","3,735.0","3,635.0","812.27K","1.79%"
"10/29/2025","3,635.0","3,470.0","3,635.0","3,470.0","17.01M","4.76%"
"10/28/2025","3,470.0","3,350.0","3,470.0","3,350.0","3.36M","3.58%"
"10/27/2025","3,350.0","3,300.0","3,350.0","3,300.0","2.26M","1.52%"
"10/24/2025","3,300.0","3,220.0","3,320.0","3,220.0","111.32K","3.45%"
"10/23/2025","3,190.0","3,135.0","3,220.0","3,120.0","387.13K","1.75%"
"10/22/2025","3,135.0","3,140.0","3,140.0","3,120.0","60.47K","0.16%"
"10/21/2025","3,130.0","3,170.0","3,175.0","3,130.0","882.17K","-0.48%"
"10/20/2025","3,145.0","3,130.0","3,145.0","3,115.0","137.21K","0.48%"
"10/17/2025","3,130.0","3,190.0","3,190.0","3,130.0","329.61K","-0.16%"
"10/16/2025","3,135.0","3,130.0","3,165.0","3,130.0","147.23K","0.32%"
"10/15/2025","3,125.0","3,165.0","3,165.0","3,115.0","1.49M","0.00%"
"10/14/2025","3,125.0","3,140.0","3,195.0","3,100.0","261.23K","-1.42%"
"10/10/2025","3,170.0","3,175.0","3,195.0","3,170.0","69.34K","-0.16%"
"10/09/2025","3,175.0","3,175.0","3,175.0","3,140.0","35.80K","-0.16%"
"10/08/2025","3,180.0","3,185.0","3,185.0","3,160.0","40.25K","0.00%"
"10/07/2025","3,180.0","3,175.0","3,200.0","3,150.0","75.20K","-0.31%"
"10/06/2025","3,190.0","3,205.0","3,225.0","3,190.0","49.55K","0.16%"
"10/03/2025","3,185.0","3,185.0","3,200.0","3,180.0","62.11K","-0.93%"
"10/02/2025","3,215.0","3,200.0","3,215.0","3,175.0","42.64K","-0.16%"
"10/01/2025","3,220.0","3,240.0","3,240.0","3,220.0","62.25K","0.00%"
"09/30/2025","3,220.0","3,210.0","3,235.0","3,185.0","160.63K","0.16%"
"09/29/2025","3,215.0","3,160.0","3,215.0","3,160.0","133.57K","2.06%"
"09/26/2025","3,150.0","3,170.0","3,170.0","3,080.0","265.95K","-0.63%"
"09/25/2025","3,170.0","3,205.0","3,205.0","3,170.0","80.01K","-0.63%"
"09/24/2025","3,190.0","3,220.0","3,225.0","3,065.0","373.60K","-0.31%"
"09/23/2025","3,200.0","3,195.0","3,205.0","3,190.0","79.27K","1.11%"
"09/22/2025","3,165.0","3,200.0","3,200.0","3,140.0","2.86M","0.48%"
"09/19/2025","3,150.0","3,150.0","3,220.0","3,150.0","652.79K","-2.78%"
"09/18/2025","3,240.0","3,310.0","3,310.0","3,190.0","335.16K","-1.67%"
"09/17/2025","3,295.0","3,375.0","3,380.0","3,065.0","42.74M","-3.09%"
"09/16/2025","3,400.0","3,320.0","3,480.0","3,320.0","4.24M","4.13%"
"09/15/2025","3,265.0","3,315.0","3,315.0","3,235.0","392.22K","-1.66%"
"09/12/2025","3,320.0","3,345.0","3,345.0","3,320.0","118.82K","-0.60%"
"09/11/2025","3,340.0","3,315.0","3,340.0","3,315.0","245.72K","0.30%"
"09/10/2025","3,330.0","3,320.0","3,330.0","3,320.0","55.97K","0.00%"
"09/09/2025","3,330.0","3,355.0","3,355.0","3,330.0","495.22K","0.45%"
"09/08/2025","3,315.0","3,345.0","3,345.0","3,315.0","109.01K","-1.04%"
"09/05/2025","3,350.0","3,355.0","3,360.0","3,345.0","54.59K","0.15%"
"09/04/2025","3,345.0","3,355.0","3,360.0","3,260.0","234.41K","-1.33%"
"09/03/2025","3,390.0","3,345.0","3,390.0","3,345.0","183.20K","1.50%"
"09/02/2025","3,340.0","3,305.0","3,360.0","3,295.0","396.23K","0.91%"
"09/01/2025","3,310.0","3,340.0","3,340.0","3,260.0","197.47K","-0.60%"
"08/29/2025","3,330.0","3,275.0","3,350.0","3,240.0","663.87K","0.91%"
"08/28/2025","3,300.0","3,330.0","3,345.0","3,260.0","227.94K","0.00%"
"08/27/2025","3,300.0","3,270.0","3,335.0","3,270.0","189.31K","1.54%"
"08/26/2025","3,250.0","3,250.0","3,250.0","3,250.0","30.16K","0.46%"
"08/25/2025","3,235.0","3,215.0","3,235.0","3,215.0","43.41K","0.47%"
"08/22/2025","3,220.0","3,300.0","3,300.0","3,215.0","1.04M","-0.31%"
"08/21/2025","3,230.0","3,250.0","3,250.0","3,220.0","174.50K","-0.15%"
"08/20/2025","3,235.0","3,240.0","3,240.0","3,200.0","174.33K","-1.07%"
"08/19/2025","3,270.0","3,265.0","3,285.0","3,235.0","504.82K","0.31%"
"08/15/2025","3,260.0","3,300.0","3,320.0","3,260.0","2.04M","-1.21%"
"08/14/2025","3,300.0","3,330.0","3,430.0","3,055.0","54.67M","-2.08%"
"08/13/2025","3,370.0","3,350.0","3,380.0","3,300.0","653.42K","3.37%"
"08/12/2025","3,260.0","3,170.0","3,315.0","3,170.0","403.07K","2.35%"
"08/11/2025","3,185.0","3,170.0","3,185.0","3,140.0","485.61K","1.11%"
"08/08/2025","3,150.0","3,150.0","3,160.0","3,150.0","72.08K","0.16%"
"08/06/2025","3,145.0","3,110.0","3,150.0","3,110.0","438.67K","0.16%"
"08/05/2025","3,140.0","3,075.0","3,140.0","3,070.0","218.68K","2.45%"
"08/04/2025","3,065.0","3,095.0","3,100.0","3,065.0","102.61K","-0.65%"
"08/01/2025","3,085.0","3,090.0","3,095.0","3,080.0","82.59K","-0.16%"
"07/31/2025","3,090.0","3,100.0","3,100.0","3,080.0","231.23K","0.00%"
"07/30/2025","3,090.0","3,120.0","3,120.0","3,080.0","83.93K","0.32%"
"07/29/2025","3,080.0","3,140.0","3,140.0","3,080.0","150.60K","-0.81%"
"07/28/2025","3,105.0","3,110.0","3,145.0","3,090.0","146.20K","-0.80%"
"07/25/2025","3,130.0","3,145.0","3,145.0","3,110.0","159.83K","-1.26%"
"07/24/2025","3,170.0","3,125.0","3,185.0","3,125.0","183.11K","0.32%"
"07/23/2025","3,160.0","3,105.0","3,160.0","3,090.0","255.40K","1.94%"
"07/22/2025","3,100.0","3,080.0","3,125.0","3,070.0","70.82K","-0.96%"
"07/21/2025","3,130.0","3,085.0","3,130.0","3,070.0","173.45K","0.48%"
"07/18/2025","3,115.0","3,120.0","3,120.0","3,100.0","177.63K","-0.16%"
"07/17/2025","3,120.0","3,050.0","3,200.0","3,050.0","201.84K","0.16%"
"07/16/2025","3,115.0","3,100.0","3,120.0","3,040.0","144.63K","-0.16%"
"07/15/2025","3,120.0","3,130.0","3,160.0","3,110.0","215.40K","-0.95%"
"07/14/2025","3,150.0","3,160.0","3,160.0","3,120.0","83.97K","0.32%"
"07/11/2025","3,140.0","3,115.0","3,170.0","3,070.0","271.21K","0.64%"
"07/10/2025","3,120.0","2,990.0","3,195.0","2,990.0","726.35K","4.00%"
"07/09/2025","3,000.0","2,770.0","3,000.0","2,770.0","686.14K","8.30%"
"07/08/2025","2,770.0","2,735.0","2,770.0","2,735.0","60.45K","1.47%"
