"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","815.0","813.0","815.0","800.0","1.34M","0.74%"
"02/12/2026","809.0","819.0","819.0","800.0","629.89K","-0.49%"
"02/11/2026","813.0","820.0","829.0","810.0","3.54M","-1.93%"
"02/10/2026","829.0","815.0","832.0","813.0","5.67M","1.72%"
"02/09/2026","815.0","823.0","825.0","804.0","7.97M","1.62%"
"02/06/2026","802.0","816.0","832.0","802.0","8.15M","-1.72%"
"02/05/2026","816.0","843.0","846.0","816.0","4.56M","-3.20%"
"02/04/2026","843.0","880.0","880.0","840.0","1.49M","-3.99%"
"02/03/2026","878.0","870.0","883.0","863.0","885.14K","1.74%"
"02/02/2026","863.0","891.0","891.0","860.0","2.25M","-3.58%"
"01/30/2026","895.0","928.0","928.0","895.0","1.78M","-3.97%"
"01/29/2026","932.0","931.0","936.0","928.0","723.37K","-1.89%"
"01/28/2026","950.0","960.0","960.0","920.0","1.42M","0.00%"
"01/27/2026","950.0","919.0","965.0","919.0","3.03M","4.86%"
"01/26/2026","906.0","868.0","906.0","865.0","2.57M","4.26%"
"01/23/2026","869.0","838.0","869.0","838.0","13.37M","2.84%"
"01/22/2026","845.0","845.0","850.0","842.0","16.16M","0.60%"
"01/21/2026","840.0","820.0","845.0","820.0","13.15M","3.07%"
"01/20/2026","815.0","799.0","817.0","799.0","11.28M","2.52%"
"01/19/2026","795.0","788.0","800.0","788.0","1.07M","0.89%"
"01/16/2026","788.0","776.0","788.0","776.0","5.31M","1.55%"
"01/15/2026","776.0","780.0","780.0","773.0","7.95M","-0.51%"
"01/14/2026","780.0","778.0","789.0","770.0","2.81M","0.39%"
"01/13/2026","777.0","767.0","777.0","767.0","6.52M","1.30%"
"01/09/2026","767.0","766.0","776.0","766.0","1.23M","-0.90%"
"01/08/2026","774.0","767.0","775.0","760.0","6.09M","0.52%"
"01/07/2026","770.0","770.0","770.0","770.0","107.55K","0.00%"
"01/06/2026","770.0","774.0","779.0","770.0","662.67K","0.79%"
"01/05/2026","764.0","761.0","769.0","761.0","1.84M","0.39%"
"01/02/2026","761.0","769.0","770.0","761.0","275.90K","-1.17%"
"12/30/2025","770.0","770.0","770.0","759.0","1.55M","-0.77%"
"12/29/2025","776.0","766.0","776.0","766.0","447.59K","1.70%"
"12/26/2025","763.0","763.0","763.0","762.0","198.50K","0.26%"
"12/24/2025","761.0","760.0","761.0","760.0","172.00K","0.13%"
"12/23/2025","760.0","762.0","762.0","760.0","1.60M","-0.65%"
