"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","27,460.0","26,100.0","27,460.0","26,100.0","34.30K","1.70%"
"02/12/2026","27,000.0","27,360.0","27,360.0","26,500.0","17.96K","-1.82%"
"02/11/2026","27,500.0","28,000.0","28,080.0","27,500.0","23.47K","-4.18%"
"02/10/2026","28,700.0","28,700.0","28,700.0","27,620.0","10.32K","3.91%"
"02/09/2026","27,620.0","27,620.0","27,900.0","27,600.0","3.29K","0.00%"
"02/06/2026","27,620.0","27,620.0","27,800.0","27,340.0","5.25K","-3.76%"
"02/05/2026","28,700.0","26,660.0","28,700.0","26,500.0","24.55K","4.06%"
"02/04/2026","27,580.0","27,600.0","27,600.0","26,600.0","13.74K","-0.36%"
"02/03/2026","27,680.0","27,680.0","27,680.0","27,680.0","2.93K","0.00%"
"02/02/2026","27,680.0","27,920.0","27,920.0","27,460.0","9.83K","-1.49%"
"01/30/2026","28,100.0","28,100.0","28,100.0","28,100.0","3.63K","-2.09%"
"01/29/2026","28,700.0","28,780.0","28,780.0","28,200.0","23.79K","-1.03%"
"01/28/2026","29,000.0","28,440.0","29,000.0","28,000.0","45.98K","2.47%"
"01/27/2026","28,300.0","27,840.0","28,300.0","27,640.0","33.31K","4.66%"
"01/26/2026","27,040.0","27,040.0","27,040.0","27,040.0","6.17K","-0.88%"
"01/23/2026","27,280.0","27,040.0","27,300.0","27,000.0","11.90K","0.96%"
"01/22/2026","27,020.0","27,060.0","27,060.0","26,500.0","14.11K","0.07%"
"01/21/2026","27,000.0","26,980.0","27,040.0","26,980.0","6.85K","0.07%"
"01/20/2026","26,980.0","26,880.0","26,980.0","26,420.0","10.16K","1.05%"
"01/19/2026","26,700.0","26,500.0","26,940.0","26,500.0","9.13K","1.52%"
"01/16/2026","26,300.0","26,500.0","26,500.0","26,000.0","13.04K","1.00%"
"01/15/2026","26,040.0","26,380.0","26,480.0","25,800.0","8.80K","-0.53%"
"01/14/2026","26,180.0","26,280.0","26,280.0","26,180.0","3.12K","-0.38%"
"01/13/2026","26,280.0","26,320.0","26,320.0","25,600.0","13.43K","0.61%"
"01/09/2026","26,120.0","25,700.0","26,180.0","25,620.0","8.18K","0.77%"
"01/08/2026","25,920.0","25,700.0","26,720.0","25,500.0","13.08K","0.47%"
"01/07/2026","25,800.0","25,400.0","25,800.0","25,400.0","13.40K","2.46%"
"01/06/2026","25,180.0","25,220.0","25,500.0","25,160.0","15.84K","0.72%"
"01/05/2026","25,000.0","25,000.0","25,300.0","25,000.0","25.15K","0.73%"
"01/02/2026","24,820.0","24,820.0","24,820.0","24,820.0","2.35K","0.00%"
"12/30/2025","24,820.0","25,600.0","25,600.0","24,580.0","34.89K","-3.35%"
"12/29/2025","25,680.0","25,680.0","25,680.0","25,680.0","3.98K","0.00%"
"12/26/2025","25,680.0","25,680.0","25,680.0","25,680.0","4.74K","1.82%"
"12/24/2025","25,220.0","25,220.0","25,220.0","25,220.0","3.31K","0.08%"
"12/23/2025","25,200.0","25,200.0","25,200.0","25,200.0","3.14K","0.32%"
"12/22/2025","25,120.0","24,500.0","25,120.0","24,500.0","15.77K","0.00%"
"12/19/2025","25,120.0","25,200.0","25,200.0","25,000.0","20.97K","-0.79%"
"12/18/2025","25,320.0","25,580.0","25,580.0","25,220.0","17.65K","-0.71%"
"12/17/2025","25,500.0","26,000.0","26,000.0","25,460.0","21.94K","-2.00%"
"12/16/2025","26,020.0","26,200.0","26,200.0","26,020.0","9.49K","-0.84%"
"12/15/2025","26,240.0","26,320.0","26,320.0","26,240.0","4.00K","-0.38%"
"12/12/2025","26,340.0","26,440.0","26,440.0","26,340.0","8.96K","-0.23%"
"12/11/2025","26,400.0","26,860.0","26,860.0","26,400.0","14.45K","-2.15%"
