"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","41,000.0","40,120.0","41,000.0","40,000.0","10.78K","1.99%"
"02/12/2026","40,200.0","41,100.0","41,100.0","40,200.0","16.89K","-2.09%"
"02/11/2026","41,060.0","41,020.0","41,500.0","41,020.0","9.85K","-0.82%"
"02/10/2026","41,400.0","41,300.0","41,400.0","41,300.0","4.03K","0.24%"
"02/09/2026","41,300.0","40,800.0","41,680.0","40,700.0","8.13K","1.47%"
"02/06/2026","40,700.0","40,540.0","41,700.0","40,540.0","5.61K","0.39%"
"02/05/2026","40,540.0","41,200.0","41,200.0","40,540.0","13.17K","-2.50%"
"02/04/2026","41,580.0","42,000.0","42,000.0","40,600.0","41.32K","-1.00%"
"02/03/2026","42,000.0","41,920.0","42,300.0","41,020.0","13.27K","0.19%"
"02/02/2026","41,920.0","42,900.0","42,900.0","41,900.0","25.82K","-2.28%"
"01/30/2026","42,900.0","42,920.0","42,940.0","42,520.0","12.94K","0.00%"
"01/29/2026","42,900.0","43,740.0","43,880.0","42,900.0","18.34K","-2.28%"
"01/28/2026","43,900.0","44,280.0","44,760.0","42,000.0","22.16K","-0.18%"
"01/27/2026","43,980.0","43,680.0","44,660.0","43,680.0","35.53K","0.05%"
"01/26/2026","43,960.0","42,500.0","43,980.0","42,500.0","19.77K","1.24%"
"01/23/2026","43,420.0","43,000.0","43,420.0","42,400.0","14.25K","0.98%"
"01/22/2026","43,000.0","43,320.0","43,800.0","42,980.0","18.44K","-1.83%"
"01/21/2026","43,800.0","42,900.0","44,400.0","42,800.0","25.97K","2.34%"
"01/20/2026","42,800.0","42,200.0","43,480.0","42,200.0","22.58K","1.42%"
"01/19/2026","42,200.0","40,800.0","42,200.0","40,600.0","43.12K","2.98%"
"01/16/2026","40,980.0","39,980.0","40,980.0","39,500.0","60.60K","2.50%"
"01/15/2026","39,980.0","39,880.0","39,980.0","39,040.0","17.25K","0.55%"
"01/14/2026","39,760.0","38,800.0","39,880.0","38,600.0","142.50K","2.42%"
"01/13/2026","38,820.0","39,000.0","39,000.0","38,800.0","20.43K","-0.46%"
"01/09/2026","39,000.0","39,300.0","39,300.0","39,000.0","10.70K","-0.76%"
"01/08/2026","39,300.0","39,400.0","39,400.0","39,300.0","5.46K","0.00%"
"01/07/2026","39,300.0","39,500.0","39,500.0","39,300.0","3.69K","0.00%"
"01/06/2026","39,300.0","39,400.0","39,680.0","39,300.0","33.18K","0.00%"
"01/05/2026","39,300.0","39,300.0","39,480.0","39,300.0","19.85K","0.98%"
"01/02/2026","38,920.0","39,000.0","39,000.0","38,900.0","4.36K","-2.16%"
"12/30/2025","39,780.0","39,100.0","39,800.0","39,000.0","20.54K","-0.80%"
"12/29/2025","40,100.0","39,100.0","40,100.0","39,100.0","5.40K","0.25%"
"12/26/2025","40,000.0","40,000.0","40,100.0","40,000.0","6.93K","0.25%"
"12/24/2025","39,900.0","39,900.0","39,900.0","39,900.0","0.69K","0.00%"
"12/23/2025","39,900.0","39,000.0","40,300.0","39,000.0","23.41K","4.01%"
"12/22/2025","38,360.0","38,400.0","39,000.0","38,300.0","25.89K","-0.10%"
"12/19/2025","38,400.0","38,320.0","38,500.0","38,300.0","24.27K","0.00%"
"12/18/2025","38,400.0","38,400.0","38,400.0","38,400.0","3.13K","0.21%"
"12/17/2025","38,320.0","38,300.0","38,500.0","38,300.0","9.72K","0.26%"
"12/16/2025","38,220.0","38,800.0","38,800.0","38,220.0","22.08K","-2.00%"
"12/15/2025","39,000.0","39,120.0","39,120.0","38,700.0","7.90K","-0.26%"
"12/12/2025","39,100.0","39,040.0","39,100.0","39,000.0","4.00K","-0.26%"
"12/11/2025","39,200.0","39,500.0","39,880.0","39,200.0","7.67K","-0.76%"
"12/10/2025","39,500.0","38,900.0","39,500.0","38,900.0","20.07K","1.65%"
"12/09/2025","38,860.0","38,600.0","38,860.0","38,380.0","11.00K","0.94%"
"12/05/2025","38,500.0","38,580.0","38,580.0","38,240.0","6.19K","0.79%"
"12/04/2025","38,200.0","38,420.0","38,420.0","38,200.0","6.01K","-0.31%"
"12/03/2025","38,320.0","38,520.0","38,780.0","38,300.0","8.81K","-0.47%"
"12/02/2025","38,500.0","38,840.0","38,840.0","38,500.0","3.10K","0.00%"
"12/01/2025","38,500.0","38,280.0","38,500.0","38,200.0","7.27K","0.00%"
"11/28/2025","38,500.0","38,300.0","38,500.0","38,300.0","6.08K","0.52%"
"11/27/2025","38,300.0","38,500.0","38,500.0","38,300.0","17.45K","0.10%"
"11/26/2025","38,260.0","38,360.0","38,740.0","38,260.0","7.97K","1.16%"
"11/25/2025","37,820.0","37,600.0","38,280.0","37,340.0","15.81K","1.29%"
"11/24/2025","37,340.0","38,420.0","38,800.0","36,740.0","30.85K","-2.76%"
"11/21/2025","38,400.0","38,700.0","38,700.0","38,220.0","21.46K","-0.52%"
"11/20/2025","38,600.0","39,200.0","39,200.0","38,600.0","28.81K","-0.72%"
"11/19/2025","38,880.0","38,500.0","38,880.0","38,500.0","9.07K","1.20%"
