"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","5,060.0","4,870.0","5,090.0","4,855.0","206.97K","3.90%"
"02/12/2026","4,870.0","4,890.0","4,890.0","4,800.0","123.24K","0.41%"
"02/11/2026","4,850.0","4,940.0","4,940.0","4,850.0","343.95K","-2.61%"
"02/10/2026","4,980.0","4,960.0","4,980.0","4,960.0","80.85K","0.40%"
"02/09/2026","4,960.0","5,000.0","5,000.0","4,870.0","425.88K","0.00%"
"02/06/2026","4,960.0","4,970.0","5,030.0","4,950.0","85.92K","-1.59%"
"02/05/2026","5,040.0","4,955.0","5,040.0","4,950.0","220.81K","1.41%"
"02/04/2026","4,970.0","5,050.0","5,060.0","4,950.0","274.33K","-2.55%"
"02/03/2026","5,100.0","5,120.0","5,190.0","5,050.0","176.93K","-0.39%"
"02/02/2026","5,120.0","5,230.0","5,230.0","5,110.0","348.81K","-2.66%"
"01/30/2026","5,260.0","5,240.0","5,270.0","5,200.0","238.96K","0.19%"
"01/29/2026","5,250.0","5,200.0","5,250.0","5,160.0","304.76K","0.19%"
"01/28/2026","5,240.0","5,100.0","5,240.0","5,090.0","1.31M","2.75%"
"01/27/2026","5,100.0","5,090.0","5,100.0","5,070.0","500.62K","0.39%"
"01/26/2026","5,080.0","5,050.0","5,090.0","5,050.0","469.44K","-0.20%"
"01/23/2026","5,090.0","5,080.0","5,100.0","5,060.0","451.81K","0.20%"
"01/22/2026","5,080.0","5,100.0","5,100.0","5,060.0","238.01K","-0.20%"
"01/21/2026","5,090.0","5,090.0","5,090.0","5,050.0","361.21K","0.00%"
"01/20/2026","5,090.0","5,040.0","5,090.0","5,040.0","456.44K","0.20%"
"01/19/2026","5,080.0","5,030.0","5,080.0","5,010.0","145.94K","0.40%"
"01/16/2026","5,060.0","5,030.0","5,070.0","5,000.0","204.14K","0.00%"
"01/15/2026","5,060.0","5,000.0","5,060.0","4,990.0","193.67K","1.50%"
"01/14/2026","4,985.0","5,090.0","5,090.0","4,985.0","269.32K","-1.48%"
"01/13/2026","5,060.0","5,050.0","5,100.0","5,010.0","325.29K","0.20%"
"01/09/2026","5,050.0","5,050.0","5,050.0","4,980.0","170.54K","1.00%"
"01/08/2026","5,000.0","5,000.0","5,000.0","4,985.0","70.75K","0.00%"
"01/07/2026","5,000.0","4,960.0","5,000.0","4,950.0","98.54K","-1.19%"
"01/06/2026","5,060.0","4,950.0","5,060.0","4,935.0","572.00K","2.64%"
"01/05/2026","4,930.0","4,950.0","4,950.0","4,885.0","169.27K","0.61%"
"01/02/2026","4,900.0","4,905.0","4,925.0","4,830.0","82.91K","0.00%"
"12/30/2025","4,900.0","4,980.0","4,980.0","4,900.0","143.09K","-0.61%"
"12/29/2025","4,930.0","4,895.0","4,930.0","4,865.0","162.78K","0.61%"
"12/26/2025","4,900.0","4,850.0","4,900.0","4,850.0","366.51K","-1.01%"
"12/24/2025","4,950.0","4,915.0","4,970.0","4,915.0","115.09K","0.71%"
"12/23/2025","4,915.0","4,905.0","4,990.0","4,900.0","233.50K","0.31%"
"12/22/2025","4,900.0","4,910.0","4,925.0","4,890.0","168.08K","0.31%"
"12/19/2025","4,885.0","4,945.0","4,945.0","4,860.0","217.26K","0.41%"
"12/18/2025","4,865.0","4,990.0","4,990.0","4,865.0","221.37K","-1.32%"
"12/17/2025","4,930.0","5,000.0","5,000.0","4,880.0","334.81K","-0.40%"
"12/16/2025","4,950.0","4,995.0","4,995.0","4,860.0","204.45K","-0.30%"
"12/15/2025","4,965.0","5,000.0","5,050.0","4,965.0","122.32K","-0.70%"
"12/12/2025","5,000.0","4,975.0","5,000.0","4,905.0","125.05K","1.32%"
"12/11/2025","4,935.0","4,940.0","4,950.0","4,900.0","280.91K","0.51%"
"12/10/2025","4,910.0","4,965.0","4,990.0","4,910.0","224.26K","-0.81%"
"12/09/2025","4,950.0","4,965.0","4,965.0","4,925.0","117.84K","-0.30%"
"12/05/2025","4,965.0","4,950.0","4,965.0","4,850.0","221.96K","0.30%"
"12/04/2025","4,950.0","4,900.0","4,950.0","4,855.0","222.19K","2.06%"
"12/03/2025","4,850.0","4,905.0","4,920.0","4,850.0","157.30K","-1.12%"
"12/02/2025","4,905.0","4,900.0","4,905.0","4,870.0","187.36K","0.10%"
"12/01/2025","4,900.0","4,905.0","4,905.0","4,870.0","131.68K","-0.91%"
"11/28/2025","4,945.0","4,840.0","4,945.0","4,810.0","237.83K","3.02%"
"11/27/2025","4,800.0","4,790.0","4,825.0","4,740.0","162.96K","0.21%"
"11/26/2025","4,790.0","4,730.0","4,790.0","4,730.0","171.30K","1.27%"
"11/25/2025","4,730.0","4,735.0","4,735.0","4,655.0","333.45K","2.05%"
"11/24/2025","4,635.0","4,710.0","4,745.0","4,635.0","710.40K","-1.38%"
"11/21/2025","4,700.0","4,890.0","4,890.0","4,640.0","591.35K","-3.69%"
"11/20/2025","4,880.0","4,905.0","4,935.0","4,880.0","202.55K","0.00%"
"11/19/2025","4,880.0","4,915.0","4,915.0","4,865.0","125.31K","0.41%"
"11/18/2025","4,860.0","4,885.0","4,920.0","4,860.0","186.84K","-1.82%"
"11/14/2025","4,950.0","4,860.0","4,950.0","4,860.0","80.09K","0.10%"
"11/13/2025","4,945.0","4,950.0","4,950.0","4,900.0","124.19K","0.30%"
"11/12/2025","4,930.0","4,915.0","4,935.0","4,900.0","115.11K","0.31%"
"11/11/2025","4,915.0","4,900.0","4,950.0","4,865.0","150.27K","0.31%"
"11/10/2025","4,900.0","4,850.0","4,900.0","4,850.0","67.70K","1.03%"
