"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","12,220.0","12,200.0","12,220.0","11,600.0","758.74K","1.83%"
"02/12/2026","12,000.0","12,700.0","12,900.0","12,000.0","813.72K","-5.51%"
"02/11/2026","12,700.0","13,260.0","13,580.0","12,700.0","1.98M","-7.97%"
"02/10/2026","13,800.0","13,660.0","13,980.0","13,520.0","747.27K","1.02%"
"02/09/2026","13,660.0","13,440.0","13,780.0","13,300.0","476.57K","1.49%"
"02/06/2026","13,460.0","13,100.0","13,460.0","12,420.0","787.13K","2.59%"
"02/05/2026","13,120.0","13,100.0","13,500.0","12,320.0","592.37K","-3.39%"
"02/04/2026","13,580.0","13,540.0","13,660.0","13,180.0","895.69K","-0.59%"
"02/03/2026","13,660.0","13,440.0","13,740.0","13,400.0","651.93K","-0.44%"
"02/02/2026","13,720.0","13,820.0","13,900.0","13,260.0","601.38K","-0.72%"
"01/30/2026","13,820.0","13,600.0","14,000.0","13,600.0","826.21K","0.44%"
"01/29/2026","13,760.0","13,700.0","13,760.0","13,600.0","303.17K","-0.15%"
"01/28/2026","13,780.0","13,700.0","13,780.0","13,240.0","629.74K","0.73%"
"01/27/2026","13,680.0","13,560.0","13,780.0","13,560.0","408.72K","0.88%"
"01/26/2026","13,560.0","13,500.0","13,820.0","13,500.0","501.55K","-0.15%"
"01/23/2026","13,580.0","13,200.0","13,600.0","13,200.0","530.02K","2.88%"
"01/22/2026","13,200.0","13,000.0","13,200.0","12,840.0","938.02K","1.54%"
"01/21/2026","13,000.0","12,480.0","13,000.0","12,460.0","1.50M","4.84%"
"01/20/2026","12,400.0","12,040.0","12,480.0","11,960.0","879.62K","2.14%"
"01/19/2026","12,140.0","12,040.0","12,140.0","11,940.0","408.65K","1.00%"
"01/16/2026","12,020.0","11,680.0","12,020.0","11,660.0","666.46K","2.74%"
"01/15/2026","11,700.0","11,280.0","11,700.0","11,280.0","1.17M","3.72%"
"01/14/2026","11,280.0","11,080.0","11,320.0","11,080.0","468.54K","0.00%"
"01/13/2026","11,280.0","11,280.0","11,280.0","11,100.0","274.38K","0.00%"
"01/09/2026","11,280.0","11,280.0","11,320.0","11,240.0","154.48K","0.00%"
"01/08/2026","11,280.0","11,300.0","11,300.0","11,220.0","143.30K","-0.18%"
"01/07/2026","11,300.0","11,020.0","11,300.0","10,900.0","862.02K","2.17%"
"01/06/2026","11,060.0","10,940.0","11,100.0","10,900.0","953.45K","1.84%"
"01/05/2026","10,860.0","10,820.0","10,960.0","10,740.0","444.29K","0.18%"
"01/02/2026","10,840.0","10,760.0","10,880.0","10,760.0","132.20K","0.74%"
"12/30/2025","10,760.0","10,700.0","10,880.0","10,700.0","212.40K","-1.28%"
"12/29/2025","10,900.0","10,820.0","10,900.0","10,740.0","293.40K","2.06%"
"12/26/2025","10,680.0","10,800.0","10,820.0","10,680.0","84.23K","-1.29%"
"12/24/2025","10,820.0","10,840.0","10,880.0","10,800.0","216.24K","0.00%"
"12/23/2025","10,820.0","10,800.0","10,840.0","10,800.0","255.94K","-0.55%"
"12/22/2025","10,880.0","10,860.0","10,940.0","10,820.0","302.60K","-0.73%"
"12/19/2025","10,960.0","10,700.0","10,960.0","10,660.0","850.59K","2.43%"
"12/18/2025","10,700.0","10,720.0","10,740.0","10,500.0","492.95K","-0.74%"
"12/17/2025","10,780.0","10,700.0","10,780.0","10,640.0","965.99K","0.19%"
"12/16/2025","10,760.0","10,800.0","10,800.0","10,680.0","581.07K","-0.37%"
"12/15/2025","10,800.0","10,780.0","10,820.0","10,760.0","285.86K","0.00%"
"12/12/2025","10,800.0","10,800.0","10,840.0","10,780.0","231.16K","-0.74%"
"12/11/2025","10,880.0","10,880.0","10,900.0","10,800.0","512.58K","0.00%"
"12/10/2025","10,880.0","10,920.0","10,920.0","10,860.0","180.85K","-0.73%"
"12/09/2025","10,960.0","10,800.0","10,960.0","10,800.0","324.86K","0.18%"
"12/05/2025","10,940.0","10,900.0","10,940.0","10,860.0","219.80K","0.00%"
"12/04/2025","10,940.0","10,900.0","10,940.0","10,800.0","572.34K","1.11%"
"12/03/2025","10,820.0","10,900.0","10,900.0","10,820.0","383.25K","-1.10%"
"12/02/2025","10,940.0","10,960.0","10,960.0","10,840.0","318.90K","0.00%"
"12/01/2025","10,940.0","10,800.0","10,940.0","10,800.0","279.25K","1.30%"
"11/28/2025","10,800.0","10,800.0","10,920.0","10,800.0","1.19M","-0.55%"
"11/27/2025","10,860.0","10,840.0","10,880.0","10,720.0","238.28K","-0.18%"
"11/26/2025","10,880.0","10,720.0","10,880.0","10,700.0","421.25K","1.12%"
"11/25/2025","10,760.0","10,540.0","10,760.0","10,540.0","1.03M","0.37%"
"11/24/2025","10,720.0","10,680.0","10,780.0","10,660.0","977.81K","0.75%"
"11/21/2025","10,640.0","10,760.0","10,760.0","10,640.0","294.39K","-1.12%"
"11/20/2025","10,760.0","10,960.0","10,960.0","10,760.0","986.76K","-1.82%"
"11/19/2025","10,960.0","10,880.0","11,060.0","10,800.0","1.12M","1.29%"
"11/18/2025","10,820.0","10,700.0","10,900.0","10,700.0","625.09K","1.12%"
"11/14/2025","10,700.0","10,680.0","10,940.0","10,500.0","1.10M","2.10%"
"11/13/2025","10,480.0","10,460.0","10,680.0","10,460.0","588.95K","1.35%"
"11/12/2025","10,340.0","10,500.0","10,500.0","10,340.0","147.47K","-0.39%"
"11/11/2025","10,380.0","10,500.0","10,500.0","10,260.0","111.87K","-1.14%"
"11/10/2025","10,500.0","10,200.0","10,500.0","10,200.0","64.14K","0.57%"
"11/07/2025","10,440.0","10,400.0","10,460.0","10,320.0","335.31K","0.38%"
"11/06/2025","10,400.0","10,200.0","10,440.0","10,200.0","488.83K","2.16%"
"11/05/2025","10,180.0","10,200.0","10,460.0","10,180.0","334.36K","-1.55%"
"11/04/2025","10,340.0","10,300.0","10,440.0","10,260.0","1.07M","0.19%"
"10/31/2025","10,320.0","10,480.0","10,500.0","10,320.0","184.14K","-1.15%"
"10/30/2025","10,440.0","10,500.0","10,500.0","10,360.0","233.12K","0.00%"
"10/29/2025","10,440.0","10,500.0","10,500.0","10,300.0","569.74K","-0.38%"
"10/28/2025","10,480.0","10,300.0","10,480.0","10,280.0","660.82K","1.95%"
"10/27/2025","10,280.0","10,240.0","10,300.0","10,220.0","362.64K","0.39%"
"10/24/2025","10,240.0","10,200.0","10,420.0","10,180.0","937.12K","0.79%"
"10/23/2025","10,160.0","10,100.0","10,160.0","10,000.0","217.91K","0.59%"
"10/22/2025","10,100.0","10,100.0","10,120.0","10,060.0","913.98K","0.00%"
"10/21/2025","10,100.0","10,000.0","10,100.0","9,970.0","591.17K","1.30%"
"10/20/2025","9,970.0","10,280.0","10,280.0","9,970.0","838.19K","-3.02%"
"10/17/2025","10,280.0","10,120.0","10,280.0","10,040.0","316.63K","1.78%"
"10/16/2025","10,100.0","10,300.0","10,340.0","10,080.0","572.92K","-1.37%"
"10/15/2025","10,240.0","10,400.0","10,400.0","10,200.0","420.30K","-0.97%"
"10/14/2025","10,340.0","10,100.0","10,340.0","10,100.0","147.99K","2.38%"
"10/10/2025","10,100.0","10,480.0","10,480.0","10,100.0","271.23K","-3.63%"
"10/09/2025","10,480.0","10,420.0","10,480.0","10,400.0","188.73K","0.58%"
"10/08/2025","10,420.0","10,500.0","10,500.0","10,420.0","253.01K","-0.19%"
"10/07/2025","10,440.0","10,440.0","10,440.0","10,300.0","200.09K","1.36%"
"10/06/2025","10,300.0","10,500.0","10,560.0","10,180.0","610.36K","-1.90%"
"10/03/2025","10,500.0","10,480.0","10,500.0","10,440.0","233.78K","0.19%"
"10/02/2025","10,480.0","10,520.0","10,560.0","10,380.0","530.92K","-0.19%"
"10/01/2025","10,500.0","10,640.0","10,700.0","10,500.0","435.61K","-0.94%"
"09/30/2025","10,600.0","10,740.0","10,740.0","10,380.0","716.22K","-1.30%"
"09/29/2025","10,740.0","10,700.0","10,740.0","10,520.0","732.20K","1.90%"
"09/26/2025","10,540.0","10,740.0","10,780.0","10,420.0","776.47K","-0.94%"
"09/25/2025","10,640.0","11,060.0","11,060.0","10,560.0","1.76M","-5.00%"
"09/24/2025","11,200.0","11,160.0","11,220.0","11,060.0","779.23K","0.90%"
"09/23/2025","11,100.0","11,200.0","11,220.0","11,080.0","1.09M","-1.77%"
"09/22/2025","11,300.0","11,500.0","11,500.0","11,160.0","977.37K","-0.88%"
"09/19/2025","11,400.0","9,830.0","12,240.0","9,830.0","7.48M","17.53%"
"09/18/2025","9,700.0","9,810.0","9,810.0","9,700.0","132.00K","-1.02%"
"09/17/2025","9,800.0","9,970.0","9,970.0","9,700.0","571.46K","-1.01%"
"09/16/2025","9,900.0","9,910.0","9,940.0","9,800.0","264.23K","-0.50%"
"09/15/2025","9,950.0","9,950.0","9,950.0","9,900.0","153.27K","0.00%"
"09/12/2025","9,950.0","9,990.0","9,990.0","9,860.0","476.59K","-0.30%"
"09/11/2025","9,980.0","9,980.0","10,060.0","9,970.0","450.93K","-0.10%"
"09/10/2025","9,990.0","10,000.0","10,100.0","9,950.0","1.06M","-0.10%"
"09/09/2025","10,000.0","10,000.0","10,080.0","9,930.0","604.95K","0.00%"
"09/08/2025","10,000.0","9,950.0","10,000.0","9,880.0","643.28K","0.00%"
"09/05/2025","10,000.0","9,810.0","10,000.0","9,670.0","802.95K","2.04%"
"09/04/2025","9,800.0","9,840.0","9,880.0","9,800.0","728.37K","-0.41%"
"09/03/2025","9,840.0","9,910.0","9,930.0","9,750.0","644.32K","-0.61%"
"09/02/2025","9,900.0","10,100.0","10,220.0","9,790.0","1.25M","-1.39%"
"09/01/2025","10,040.0","10,000.0","10,100.0","9,970.0","356.73K","0.70%"
"08/29/2025","9,970.0","9,900.0","10,060.0","9,880.0","582.95K","0.71%"
"08/28/2025","9,900.0","9,980.0","10,020.0","9,900.0","980.43K","-1.00%"
"08/27/2025","10,000.0","9,900.0","10,080.0","9,850.0","908.82K","1.63%"
"08/26/2025","9,840.0","9,950.0","9,970.0","9,840.0","2.26M","-0.81%"
"08/25/2025","9,920.0","10,080.0","10,120.0","9,920.0","1.43M","-1.20%"
"08/22/2025","10,040.0","10,280.0","10,360.0","10,040.0","1.24M","-1.76%"
