"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","18,780.00","18,500.00","18,780.00","18,100.00","33.60K","-0.11%"
"02/12/2026","18,800.00","18,900.00","18,900.00","18,520.00","10.08K","-1.57%"
"02/11/2026","19,100.00","19,000.00","19,200.00","18,820.00","19.08K","0.53%"
"02/10/2026","19,000.00","19,100.00","19,100.00","19,000.00","4.61K","0.96%"
"02/09/2026","18,820.00","18,720.00","19,140.00","18,700.00","19.19K","0.53%"
"02/06/2026","18,720.00","18,800.00","18,900.00","18,380.00","11.63K","-0.74%"
"02/05/2026","18,860.00","18,500.00","19,200.00","18,340.00","26.26K","2.50%"
"02/04/2026","18,400.00","18,900.00","18,900.00","18,200.00","41.55K","-3.06%"
"02/03/2026","18,980.00","19,080.00","19,100.00","18,960.00","13.20K","0.11%"
"02/02/2026","18,960.00","19,000.00","19,040.00","18,800.00","23.57K","-2.17%"
"01/30/2026","19,380.00","19,700.00","19,700.00","19,340.00","18.05K","0.62%"
"01/29/2026","19,260.00","19,220.00","19,260.00","19,180.00","16.69K","-1.23%"
"01/28/2026","19,500.00","19,600.00","19,600.00","19,300.00","22.98K","0.93%"
"01/27/2026","19,320.00","19,160.00","19,500.00","19,160.00","84.90K","2.55%"
"01/26/2026","18,840.00","18,480.00","19,100.00","18,480.00","159.98K","2.06%"
"01/23/2026","18,460.00","18,580.00","18,580.00","18,380.00","11.71K","-0.22%"
"01/22/2026","18,500.00","18,400.00","18,600.00","18,400.00","16.88K","0.00%"
"01/21/2026","18,500.00","18,480.00","18,500.00","18,420.00","24.68K","0.54%"
"01/20/2026","18,400.00","18,100.00","18,400.00","18,100.00","38.62K","1.77%"
"01/19/2026","18,080.00","17,900.00","18,080.00","17,840.00","13.97K","1.01%"
"01/16/2026","17,900.00","17,700.00","18,000.00","17,700.00","35.45K","0.90%"
"01/15/2026","17,740.00","17,740.00","17,740.00","17,740.00","5.33K","0.68%"
"01/14/2026","17,620.00","17,700.00","17,760.00","17,620.00","8.07K","-0.45%"
"01/13/2026","17,700.00","17,700.00","17,700.00","17,700.00","6.33K","-0.45%"
"01/09/2026","17,780.00","17,780.00","17,780.00","17,780.00","2.50K","-0.56%"
"01/08/2026","17,880.00","17,840.00","17,880.00","17,260.00","7.53K","0.45%"
"01/07/2026","17,800.00","18,000.00","18,060.00","17,800.00","21.17K","0.00%"
"01/06/2026","17,800.00","17,700.00","17,800.00","17,620.00","26.91K","2.06%"
