"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","18,500.0","18,500.0","18,800.0","18,340.0","87.37K","0.00%"
"02/12/2026","18,500.0","19,320.0","19,560.0","18,500.0","92.37K","-4.24%"
"02/11/2026","19,320.0","19,720.0","19,800.0","19,320.0","64.79K","-2.33%"
"02/10/2026","19,780.0","19,940.0","19,940.0","19,780.0","4.35K","0.20%"
"02/09/2026","19,740.0","19,620.0","19,980.0","19,620.0","31.11K","-0.30%"
"02/06/2026","19,800.0","19,500.0","20,100.0","19,500.0","46.76K","0.81%"
"02/05/2026","19,640.0","19,700.0","19,840.0","19,500.0","63.73K","-0.30%"
"02/04/2026","19,700.0","20,000.0","20,000.0","19,520.0","76.17K","-1.50%"
"02/03/2026","20,000.0","19,800.0","20,180.0","19,760.0","90.61K","1.21%"
"02/02/2026","19,760.0","20,080.0","20,200.0","19,720.0","284.99K","-2.18%"
"01/30/2026","20,200.0","20,620.0","20,700.0","20,040.0","66.79K","-1.85%"
"01/29/2026","20,580.0","20,780.0","20,780.0","20,040.0","57.77K","-0.87%"
"01/28/2026","20,760.0","20,380.0","20,760.0","20,000.0","136.56K","1.96%"
"01/27/2026","20,360.0","20,200.0","20,400.0","20,200.0","200.09K","0.89%"
"01/26/2026","20,180.0","19,600.0","20,500.0","19,600.0","158.89K","2.96%"
"01/23/2026","19,600.0","19,400.0","19,600.0","19,300.0","34.13K","0.51%"
"01/22/2026","19,500.0","19,500.0","19,580.0","19,300.0","40.42K","0.00%"
"01/21/2026","19,500.0","19,520.0","19,600.0","19,400.0","318.82K","0.10%"
"01/20/2026","19,480.0","19,480.0","19,580.0","19,440.0","155.53K","0.72%"
"01/19/2026","19,340.0","19,340.0","19,460.0","19,200.0","93.35K","0.31%"
"01/16/2026","19,280.0","19,100.0","19,320.0","19,000.0","72.20K","2.01%"
"01/15/2026","18,900.0","19,000.0","19,080.0","18,720.0","737.23K","-0.42%"
"01/14/2026","18,980.0","19,000.0","19,260.0","18,980.0","40.69K","-0.42%"
"01/13/2026","19,060.0","18,900.0","19,100.0","18,600.0","34.64K","1.17%"
"01/09/2026","18,840.0","19,200.0","19,200.0","18,840.0","7.16K","-0.21%"
