"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","2,190.0","2,185.0","2,195.0","2,165.0","6.81M","0.23%"
"02/12/2026","2,185.0","2,225.0","2,230.0","2,155.0","15.28M","-2.02%"
"02/11/2026","2,230.0","2,215.0","2,265.0","2,215.0","15.80M","0.68%"
"02/10/2026","2,215.0","2,250.0","2,250.0","2,180.0","26.63M","-1.56%"
"02/09/2026","2,250.0","2,240.0","2,290.0","2,215.0","25.36M","0.45%"
"02/06/2026","2,240.0","2,160.0","2,240.0","2,160.0","14.92M","3.23%"
"02/05/2026","2,170.0","2,205.0","2,225.0","2,170.0","16.50M","-2.47%"
"02/04/2026","2,225.0","2,275.0","2,290.0","2,150.0","38.38M","-1.55%"
"02/03/2026","2,260.0","2,260.0","2,280.0","2,245.0","26.88M","1.12%"
"02/02/2026","2,235.0","2,280.0","2,280.0","2,205.0","20.82M","-2.83%"
"01/30/2026","2,300.0","2,330.0","2,345.0","2,285.0","30.19M","-0.86%"
"01/29/2026","2,320.0","2,360.0","2,405.0","2,310.0","33.14M","-0.85%"
"01/28/2026","2,340.0","2,375.0","2,400.0","2,300.0","33.06M","-0.64%"
"01/27/2026","2,355.0","2,340.0","2,420.0","2,340.0","40.60M","0.21%"
"01/26/2026","2,350.0","2,285.0","2,355.0","2,275.0","19.47M","3.30%"
"01/23/2026","2,275.0","2,210.0","2,290.0","2,205.0","17.70M","3.41%"
"01/22/2026","2,200.0","2,330.0","2,335.0","2,200.0","32.61M","-6.18%"
"01/21/2026","2,345.0","2,320.0","2,370.0","2,320.0","37.66M","1.30%"
"01/20/2026","2,315.0","2,240.0","2,335.0","2,240.0","30.21M","1.98%"
"01/19/2026","2,270.0","2,270.0","2,270.0","2,220.0","13.15M","0.22%"
"01/16/2026","2,265.0","2,165.0","2,275.0","2,165.0","40.57M","4.62%"
"01/15/2026","2,165.0","2,115.0","2,170.0","2,075.0","28.00M","1.88%"
"01/14/2026","2,125.0","2,075.0","2,160.0","2,065.0","35.48M","2.91%"
"01/13/2026","2,065.0","2,035.0","2,100.0","2,035.0","19.52M","2.74%"
"01/09/2026","2,010.0","2,010.0","2,035.0","1,995.0","13.98M","0.75%"
"01/08/2026","1,995.0","1,990.0","2,010.0","1,960.0","14.47M","1.53%"
"01/07/2026","1,965.0","2,020.0","2,020.0","1,965.0","16.87M","-2.72%"
"01/06/2026","2,020.0","2,020.0","2,120.0","2,020.0","49.50M","0.00%"
"01/05/2026","2,020.0","1,930.0","2,030.0","1,885.0","32.33M","5.21%"
"01/02/2026","1,920.0","1,885.0","1,930.0","1,870.0","18.16M","2.67%"
"12/30/2025","1,870.0","1,840.0","1,875.0","1,830.0","9.27M","1.36%"
"12/29/2025","1,845.0","1,785.0","1,845.0","1,785.0","5.40M","2.50%"
"12/26/2025","1,800.0","1,800.0","1,800.0","1,790.0","3.69M","0.00%"
"12/24/2025","1,800.0","1,775.0","1,800.0","1,775.0","2.54M","0.00%"
"12/23/2025","1,800.0","1,770.0","1,800.0","1,770.0","10.11M","1.69%"
"12/22/2025","1,770.0","1,780.0","1,785.0","1,770.0","6.17M","0.28%"
"12/19/2025","1,765.0","1,785.0","1,805.0","1,765.0","16.54M","-1.12%"
"12/18/2025","1,785.0","1,820.0","1,820.0","1,785.0","5.48M","-1.65%"
"12/17/2025","1,815.0","1,805.0","1,825.0","1,800.0","4.91M","0.83%"
"12/16/2025","1,800.0","1,830.0","1,830.0","1,800.0","18.82M","-2.44%"
"12/15/2025","1,845.0","1,865.0","1,865.0","1,835.0","3.28M","-1.07%"
"12/12/2025","1,865.0","1,850.0","1,870.0","1,840.0","4.02M","0.00%"
"12/11/2025","1,865.0","1,885.0","1,885.0","1,850.0","10.07M","-1.58%"
"12/10/2025","1,895.0","1,915.0","1,920.0","1,880.0","10.38M","-2.07%"
"12/09/2025","1,935.0","1,920.0","1,935.0","1,915.0","6.33M","1.57%"
"12/05/2025","1,905.0","1,915.0","1,935.0","1,905.0","8.61M","0.00%"
"12/04/2025","1,905.0","1,910.0","1,920.0","1,905.0","5.08M","-0.26%"
"12/03/2025","1,910.0","1,895.0","1,915.0","1,895.0","7.38M","1.06%"
"12/02/2025","1,890.0","1,890.0","1,895.0","1,875.0","8.43M","-0.26%"
"12/01/2025","1,895.0","1,860.0","1,910.0","1,845.0","9.49M","0.80%"
"11/28/2025","1,880.0","1,855.0","1,880.0","1,830.0","7.02M","0.80%"
"11/27/2025","1,865.0","1,860.0","1,865.0","1,855.0","1.03M","1.08%"
"11/26/2025","1,845.0","1,855.0","1,870.0","1,840.0","18.91M","0.00%"
"11/25/2025","1,845.0","1,890.0","1,890.0","1,790.0","23.14M","1.65%"
"11/24/2025","1,815.0","1,855.0","1,860.0","1,810.0","14.94M","-2.42%"
"11/21/2025","1,860.0","1,905.0","1,915.0","1,860.0","12.75M","-2.11%"
"11/20/2025","1,900.0","1,960.0","1,970.0","1,900.0","15.98M","-2.31%"
"11/19/2025","1,945.0","1,960.0","1,960.0","1,930.0","15.38M","-1.77%"
"11/18/2025","1,980.0","1,945.0","1,990.0","1,940.0","12.72M","1.54%"
"11/14/2025","1,950.0","1,870.0","1,980.0","1,855.0","26.79M","4.28%"
"11/13/2025","1,870.0","1,880.0","1,890.0","1,870.0","9.75M","-0.53%"
"11/12/2025","1,880.0","1,855.0","1,885.0","1,850.0","6.69M","-0.53%"
"11/11/2025","1,890.0","1,850.0","1,905.0","1,850.0","16.20M","1.61%"
"11/10/2025","1,860.0","1,865.0","1,865.0","1,805.0","13.48M","-0.27%"
"11/07/2025","1,865.0","1,835.0","1,865.0","1,820.0","15.05M","1.91%"
"11/06/2025","1,830.0","1,800.0","1,830.0","1,800.0","13.63M","0.00%"
"11/05/2025","1,830.0","1,800.0","1,830.0","1,800.0","7.75M","1.67%"
