"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","13,940.0","13,900.0","14,000.0","13,640.0","174.96K","0.29%"
"02/12/2026","13,900.0","13,820.0","14,080.0","13,700.0","299.04K","-0.57%"
"02/11/2026","13,980.0","14,160.0","14,200.0","13,800.0","353.02K","-2.78%"
"02/10/2026","14,380.0","14,400.0","14,440.0","14,280.0","208.31K","0.14%"
"02/09/2026","14,360.0","14,200.0","14,400.0","14,140.0","193.80K","1.13%"
"02/06/2026","14,200.0","13,560.0","14,220.0","13,440.0","302.96K","1.43%"
"02/05/2026","14,000.0","14,120.0","14,120.0","13,800.0","438.16K","-2.51%"
"02/04/2026","14,360.0","14,340.0","14,580.0","14,100.0","611.50K","-0.97%"
"02/03/2026","14,500.0","14,120.0","14,600.0","14,120.0","856.49K","1.40%"
"02/02/2026","14,300.0","14,500.0","14,500.0","14,100.0","334.69K","-1.92%"
"01/30/2026","14,580.0","14,420.0","14,580.0","14,360.0","356.91K","0.00%"
"01/29/2026","14,580.0","14,620.0","14,700.0","14,400.0","331.84K","-0.68%"
"01/28/2026","14,680.0","14,620.0","14,680.0","14,360.0","578.54K","0.69%"
"01/27/2026","14,580.0","14,740.0","14,860.0","14,520.0","319.02K","-0.82%"
"01/26/2026","14,700.0","14,500.0","14,820.0","14,400.0","367.48K","0.41%"
"01/23/2026","14,640.0","14,560.0","14,640.0","14,520.0","419.92K","0.69%"
"01/22/2026","14,540.0","14,500.0","14,640.0","14,100.0","569.45K","0.41%"
"01/21/2026","14,480.0","14,260.0","14,500.0","14,260.0","789.88K","1.54%"
"01/20/2026","14,260.0","13,900.0","14,260.0","13,820.0","429.18K","2.59%"
"01/19/2026","13,900.0","13,800.0","13,980.0","13,780.0","564.25K","0.72%"
"01/16/2026","13,800.0","13,400.0","13,800.0","13,400.0","1.02M","3.14%"
"01/15/2026","13,380.0","13,380.0","13,380.0","13,260.0","245.56K","0.75%"
"01/14/2026","13,280.0","13,400.0","13,420.0","13,260.0","342.59K","-0.90%"
"01/13/2026","13,400.0","13,400.0","13,480.0","13,300.0","230.44K","0.15%"
"01/09/2026","13,380.0","13,200.0","13,380.0","13,200.0","316.87K","0.90%"
"01/08/2026","13,260.0","13,000.0","13,260.0","12,980.0","226.24K","0.61%"
