"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","18,500.0","17,800.0","18,500.0","17,420.0","202.68K","3.93%"
"02/12/2026","17,800.0","17,920.0","17,960.0","17,560.0","76.28K","-0.67%"
"02/11/2026","17,920.0","18,020.0","18,020.0","17,800.0","146.56K","-2.40%"
"02/10/2026","18,360.0","18,000.0","18,400.0","17,800.0","150.06K","1.44%"
"02/09/2026","18,100.0","17,780.0","18,100.0","17,640.0","123.19K","1.80%"
"02/06/2026","17,780.0","17,500.0","17,980.0","17,220.0","213.24K","-1.77%"
"02/05/2026","18,100.0","17,340.0","18,100.0","17,080.0","193.17K","3.43%"
"02/04/2026","17,500.0","17,900.0","17,900.0","17,200.0","496.69K","-2.78%"
"02/03/2026","18,000.0","18,120.0","18,460.0","17,740.0","591.73K","-1.96%"
"02/02/2026","18,360.0","18,800.0","18,800.0","18,040.0","202.64K","-2.03%"
"01/30/2026","18,740.0","18,480.0","18,960.0","18,480.0","446.74K","1.85%"
"01/29/2026","18,400.0","18,340.0","18,540.0","18,200.0","135.80K","0.00%"
"01/28/2026","18,400.0","18,680.0","18,680.0","18,280.0","276.31K","-1.50%"
"01/27/2026","18,680.0","18,780.0","18,780.0","18,300.0","399.94K","0.11%"
"01/26/2026","18,660.0","18,300.0","18,700.0","18,300.0","299.59K","0.97%"
"01/23/2026","18,480.0","18,440.0","18,480.0","18,100.0","275.54K","0.00%"
"01/22/2026","18,480.0","18,500.0","18,500.0","18,000.0","281.35K","0.00%"
"01/21/2026","18,480.0","17,960.0","18,480.0","17,960.0","607.54K","3.01%"
"01/20/2026","17,940.0","17,920.0","17,960.0","17,740.0","223.61K","0.34%"
"01/19/2026","17,880.0","17,880.0","18,100.0","17,540.0","257.20K","-0.45%"
"01/16/2026","17,960.0","17,740.0","18,020.0","17,740.0","587.64K","1.35%"
"01/15/2026","17,720.0","17,760.0","17,760.0","17,560.0","251.92K","0.00%"
"01/14/2026","17,720.0","17,620.0","17,800.0","17,620.0","144.40K","0.45%"
"01/13/2026","17,640.0","17,700.0","17,700.0","17,500.0","239.73K","-1.45%"
"01/09/2026","17,900.0","17,340.0","17,900.0","17,340.0","136.59K","3.47%"
"01/08/2026","17,300.0","17,220.0","17,300.0","17,200.0","79.30K","0.35%"
"01/07/2026","17,240.0","17,280.0","17,300.0","17,160.0","106.32K","-0.58%"
"01/06/2026","17,340.0","17,200.0","17,340.0","17,200.0","119.78K","1.64%"
"01/05/2026","17,060.0","17,220.0","17,300.0","16,280.0","186.71K","-0.93%"
"01/02/2026","17,220.0","17,480.0","17,480.0","17,040.0","69.26K","1.41%"
"12/30/2025","16,980.0","17,100.0","17,240.0","16,800.0","115.70K","-1.85%"
"12/29/2025","17,300.0","16,980.0","17,300.0","16,980.0","121.47K","1.88%"
"12/26/2025","16,980.0","16,980.0","16,980.0","16,900.0","165.07K","0.12%"
"12/24/2025","16,960.0","16,780.0","16,960.0","16,680.0","92.10K","0.36%"
"12/23/2025","16,900.0","16,800.0","16,900.0","16,480.0","95.75K","1.93%"
"12/22/2025","16,580.0","16,100.0","16,580.0","16,000.0","372.19K","3.63%"
"12/19/2025","16,000.0","16,440.0","16,600.0","16,000.0","213.14K","-2.68%"
"12/18/2025","16,440.0","16,460.0","16,780.0","16,020.0","404.41K","0.24%"
"12/17/2025","16,400.0","16,320.0","16,600.0","16,000.0","468.17K","-0.36%"
"12/16/2025","16,460.0","16,800.0","16,800.0","16,220.0","275.55K","-2.02%"
