"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","86,000.0","83,000.0","86,000.0","82,640.0","124.17K","3.61%"
"02/12/2026","83,000.0","84,900.0","84,900.0","82,400.0","237.97K","-2.92%"
"02/11/2026","85,500.0","84,100.0","85,500.0","83,700.0","367.49K","-0.35%"
"02/10/2026","85,800.0","82,100.0","85,800.0","82,100.0","157.79K","4.51%"
"02/09/2026","82,100.0","81,500.0","84,000.0","81,300.0","385.75K","0.74%"
"02/06/2026","81,500.0","79,020.0","81,500.0","78,680.0","315.25K","3.82%"
"02/05/2026","78,500.0","78,960.0","80,700.0","78,500.0","238.31K","-3.09%"
"02/04/2026","81,000.0","82,500.0","82,500.0","78,600.0","434.30K","-2.41%"
"02/03/2026","83,000.0","81,700.0","83,680.0","81,700.0","240.32K","1.59%"
"02/02/2026","81,700.0","81,500.0","83,000.0","81,500.0","184.80K","-2.16%"
"01/30/2026","83,500.0","83,020.0","84,000.0","82,000.0","352.95K","-1.18%"
"01/29/2026","84,500.0","84,000.0","84,900.0","82,680.0","290.28K","0.52%"
"01/28/2026","84,060.0","85,040.0","85,640.0","81,500.0","365.77K","0.02%"
"01/27/2026","84,040.0","86,100.0","87,420.0","84,040.0","198.40K","-1.87%"
"01/26/2026","85,640.0","85,400.0","87,400.0","85,400.0","236.34K","0.16%"
"01/23/2026","85,500.0","85,000.0","87,400.0","83,000.0","301.31K","-2.69%"
"01/22/2026","87,860.0","82,500.0","87,860.0","80,760.0","240.48K","6.50%"
"01/21/2026","82,500.0","83,680.0","83,680.0","81,100.0","119.88K","0.86%"
"01/20/2026","81,800.0","79,800.0","82,280.0","79,740.0","178.86K","2.84%"
"01/19/2026","79,540.0","79,000.0","80,520.0","78,920.0","131.58K","0.56%"
"01/16/2026","79,100.0","83,200.0","83,200.0","78,400.0","217.83K","1.02%"
"01/15/2026","78,300.0","77,760.0","78,580.0","77,760.0","190.52K","0.69%"
"01/14/2026","77,760.0","77,940.0","78,220.0","76,020.0","191.62K","-0.23%"
"01/13/2026","77,940.0","75,140.0","78,060.0","74,160.0","175.77K","4.06%"
"01/09/2026","74,900.0","74,580.0","75,360.0","73,240.0","331.20K","0.16%"
"01/08/2026","74,780.0","73,480.0","74,780.0","70,660.0","315.01K","2.86%"
"01/07/2026","72,700.0","72,500.0","72,760.0","71,140.0","70.73K","-0.38%"
"01/06/2026","72,980.0","69,380.0","72,980.0","69,380.0","554.19K","5.52%"
"01/05/2026","69,160.0","69,240.0","69,440.0","67,100.0","347.74K","2.46%"
"01/02/2026","67,500.0","69,200.0","69,200.0","67,500.0","73.40K","-2.46%"
"12/30/2025","69,200.0","69,140.0","69,200.0","67,000.0","84.79K","-0.14%"
"12/29/2025","69,300.0","69,300.0","69,600.0","69,020.0","35.72K","-0.72%"
"12/26/2025","69,800.0","69,400.0","69,900.0","69,100.0","25.50K","-0.14%"
"12/24/2025","69,900.0","69,900.0","69,900.0","69,000.0","17.90K","1.30%"
"12/23/2025","69,000.0","66,700.0","69,000.0","66,700.0","70.48K","3.26%"
"12/22/2025","66,820.0","66,700.0","68,000.0","66,700.0","83.51K","-0.27%"
"12/19/2025","67,000.0","67,280.0","67,780.0","66,640.0","423.55K","-0.42%"
"12/18/2025","67,280.0","66,400.0","67,280.0","66,400.0","125.55K","1.08%"
"12/17/2025","66,560.0","66,940.0","66,940.0","66,240.0","166.21K","-0.36%"
"12/16/2025","66,800.0","67,200.0","67,300.0","66,000.0","97.57K","-0.62%"
"12/15/2025","67,220.0","68,300.0","68,300.0","67,060.0","89.96K","-0.86%"
"12/12/2025","67,800.0","69,000.0","69,500.0","65,800.0","132.52K","-3.12%"
"12/11/2025","69,980.0","69,500.0","69,980.0","69,000.0","334.20K","0.69%"
"12/10/2025","69,500.0","69,600.0","69,600.0","68,960.0","98.58K","-0.14%"
"12/09/2025","69,600.0","70,000.0","70,000.0","69,200.0","136.14K","-0.57%"
"12/05/2025","70,000.0","68,720.0","70,000.0","68,220.0","108.53K","1.45%"
"12/04/2025","69,000.0","68,100.0","69,200.0","68,100.0","58.59K","0.29%"
"12/03/2025","68,800.0","67,520.0","68,800.0","67,400.0","242.93K","1.18%"
"12/02/2025","68,000.0","64,800.0","68,000.0","64,800.0","119.84K","4.94%"
"12/01/2025","64,800.0","61,540.0","64,800.0","61,540.0","109.83K","1.25%"
"11/28/2025","64,000.0","63,900.0","64,040.0","63,700.0","81.08K","0.16%"
"11/27/2025","63,900.0","63,400.0","63,900.0","63,400.0","10.73K","1.43%"
"11/26/2025","63,000.0","63,660.0","63,660.0","63,000.0","40.66K","0.00%"
"11/25/2025","63,000.0","62,580.0","63,640.0","62,500.0","235.01K","0.64%"
"11/24/2025","62,600.0","63,440.0","63,960.0","62,600.0","1.03M","-1.97%"
"11/21/2025","63,860.0","62,300.0","63,860.0","62,000.0","197.70K","2.50%"
"11/20/2025","62,300.0","62,300.0","63,620.0","62,000.0","437.69K","-0.80%"
"11/19/2025","62,800.0","62,000.0","63,240.0","62,000.0","381.75K","1.29%"
"11/18/2025","62,000.0","63,000.0","63,020.0","61,160.0","189.88K","-1.59%"
"11/14/2025","63,000.0","63,500.0","64,280.0","62,540.0","122.12K","-0.03%"
"11/13/2025","63,020.0","65,700.0","65,700.0","63,020.0","238.55K","-4.08%"
"11/12/2025","65,700.0","65,800.0","65,800.0","64,200.0","207.03K","0.00%"
"11/11/2025","65,700.0","65,400.0","68,000.0","65,400.0","54.97K","1.05%"
"11/10/2025","65,020.0","66,000.0","66,000.0","65,020.0","44.50K","-1.93%"
"11/07/2025","66,300.0","65,000.0","66,880.0","64,800.0","138.65K","2.00%"
"11/06/2025","65,000.0","65,000.0","65,000.0","64,160.0","133.28K","1.56%"
"11/05/2025","64,000.0","65,380.0","65,800.0","63,800.0","154.09K","-2.11%"
"11/04/2025","65,380.0","62,040.0","65,380.0","62,040.0","219.23K","4.61%"
"10/31/2025","62,500.0","63,280.0","63,280.0","61,160.0","206.00K","-0.32%"
"10/30/2025","62,700.0","63,100.0","63,900.0","62,220.0","98.97K","-0.92%"
"10/29/2025","63,280.0","62,500.0","63,280.0","62,500.0","117.09K","1.28%"
"10/28/2025","62,480.0","61,300.0","62,480.0","61,160.0","166.47K","2.39%"
"10/27/2025","61,020.0","61,100.0","61,300.0","60,780.0","120.34K","0.36%"
"10/24/2025","60,800.0","60,700.0","61,100.0","60,600.0","159.44K","0.16%"
"10/23/2025","60,700.0","60,700.0","61,100.0","60,500.0","289.45K","-0.49%"
"10/22/2025","61,000.0","60,600.0","61,000.0","60,180.0","167.59K","1.09%"
"10/21/2025","60,340.0","61,300.0","61,660.0","60,340.0","53.35K","-1.31%"
"10/20/2025","61,140.0","62,000.0","62,300.0","61,140.0","48.84K","-2.80%"
"10/17/2025","62,900.0","61,680.0","62,900.0","61,440.0","134.58K","2.44%"
"10/16/2025","61,400.0","61,480.0","61,920.0","61,380.0","260.84K","0.13%"
"10/15/2025","61,320.0","60,000.0","62,300.0","60,000.0","235.77K","-1.10%"
"10/14/2025","62,000.0","62,440.0","62,920.0","62,000.0","66.81K","0.32%"
"10/10/2025","61,800.0","61,900.0","61,940.0","60,760.0","156.37K","-0.13%"
"10/09/2025","61,880.0","61,000.0","62,000.0","60,900.0","138.36K","0.62%"
"10/08/2025","61,500.0","60,100.0","61,500.0","60,100.0","184.53K","2.33%"
