"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","3,015.00","2,975.00","3,015.00","2,970.00","3.12M","1.34%"
"02/12/2026","2,975.00","2,985.00","2,985.00","2,915.00","665.33K","-0.67%"
"02/11/2026","2,995.00","2,980.00","2,995.00","2,970.00","1.04M","0.34%"
"02/10/2026","2,985.00","2,920.00","3,000.00","2,920.00","979.95K","2.58%"
"02/09/2026","2,910.00","2,925.00","2,945.00","2,910.00","921.39K","1.39%"
"02/06/2026","2,870.00","2,875.00","2,935.00","2,860.00","2.30M","1.41%"
"02/05/2026","2,830.00","2,890.00","2,920.00","2,830.00","3.78M","-1.74%"
"02/04/2026","2,880.00","2,990.00","3,030.00","2,880.00","4.31M","-3.52%"
"02/03/2026","2,985.00","3,060.00","3,100.00","2,985.00","2.09M","-2.13%"
"02/02/2026","3,050.00","3,230.00","3,230.00","3,050.00","3.34M","-6.87%"
"01/30/2026","3,275.00","3,380.00","3,380.00","3,230.00","1.80M","-1.95%"
"01/29/2026","3,340.00","3,390.00","3,390.00","3,295.00","552.42K","-1.62%"
"01/28/2026","3,395.00","3,345.00","3,395.00","3,300.00","1.42M","1.80%"
"01/27/2026","3,335.00","3,310.00","3,345.00","3,310.00","1.05M","1.21%"
"01/26/2026","3,295.00","3,250.00","3,300.00","3,205.00","2.72M","1.38%"
"01/23/2026","3,250.00","3,235.00","3,250.00","3,200.00","1.09M","0.31%"
"01/22/2026","3,240.00","3,235.00","3,240.00","3,200.00","1.01M","0.00%"
"01/21/2026","3,240.00","3,235.00","3,250.00","3,200.00","6.92M","0.15%"
"01/20/2026","3,235.00","3,200.00","3,235.00","3,155.00","7.23M","0.62%"
"01/19/2026","3,215.00","3,180.00","3,215.00","3,170.00","2.64M","0.47%"
"01/16/2026","3,200.00","3,135.00","3,200.00","3,135.00","1.50M","1.91%"
"01/15/2026","3,140.00","3,125.00","3,140.00","3,105.00","2.77M","1.62%"
"01/14/2026","3,090.00","3,050.00","3,135.00","3,045.00","971.58K","0.98%"
"01/13/2026","3,060.00","3,100.00","3,100.00","3,050.00","846.81K","-2.55%"
"01/09/2026","3,140.00","3,075.00","3,140.00","3,040.00","359.21K","2.45%"
"01/08/2026","3,065.00","3,045.00","3,065.00","3,025.00","514.53K","0.33%"
"01/07/2026","3,055.00","3,070.00","3,070.00","3,035.00","312.12K","-0.33%"
"01/06/2026","3,065.00","3,025.00","3,065.00","3,025.00","711.22K","1.49%"
"01/05/2026","3,020.00","2,975.00","3,020.00","2,965.00","1.43M","1.00%"
"01/02/2026","2,990.00","2,990.00","2,990.00","2,985.00","498.90K","0.67%"
"12/30/2025","2,970.00","3,000.00","3,000.00","2,970.00","296.12K","-2.46%"
"12/29/2025","3,045.00","3,040.00","3,045.00","3,000.00","217.51K","0.83%"
"12/26/2025","3,020.00","2,990.00","3,045.00","2,965.00","254.66K","1.17%"
"12/24/2025","2,985.00","2,930.00","2,985.00","2,900.00","381.49K","1.53%"
"12/23/2025","2,940.00","2,930.00","2,945.00","2,925.00","703.47K","-0.17%"
"12/22/2025","2,945.00","2,885.00","2,945.00","2,885.00","337.45K","2.26%"
"12/19/2025","2,880.00","2,920.00","2,950.00","2,880.00","2.06M","-2.04%"
"12/18/2025","2,940.00","2,980.00","2,980.00","2,940.00","2.42M","-0.34%"
"12/17/2025","2,950.00","2,975.00","2,990.00","2,950.00","756.79K","-0.34%"
"12/16/2025","2,960.00","3,000.00","3,000.00","2,960.00","747.09K","-0.67%"
"12/15/2025","2,980.00","2,990.00","3,000.00","2,980.00","803.09K","-0.33%"
"12/12/2025","2,990.00","3,010.00","3,010.00","2,990.00","460.50K","-0.33%"
"12/11/2025","3,000.00","3,020.00","3,020.00","2,980.00","1.73M","-0.99%"
"12/10/2025","3,030.00","3,100.00","3,100.00","3,030.00","750.30K","-1.30%"
"12/09/2025","3,070.00","3,185.00","3,185.00","2,985.00","1.82M","-4.06%"
"12/05/2025","3,200.00","3,205.00","3,205.00","3,190.00","1.03M","0.00%"
"12/04/2025","3,200.00","3,235.00","3,235.00","3,195.00","1.02M","-0.31%"
"12/03/2025","3,210.00","3,210.00","3,235.00","3,200.00","460.11K","0.31%"
"12/02/2025","3,200.00","3,210.00","3,210.00","3,180.00","1.92M","-0.31%"
"12/01/2025","3,210.00","3,240.00","3,250.00","3,205.00","1.14M","-0.77%"
"11/28/2025","3,235.00","3,180.00","3,235.00","3,160.00","1.27M","2.54%"
"11/27/2025","3,155.00","3,145.00","3,180.00","3,140.00","1.94M","0.80%"
"11/26/2025","3,130.00","3,100.00","3,130.00","3,100.00","1.59M","1.13%"
"11/25/2025","3,095.00","3,090.00","3,125.00","3,075.00","8.64M","1.64%"
"11/24/2025","3,045.00","3,145.00","3,145.00","3,045.00","1.56M","-1.62%"
"11/21/2025","3,095.00","3,100.00","3,130.00","3,070.00","670.56K","0.00%"
"11/20/2025","3,095.00","3,140.00","3,145.00","3,095.00","496.45K","-1.59%"
"11/19/2025","3,145.00","3,180.00","3,180.00","3,125.00","2.41M","-1.10%"
"11/18/2025","3,180.00","3,185.00","3,185.00","3,145.00","665.83K","0.79%"
"11/14/2025","3,155.00","3,175.00","3,175.00","3,140.00","699.97K","-0.32%"
"11/13/2025","3,165.00","3,190.00","3,195.00","3,165.00","503.28K","-0.31%"
"11/12/2025","3,175.00","3,180.00","3,185.00","3,150.00","739.16K","0.79%"
"11/11/2025","3,150.00","3,180.00","3,180.00","3,150.00","165.16K","-0.16%"
"11/10/2025","3,155.00","3,150.00","3,185.00","3,100.00","257.52K","0.16%"
"11/07/2025","3,150.00","3,185.00","3,190.00","3,150.00","528.45K","-0.94%"
"11/06/2025","3,180.00","3,150.00","3,185.00","3,130.00","1.09M","0.95%"
"11/05/2025","3,150.00","3,150.00","3,190.00","3,140.00","2.68M","0.16%"
"11/04/2025","3,145.00","3,135.00","3,145.00","3,110.00","198.97K","-0.16%"
"10/31/2025","3,150.00","3,065.00","3,150.00","3,065.00","436.73K","1.94%"
"10/30/2025","3,090.00","3,060.00","3,100.00","3,050.00","1.02M","-0.48%"
"10/29/2025","3,105.00","3,050.00","3,105.00","3,050.00","2.48M","0.49%"
"10/28/2025","3,090.00","3,020.00","3,090.00","3,020.00","808.84K","1.81%"
"10/27/2025","3,035.00","3,085.00","3,085.00","3,035.00","1.15M","-1.62%"
"10/24/2025","3,085.00","3,015.00","3,090.00","3,015.00","602.17K","0.82%"
"10/23/2025","3,060.00","3,010.00","3,060.00","3,010.00","1.19M","1.32%"
"10/22/2025","3,020.00","2,985.00","3,020.00","2,985.00","263.83K","1.34%"
"10/21/2025","2,980.00","2,970.00","3,000.00","2,970.00","311.48K","0.00%"
"10/20/2025","2,980.00","2,950.00","3,005.00","2,950.00","1.03M","-0.17%"
"10/17/2025","2,985.00","2,925.00","2,985.00","2,915.00","851.23K","1.19%"
"10/16/2025","2,950.00","2,940.00","2,950.00","2,940.00","1.38M","0.34%"
"10/15/2025","2,940.00","2,910.00","2,940.00","2,900.00","795.09K","1.03%"
"10/14/2025","2,910.00","2,875.00","2,910.00","2,865.00","126.19K","1.22%"
"10/10/2025","2,875.00","2,900.00","2,900.00","2,870.00","176.02K","-1.03%"
"10/09/2025","2,905.00","2,890.00","2,905.00","2,890.00","192.82K","0.17%"
"10/08/2025","2,900.00","2,900.00","2,900.00","2,890.00","152.21K","0.00%"
"10/07/2025","2,900.00","2,900.00","2,910.00","2,855.00","80.50K","-0.34%"
"10/06/2025","2,910.00","2,875.00","2,910.00","2,860.00","395.13K","1.04%"
"10/03/2025","2,880.00","2,885.00","2,910.00","2,875.00","337.46K","-1.03%"
"10/02/2025","2,910.00","2,915.00","2,915.00","2,895.00","832.45K","-0.51%"
"10/01/2025","2,925.00","2,890.00","2,925.00","2,870.00","351.97K","-0.17%"
"09/30/2025","2,930.00","2,905.00","2,930.00","2,905.00","789.41K","0.69%"
"09/29/2025","2,910.00","2,905.00","2,915.00","2,905.00","450.17K","-0.17%"
"09/26/2025","2,915.00","2,905.00","2,925.00","2,900.00","191.09K","0.17%"
"09/25/2025","2,910.00","2,885.00","2,910.00","2,885.00","876.00K","0.17%"
"09/24/2025","2,905.00","2,895.00","2,905.00","2,890.00","295.31K","0.52%"
"09/23/2025","2,890.00","2,865.00","2,890.00","2,850.00","453.20K","0.87%"
"09/22/2025","2,865.00","2,820.00","2,870.00","2,820.00","152.13K","2.14%"
"09/19/2025","2,805.00","2,850.00","2,860.00","2,790.00","12.12M","-0.71%"
"09/18/2025","2,825.00","2,900.00","2,900.00","2,800.00","5.15M","-2.59%"
"09/17/2025","2,900.00","2,940.00","2,940.00","2,900.00","104.62K","-1.69%"
"09/16/2025","2,950.00","2,945.00","2,950.00","2,920.00","664.14K","0.17%"
"09/15/2025","2,945.00","2,930.00","2,960.00","2,925.00","120.88K","0.68%"
"09/12/2025","2,925.00","2,960.00","2,970.00","2,925.00","128.41K","-1.85%"
"09/11/2025","2,980.00","2,950.00","2,980.00","2,945.00","380.22K","0.68%"
