"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","51,400.0","49,200.0","51,400.0","49,000.0","194.81K","3.84%"
"02/12/2026","49,500.0","49,000.0","49,500.0","48,500.0","225.39K","0.04%"
"02/11/2026","49,480.0","46,560.0","49,480.0","46,400.0","732.42K","-3.96%"
"02/10/2026","51,520.0","51,700.0","52,100.0","51,520.0","102.80K","-0.35%"
"02/09/2026","51,700.0","51,200.0","51,900.0","51,200.0","134.72K","0.98%"
"02/06/2026","51,200.0","48,500.0","51,200.0","48,500.0","224.88K","2.40%"
"02/05/2026","50,000.0","51,420.0","51,900.0","50,000.0","188.04K","-3.77%"
"02/04/2026","51,960.0","52,180.0","52,700.0","50,680.0","279.52K","-1.03%"
"02/03/2026","52,500.0","51,500.0","52,500.0","50,760.0","279.36K","1.20%"
"02/02/2026","51,880.0","50,840.0","51,880.0","50,760.0","91.67K","-0.42%"
"01/30/2026","52,100.0","51,320.0","52,300.0","50,740.0","325.58K","2.36%"
"01/29/2026","50,900.0","51,600.0","52,300.0","50,680.0","212.50K","-1.39%"
"01/28/2026","51,620.0","52,380.0","52,380.0","51,400.0","278.65K","-0.69%"
"01/27/2026","51,980.0","52,720.0","52,980.0","51,900.0","295.66K","-1.40%"
"01/26/2026","52,720.0","51,800.0","52,980.0","51,320.0","221.17K","1.78%"
"01/23/2026","51,800.0","50,900.0","52,000.0","50,780.0","378.18K","1.77%"
"01/22/2026","50,900.0","51,400.0","52,000.0","50,760.0","310.91K","-1.32%"
"01/21/2026","51,580.0","50,480.0","52,000.0","50,480.0","450.94K","1.94%"
"01/20/2026","50,600.0","49,300.0","50,900.0","49,300.0","446.40K","2.02%"
"01/19/2026","49,600.0","48,100.0","50,020.0","47,980.0","340.12K","2.90%"
"01/16/2026","48,200.0","46,040.0","48,200.0","46,040.0","517.54K","4.78%"
"01/15/2026","46,000.0","45,200.0","46,200.0","45,200.0","183.42K","1.59%"
"01/14/2026","45,280.0","45,020.0","45,700.0","45,020.0","182.48K","-0.26%"
"01/13/2026","45,400.0","44,300.0","45,400.0","44,180.0","200.79K","2.25%"
"01/09/2026","44,400.0","45,400.0","45,400.0","44,400.0","135.10K","-1.29%"
"01/08/2026","44,980.0","45,140.0","45,200.0","44,820.0","20.15K","-0.57%"
"01/07/2026","45,240.0","45,140.0","45,440.0","44,940.0","98.52K","0.31%"
"01/06/2026","45,100.0","44,100.0","45,680.0","44,100.0","149.08K","2.50%"
"01/05/2026","44,000.0","43,000.0","44,480.0","42,920.0","181.36K","2.56%"
"01/02/2026","42,900.0","42,640.0","43,080.0","42,540.0","60.58K","0.85%"
"12/30/2025","42,540.0","43,600.0","43,600.0","42,540.0","134.07K","-3.23%"
"12/29/2025","43,960.0","43,780.0","44,060.0","43,600.0","30.27K","-0.09%"
"12/26/2025","44,000.0","43,980.0","44,100.0","43,220.0","114.51K","0.14%"
"12/24/2025","43,940.0","43,600.0","43,940.0","43,520.0","32.99K","-0.05%"
"12/23/2025","43,960.0","43,900.0","44,080.0","43,720.0","66.37K","-0.09%"
"12/22/2025","44,000.0","43,520.0","44,200.0","43,520.0","133.84K","0.69%"
"12/19/2025","43,700.0","44,680.0","45,100.0","43,700.0","748.50K","-0.91%"
"12/18/2025","44,100.0","44,580.0","44,780.0","44,000.0","185.28K","1.38%"
"12/17/2025","43,500.0","45,120.0","45,120.0","43,400.0","155.51K","-3.38%"
"12/16/2025","45,020.0","45,320.0","45,700.0","45,020.0","108.36K","-2.34%"
"12/15/2025","46,100.0","46,500.0","46,500.0","45,720.0","52.26K","-1.41%"
"12/12/2025","46,760.0","47,000.0","47,000.0","46,600.0","16.28K","-0.47%"
"12/11/2025","46,980.0","45,700.0","46,980.0","45,600.0","154.83K","2.13%"
"12/10/2025","46,000.0","45,300.0","46,400.0","45,300.0","143.14K","1.77%"
"12/09/2025","45,200.0","44,100.0","45,440.0","44,080.0","95.26K","2.73%"
"12/05/2025","44,000.0","44,700.0","44,980.0","44,000.0","80.93K","-1.57%"
