"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","28,480.0","27,840.0","29,000.0","27,520.0","194.84K","2.08%"
"02/12/2026","27,900.0","28,360.0","28,640.0","27,300.0","362.19K","-1.62%"
"02/11/2026","28,360.0","28,880.0","29,140.0","27,600.0","361.04K","-0.84%"
"02/10/2026","28,600.0","29,260.0","29,940.0","28,600.0","293.30K","-2.59%"
"02/09/2026","29,360.0","29,080.0","29,400.0","28,580.0","444.41K","1.24%"
"02/06/2026","29,000.0","28,400.0","29,100.0","28,300.0","579.08K","2.47%"
"02/05/2026","28,300.0","29,000.0","29,640.0","28,300.0","260.05K","-7.15%"
"02/04/2026","30,480.0","30,000.0","30,480.0","28,560.0","317.60K","1.60%"
"02/03/2026","30,000.0","29,900.0","30,380.0","29,700.0","625.79K","1.63%"
"02/02/2026","29,520.0","30,220.0","30,320.0","29,520.0","490.58K","-2.57%"
"01/30/2026","30,300.0","30,300.0","31,840.0","30,200.0","907.98K","-0.98%"
"01/29/2026","30,600.0","31,500.0","31,500.0","30,200.0","868.66K","0.00%"
"01/28/2026","30,600.0","33,300.0","33,300.0","30,600.0","551.11K","-4.08%"
"01/27/2026","31,900.0","32,880.0","33,300.0","31,900.0","498.40K","-2.98%"
"01/26/2026","32,880.0","32,740.0","34,000.0","32,000.0","515.89K","0.86%"
"01/23/2026","32,600.0","31,500.0","32,720.0","31,200.0","527.70K","3.49%"
"01/22/2026","31,500.0","32,100.0","32,560.0","31,500.0","809.97K","-1.87%"
"01/21/2026","32,100.0","32,240.0","32,240.0","31,700.0","941.94K","0.06%"
"01/20/2026","32,080.0","32,220.0","32,500.0","31,560.0","458.57K","-0.43%"
"01/19/2026","32,220.0","31,580.0","32,800.0","31,200.0","238.97K","2.61%"
"01/16/2026","31,400.0","30,000.0","32,480.0","30,000.0","421.32K","5.02%"
"01/15/2026","29,900.0","28,940.0","30,220.0","28,940.0","376.57K","1.36%"
"01/14/2026","29,500.0","27,520.0","29,500.0","27,500.0","310.86K","5.36%"
"01/13/2026","28,000.0","27,900.0","28,000.0","27,080.0","499.95K","0.21%"
"01/09/2026","27,940.0","26,420.0","27,940.0","26,280.0","160.90K","5.43%"
"01/08/2026","26,500.0","27,000.0","27,000.0","26,000.0","234.75K","-1.85%"
"01/07/2026","27,000.0","27,480.0","27,620.0","26,880.0","1.03M","-1.75%"
"01/06/2026","27,480.0","26,300.0","27,480.0","26,300.0","334.39K","3.70%"
"01/05/2026","26,500.0","24,800.0","26,680.0","24,740.0","424.28K","7.20%"
"01/02/2026","24,720.0","24,980.0","25,000.0","24,720.0","65.79K","0.24%"
"12/30/2025","24,660.0","25,080.0","25,080.0","24,660.0","223.99K","-2.53%"
"12/29/2025","25,300.0","25,200.0","25,300.0","25,060.0","175.49K","1.28%"
"12/26/2025","24,980.0","25,060.0","25,200.0","24,980.0","19.55K","-0.24%"
"12/24/2025","25,040.0","24,700.0","25,180.0","24,640.0","84.50K","1.38%"
"12/23/2025","24,700.0","25,000.0","25,000.0","24,660.0","100.57K","-1.98%"
"12/22/2025","25,200.0","24,840.0","25,200.0","24,800.0","127.10K","0.88%"
"12/19/2025","24,980.0","25,380.0","25,620.0","24,980.0","2.01M","-1.65%"
"12/18/2025","25,400.0","25,180.0","25,400.0","24,760.0","126.65K","1.36%"
"12/17/2025","25,060.0","25,680.0","25,700.0","25,040.0","288.34K","-1.34%"
"12/16/2025","25,400.0","25,520.0","25,680.0","25,340.0","398.54K","-1.17%"
"12/15/2025","25,700.0","25,780.0","25,780.0","25,360.0","120.95K","-0.31%"
"12/12/2025","25,780.0","25,200.0","25,780.0","25,200.0","176.86K","2.30%"
"12/11/2025","25,200.0","25,200.0","25,560.0","25,120.0","130.84K","0.00%"
"12/10/2025","25,200.0","25,020.0","25,340.0","24,920.0","141.78K","-0.87%"
"12/09/2025","25,420.0","25,780.0","25,860.0","25,320.0","234.20K","-1.40%"
"12/05/2025","25,780.0","25,320.0","25,780.0","24,900.0","485.39K","1.74%"
"12/04/2025","25,340.0","25,060.0","25,340.0","24,880.0","806.66K","-0.24%"
"12/03/2025","25,400.0","25,600.0","25,600.0","25,060.0","246.79K","-1.32%"
"12/02/2025","25,740.0","25,500.0","25,740.0","25,460.0","326.71K","1.02%"
"12/01/2025","25,480.0","25,000.0","25,480.0","25,000.0","220.22K","1.11%"
"11/28/2025","25,200.0","25,020.0","25,200.0","24,860.0","768.47K","0.80%"
"11/27/2025","25,000.0","24,800.0","25,020.0","24,700.0","184.19K","1.05%"
"11/26/2025","24,740.0","24,660.0","24,880.0","24,500.0","127.32K","0.32%"
"11/25/2025","24,660.0","23,680.0","24,660.0","23,320.0","729.24K","5.84%"
"11/24/2025","23,300.0","23,500.0","24,140.0","23,300.0","3.25M","-0.43%"
"11/21/2025","23,400.0","23,260.0","23,600.0","22,800.0","723.23K","0.78%"
"11/20/2025","23,220.0","24,300.0","24,300.0","23,220.0","523.73K","-3.49%"
"11/19/2025","24,060.0","24,540.0","24,800.0","24,060.0","233.24K","-1.96%"
"11/18/2025","24,540.0","24,680.0","24,760.0","24,040.0","405.29K","1.32%"
"11/14/2025","24,220.0","24,600.0","24,800.0","24,000.0","254.18K","0.08%"
"11/13/2025","24,200.0","25,400.0","25,400.0","24,200.0","1.01M","-5.39%"
"11/12/2025","25,580.0","26,040.0","26,040.0","25,580.0","1.17M","-1.92%"
"11/11/2025","26,080.0","25,500.0","26,080.0","25,020.0","286.75K","3.08%"
"11/10/2025","25,300.0","25,620.0","25,700.0","25,300.0","302.02K","-2.24%"
"11/07/2025","25,880.0","25,600.0","26,160.0","24,840.0","264.10K","1.01%"
"11/06/2025","25,620.0","25,820.0","26,280.0","25,620.0","258.35K","-2.59%"
"11/05/2025","26,300.0","26,000.0","26,480.0","25,600.0","209.94K","1.23%"
"11/04/2025","25,980.0","24,880.0","25,980.0","24,560.0","328.23K","3.92%"
"10/31/2025","25,000.0","25,700.0","26,000.0","24,820.0","307.51K","-2.72%"
"10/30/2025","25,700.0","25,800.0","25,800.0","25,260.0","233.53K","0.00%"
"10/29/2025","25,700.0","25,480.0","25,860.0","24,840.0","266.38K","1.02%"
"10/28/2025","25,440.0","24,620.0","25,920.0","24,620.0","432.60K","1.35%"
"10/27/2025","25,100.0","24,300.0","25,100.0","24,000.0","303.58K","3.29%"
"10/24/2025","24,300.0","23,500.0","24,340.0","23,500.0","312.68K","3.67%"
"10/23/2025","23,440.0","23,100.0","23,600.0","22,840.0","200.00K","-0.17%"
"10/22/2025","23,480.0","22,700.0","23,480.0","22,700.0","505.84K","3.44%"
"10/21/2025","22,700.0","22,620.0","22,740.0","22,620.0","143.11K","-0.09%"
"10/20/2025","22,720.0","22,700.0","22,800.0","22,660.0","268.28K","-0.79%"
"10/17/2025","22,900.0","22,920.0","22,920.0","22,580.0","91.05K","0.88%"
"10/16/2025","22,700.0","22,700.0","22,880.0","22,560.0","107.98K","0.44%"
"10/15/2025","22,600.0","23,000.0","23,320.0","22,600.0","239.88K","-1.40%"
"10/14/2025","22,920.0","22,880.0","23,440.0","22,880.0","219.69K","0.17%"
