"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","19,700.00","18,600.00","19,700.00","18,560.00","166.03K","1.65%"
"02/12/2026","19,380.00","19,500.00","19,760.00","18,820.00","91.41K","-1.22%"
"02/11/2026","19,620.00","19,000.00","19,740.00","18,680.00","338.38K","3.26%"
"02/10/2026","19,000.00","18,760.00","19,000.00","18,440.00","149.73K","1.50%"
"02/09/2026","18,720.00","18,240.00","18,740.00","18,240.00","79.33K","2.63%"
"02/06/2026","18,240.00","18,000.00","18,360.00","18,000.00","73.63K","2.59%"
"02/05/2026","17,780.00","18,100.00","18,480.00","17,740.00","310.75K","-5.63%"
"02/04/2026","18,840.00","19,280.00","19,360.00","18,500.00","231.36K","0.53%"
"02/03/2026","18,740.00","18,200.00","19,280.00","18,160.00","285.32K","4.11%"
"02/02/2026","18,000.00","18,500.00","18,500.00","17,020.00","965.63K","-6.15%"
"01/30/2026","19,180.00","20,940.00","20,940.00","18,200.00","694.92K","-9.53%"
"01/29/2026","21,200.00","21,260.00","22,100.00","19,700.00","322.39K","-3.02%"
"01/28/2026","21,860.00","20,380.00","21,860.00","20,380.00","275.08K","6.63%"
"01/27/2026","20,500.00","19,700.00","20,500.00","19,200.00","376.69K","3.02%"
"01/26/2026","19,900.00","19,000.00","19,960.00","19,000.00","122.84K","4.74%"
"01/23/2026","19,000.00","18,800.00","19,000.00","18,800.00","198.99K","1.06%"
"01/22/2026","18,800.00","18,780.00","18,800.00","18,620.00","93.57K","0.64%"
"01/21/2026","18,680.00","18,200.00","18,800.00","18,200.00","608.33K","2.98%"
"01/20/2026","18,140.00","17,720.00","18,140.00","17,600.00","802.87K","3.66%"
"01/19/2026","17,500.00","17,280.00","17,780.00","17,280.00","186.35K","1.39%"
"01/16/2026","17,260.00","17,280.00","17,280.00","17,020.00","118.81K","0.12%"
"01/15/2026","17,240.00","17,100.00","17,240.00","17,100.00","52.31K","-0.12%"
"01/14/2026","17,260.00","17,220.00","17,280.00","17,140.00","155.58K","0.94%"
"01/13/2026","17,100.00","16,600.00","17,300.00","16,500.00","137.84K","4.52%"
"01/09/2026","16,360.00","15,820.00","16,500.00","15,820.00","227.19K","3.41%"
