"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","19,100.00","19,300.00","19,300.00","19,100.00","21.36K","-1.65%"
"02/12/2026","19,420.00","19,700.00","19,700.00","19,160.00","14.10K","-2.61%"
"02/11/2026","19,940.00","19,800.00","20,000.00","19,700.00","20.04K","-0.10%"
"02/10/2026","19,960.00","19,500.00","19,960.00","19,500.00","17.72K","1.42%"
"02/09/2026","19,680.00","19,200.00","19,680.00","18,820.00","13.19K","2.50%"
"02/06/2026","19,200.00","17,620.00","19,500.00","17,620.00","44.08K","4.80%"
"02/05/2026","18,320.00","18,660.00","18,900.00","18,300.00","38.82K","-3.58%"
"02/04/2026","19,000.00","19,300.00","19,900.00","19,000.00","51.16K","-1.04%"
"02/03/2026","19,200.00","19,000.00","19,360.00","19,000.00","35.18K","0.52%"
"02/02/2026","19,100.00","19,800.00","19,800.00","19,100.00","33.20K","-3.73%"
"01/30/2026","19,840.00","20,000.00","20,240.00","19,800.00","21.08K","-1.59%"
"01/29/2026","20,160.00","20,200.00","20,320.00","20,000.00","532.33K","-0.69%"
"01/28/2026","20,300.00","20,300.00","20,300.00","20,020.00","18.44K","1.50%"
"01/27/2026","20,000.00","20,100.00","20,320.00","19,860.00","32.26K","-1.48%"
"01/26/2026","20,300.00","20,000.00","20,300.00","19,980.00","18.18K","1.50%"
"01/23/2026","20,000.00","19,980.00","20,200.00","19,900.00","102.18K","0.10%"
"01/22/2026","19,980.00","20,260.00","20,260.00","19,800.00","32.25K","-0.60%"
"01/21/2026","20,100.00","20,400.00","20,400.00","20,100.00","50.37K","-0.50%"
"01/20/2026","20,200.00","20,100.00","20,300.00","20,000.00","226.97K","1.00%"
"01/19/2026","20,000.00","19,800.00","20,000.00","19,700.00","42.47K","0.60%"
"01/16/2026","19,880.00","19,900.00","20,000.00","19,800.00","56.82K","-0.10%"
"01/15/2026","19,900.00","19,760.00","19,900.00","19,700.00","44.79K","1.53%"
"01/14/2026","19,600.00","19,600.00","19,600.00","19,540.00","27.27K","2.08%"
"01/13/2026","19,200.00","19,500.00","19,720.00","19,200.00","327.74K","-2.64%"
"01/09/2026","19,720.00","19,680.00","19,800.00","19,680.00","62.83K","1.13%"
"01/08/2026","19,500.00","19,480.00","19,520.00","19,480.00","27.88K","0.52%"
"01/07/2026","19,400.00","19,480.00","19,480.00","19,120.00","15.85K","-0.51%"
"01/06/2026","19,500.00","19,480.00","19,500.00","19,480.00","26.11K","1.56%"
