"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","6,680.0","6,680.0","6,680.0","6,670.0","22.15K","0.45%"
"02/12/2026","6,650.0","6,650.0","6,680.0","6,590.0","84.86K","-0.60%"
"02/11/2026","6,690.0","6,700.0","6,700.0","6,680.0","27.81K","-0.15%"
"02/10/2026","6,700.0","6,740.0","6,740.0","6,700.0","12.56K","-0.59%"
"02/09/2026","6,740.0","6,740.0","6,750.0","6,660.0","54.23K","0.00%"
"02/06/2026","6,740.0","6,700.0","6,740.0","6,590.0","21.22K","2.43%"
"02/05/2026","6,580.0","6,650.0","6,700.0","6,550.0","42.99K","-2.52%"
"02/04/2026","6,750.0","6,860.0","6,920.0","6,560.0","74.21K","0.15%"
"02/03/2026","6,740.0","6,820.0","6,820.0","6,740.0","25.75K","-1.17%"
"02/02/2026","6,820.0","6,730.0","6,820.0","6,720.0","67.49K","-0.87%"
"01/30/2026","6,880.0","6,930.0","7,000.0","6,750.0","92.80K","0.73%"
"01/29/2026","6,830.0","6,840.0","6,850.0","6,740.0","60.60K","0.15%"
"01/28/2026","6,820.0","6,820.0","6,880.0","6,790.0","1.14M","0.00%"
"01/27/2026","6,820.0","6,850.0","6,880.0","6,820.0","191.30K","-0.44%"
"01/26/2026","6,850.0","6,850.0","6,870.0","6,790.0","141.37K","0.88%"
"01/23/2026","6,790.0","6,730.0","6,790.0","6,700.0","46.83K","1.49%"
"01/22/2026","6,690.0","6,750.0","6,770.0","6,650.0","76.68K","-0.89%"
"01/21/2026","6,750.0","6,630.0","6,800.0","6,630.0","381.38K","2.12%"
"01/20/2026","6,610.0","6,550.0","6,630.0","6,530.0","548.10K","1.69%"
"01/19/2026","6,500.0","6,450.0","6,540.0","6,450.0","440.77K","1.56%"
"01/16/2026","6,400.0","6,400.0","6,430.0","6,400.0","248.07K","0.31%"
"01/15/2026","6,380.0","6,350.0","6,380.0","6,350.0","34.78K","0.00%"
"01/14/2026","6,380.0","6,420.0","6,430.0","6,380.0","93.26K","-0.31%"
