"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","60,300.0","58,720.0","60,300.0","58,540.0","128.89K","2.38%"
"02/12/2026","58,900.0","57,520.0","58,920.0","57,520.0","55.74K","1.73%"
"02/11/2026","57,900.0","60,900.0","60,900.0","57,500.0","274.74K","-6.61%"
"02/10/2026","62,000.0","60,680.0","62,000.0","60,680.0","82.00K","2.24%"
"02/09/2026","60,640.0","60,100.0","60,640.0","59,520.0","51.08K","1.07%"
"02/06/2026","60,000.0","59,400.0","60,080.0","59,360.0","49.37K","-0.66%"
"02/05/2026","60,400.0","60,720.0","60,720.0","59,520.0","85.90K","-0.82%"
"02/04/2026","60,900.0","61,500.0","61,500.0","58,500.0","141.78K","-1.77%"
"02/03/2026","62,000.0","61,500.0","62,000.0","58,600.0","60.53K","0.81%"
"02/02/2026","61,500.0","62,500.0","62,500.0","61,500.0","59.09K","-1.60%"
"01/30/2026","62,500.0","62,400.0","63,940.0","62,040.0","186.12K","-0.06%"
"01/29/2026","62,540.0","63,000.0","63,000.0","61,620.0","24.26K","-1.17%"
"01/28/2026","63,280.0","63,020.0","63,280.0","61,500.0","125.44K","0.16%"
"01/27/2026","63,180.0","63,200.0","63,260.0","62,500.0","122.47K","0.99%"
"01/26/2026","62,560.0","63,340.0","63,520.0","62,500.0","65.80K","-1.23%"
"01/23/2026","63,340.0","62,620.0","63,500.0","62,620.0","63.60K","0.96%"
"01/22/2026","62,740.0","63,000.0","63,480.0","62,220.0","110.15K","-0.41%"
"01/21/2026","63,000.0","62,300.0","63,220.0","62,300.0","172.37K","0.96%"
"01/20/2026","62,400.0","59,900.0","62,480.0","59,900.0","181.07K","4.49%"
"01/19/2026","59,720.0","57,320.0","60,080.0","57,300.0","207.39K","3.86%"
"01/16/2026","57,500.0","56,000.0","57,500.0","55,820.0","147.48K","2.68%"
"01/15/2026","56,000.0","55,880.0","56,000.0","55,760.0","56.03K","0.50%"
"01/14/2026","55,720.0","56,000.0","56,160.0","55,720.0","57.88K","-0.43%"
"01/13/2026","55,960.0","55,620.0","55,980.0","55,280.0","40.59K","0.50%"
"01/09/2026","55,680.0","55,080.0","55,680.0","55,060.0","37.10K","0.51%"
"01/08/2026","55,400.0","55,720.0","55,720.0","54,880.0","36.51K","-0.54%"
"01/07/2026","55,700.0","56,000.0","56,000.0","55,480.0","27.84K","-1.42%"
"01/06/2026","56,500.0","57,900.0","57,900.0","55,400.0","63.16K","-2.42%"
"01/05/2026","57,900.0","54,500.0","57,900.0","54,380.0","88.57K","6.24%"
"01/02/2026","54,500.0","55,080.0","56,000.0","54,000.0","31.35K","0.93%"
"12/30/2025","54,000.0","56,500.0","56,500.0","54,000.0","52.91K","-5.26%"
"12/29/2025","57,000.0","55,160.0","57,000.0","55,160.0","13.30K","3.34%"
"12/26/2025","55,160.0","54,600.0","55,340.0","54,600.0","27.48K","1.17%"
"12/24/2025","54,520.0","54,640.0","54,640.0","54,520.0","1.21K","-0.80%"
"12/23/2025","54,960.0","54,840.0","54,960.0","54,340.0","165.95K","-0.07%"
"12/22/2025","55,000.0","54,760.0","55,540.0","54,500.0","172.35K","0.73%"
"12/19/2025","54,600.0","55,000.0","55,960.0","54,500.0","1.08M","0.18%"
"12/18/2025","54,500.0","54,660.0","55,400.0","54,460.0","79.09K","0.00%"
"12/17/2025","54,500.0","55,400.0","55,400.0","51,780.0","514.14K","-1.62%"
"12/16/2025","55,400.0","56,520.0","56,720.0","55,400.0","48.67K","-3.65%"
"12/15/2025","57,500.0","57,320.0","57,500.0","57,020.0","36.25K","0.00%"
"12/12/2025","57,500.0","57,600.0","58,000.0","57,160.0","19.23K","0.00%"
"12/11/2025","57,500.0","57,100.0","57,600.0","56,960.0","37.60K","0.91%"
"12/10/2025","56,980.0","56,180.0","56,980.0","56,120.0","70.38K","1.39%"
"12/09/2025","56,200.0","54,760.0","56,200.0","54,760.0","133.38K","2.93%"
"12/05/2025","54,600.0","54,620.0","54,660.0","54,140.0","17.07K","-0.33%"
"12/04/2025","54,780.0","54,260.0","54,780.0","54,140.0","28.55K","1.26%"
"12/03/2025","54,100.0","54,520.0","54,680.0","54,100.0","289.25K","-0.73%"
"12/02/2025","54,500.0","54,660.0","55,200.0","54,500.0","113.34K","0.00%"
"12/01/2025","54,500.0","55,200.0","55,200.0","54,400.0","589.88K","-1.20%"
"11/28/2025","55,160.0","55,000.0","55,300.0","54,400.0","409.24K","1.21%"
"11/27/2025","54,500.0","54,500.0","54,860.0","54,400.0","19.06K","0.00%"
"11/26/2025","54,500.0","55,000.0","55,160.0","54,340.0","214.61K","-0.80%"
"11/25/2025","54,940.0","54,700.0","54,940.0","52,500.0","448.00K","0.81%"
"11/24/2025","54,500.0","54,400.0","54,560.0","54,000.0","477.93K","0.18%"
"11/21/2025","54,400.0","55,100.0","55,100.0","54,100.0","129.42K","0.55%"
"11/20/2025","54,100.0","55,120.0","55,360.0","54,100.0","49.63K","-2.70%"
"11/19/2025","55,600.0","55,400.0","56,200.0","54,200.0","314.50K","0.32%"
"11/18/2025","55,420.0","55,480.0","55,760.0","55,060.0","86.24K","-0.18%"
"11/14/2025","55,520.0","55,600.0","56,220.0","55,020.0","111.06K","-0.14%"
"11/13/2025","55,600.0","52,000.0","55,600.0","52,000.0","66.16K","3.00%"
"11/12/2025","53,980.0","53,880.0","54,000.0","53,640.0","51.07K","0.19%"
"11/11/2025","53,880.0","53,880.0","53,980.0","53,620.0","46.46K","0.00%"
"11/10/2025","53,880.0","53,000.0","53,880.0","52,820.0","51.41K","1.66%"
"11/07/2025","53,000.0","51,000.0","53,420.0","49,500.0","102.35K","3.31%"
"11/06/2025","51,300.0","51,600.0","51,860.0","51,000.0","127.24K","0.00%"
"11/05/2025","51,300.0","48,500.0","51,420.0","48,340.0","177.13K","5.77%"
"11/04/2025","48,500.0","47,280.0","48,980.0","46,300.0","98.69K","3.50%"
"10/31/2025","46,860.0","45,960.0","46,860.0","45,800.0","21.89K","2.09%"
"10/30/2025","45,900.0","45,500.0","46,000.0","45,240.0","69.80K","0.88%"
"10/29/2025","45,500.0","45,300.0","45,620.0","45,300.0","713.68K","0.40%"
"10/28/2025","45,320.0","45,600.0","46,040.0","45,280.0","45.96K","-0.26%"
"10/27/2025","45,440.0","45,020.0","45,440.0","44,980.0","186.83K","0.98%"
"10/24/2025","45,000.0","44,280.0","45,020.0","44,280.0","133.10K","1.63%"
"10/23/2025","44,280.0","44,200.0","44,280.0","44,080.0","71.80K","0.41%"
"10/22/2025","44,100.0","44,120.0","44,160.0","43,820.0","14.51K","-0.41%"
"10/21/2025","44,280.0","43,560.0","44,340.0","43,560.0","25.83K","2.03%"
"10/20/2025","43,400.0","43,800.0","44,220.0","43,400.0","31.76K","-2.25%"
"10/17/2025","44,400.0","43,500.0","44,400.0","43,500.0","33.27K","1.88%"
"10/16/2025","43,580.0","43,520.0","43,580.0","43,320.0","23.67K","0.51%"
"10/15/2025","43,360.0","42,920.0","43,360.0","42,880.0","22.15K","0.74%"
"10/14/2025","43,040.0","42,640.0","43,200.0","42,600.0","123.81K","0.94%"
"10/10/2025","42,640.0","42,600.0","42,640.0","42,600.0","19.16K","0.05%"
"10/09/2025","42,620.0","42,840.0","42,840.0","42,580.0","100.13K","-0.88%"
"10/08/2025","43,000.0","43,000.0","43,000.0","42,500.0","42.27K","0.00%"
"10/07/2025","43,000.0","43,060.0","43,240.0","42,880.0","71.49K","-0.14%"
"10/06/2025","43,060.0","43,400.0","43,400.0","43,040.0","18.49K","-0.74%"
"10/03/2025","43,380.0","43,200.0","43,400.0","43,060.0","16.60K","0.42%"
"10/02/2025","43,200.0","43,200.0","43,380.0","42,880.0","96.30K","-0.18%"
"10/01/2025","43,280.0","43,400.0","43,500.0","43,000.0","59.41K","-0.73%"
"09/30/2025","43,600.0","44,000.0","44,000.0","43,500.0","38.05K","-0.86%"
"09/29/2025","43,980.0","43,780.0","43,980.0","43,400.0","17.01K","0.00%"
"09/26/2025","43,980.0","43,580.0","44,000.0","43,340.0","30.94K","1.38%"
"09/25/2025","43,380.0","43,980.0","44,000.0","43,300.0","69.47K","-1.81%"
"09/24/2025","44,180.0","44,500.0","44,600.0","43,700.0","28.74K","-0.72%"
"09/23/2025","44,500.0","44,000.0","44,520.0","44,000.0","42.31K","1.14%"
"09/22/2025","44,000.0","44,280.0","44,280.0","43,740.0","56.79K","-1.12%"
"09/19/2025","44,500.0","44,000.0","44,500.0","43,480.0","297.85K","1.46%"
"09/18/2025","43,860.0","43,100.0","43,860.0","42,900.0","28.57K","1.76%"
"09/17/2025","43,100.0","43,300.0","43,300.0","42,600.0","432.45K","-0.87%"
"09/16/2025","43,480.0","42,780.0","43,480.0","42,500.0","35.53K","1.12%"
"09/15/2025","43,000.0","44,780.0","44,780.0","42,920.0","270.18K","-4.02%"
"09/12/2025","44,800.0","44,400.0","44,900.0","44,400.0","38.27K","-0.04%"
"09/11/2025","44,820.0","44,280.0","44,820.0","44,100.0","68.12K","1.72%"
"09/10/2025","44,060.0","44,880.0","45,000.0","44,000.0","428.84K","-1.83%"
"09/09/2025","44,880.0","44,780.0","44,980.0","44,700.0","32.82K","-0.27%"
"09/08/2025","45,000.0","44,700.0","45,060.0","44,480.0","105.19K","1.17%"
"09/05/2025","44,480.0","44,260.0","44,680.0","44,020.0","24.67K","0.04%"
"09/04/2025","44,460.0","44,760.0","44,760.0","44,120.0","58.33K","-0.67%"
"09/03/2025","44,760.0","45,140.0","47,240.0","44,540.0","345.34K","-1.19%"
"09/02/2025","45,300.0","45,360.0","45,360.0","44,140.0","108.18K","-0.61%"
"09/01/2025","45,580.0","46,120.0","46,120.0","45,580.0","8.18K","-1.68%"
"08/29/2025","46,360.0","46,600.0","46,720.0","45,820.0","52.20K","-0.52%"
"08/28/2025","46,600.0","46,580.0","46,600.0","45,820.0","35.68K","-0.21%"
"08/27/2025","46,700.0","46,560.0","46,700.0","46,560.0","15.32K","-0.21%"
"08/26/2025","46,800.0","47,020.0","47,020.0","46,600.0","696.29K","0.43%"
"08/25/2025","46,600.0","47,040.0","47,040.0","46,420.0","49.62K","-1.02%"
"08/22/2025","47,080.0","46,960.0","47,080.0","46,500.0","62.52K","0.34%"
"08/21/2025","46,920.0","47,040.0","47,360.0","46,900.0","105.28K","-0.76%"
"08/20/2025","47,280.0","47,300.0","47,480.0","47,040.0","62.88K","0.00%"
"08/19/2025","47,280.0","47,000.0","47,280.0","46,020.0","204.45K","0.47%"
"08/15/2025","47,060.0","46,700.0","47,480.0","46,100.0","303.22K","0.86%"
"08/14/2025","46,660.0","46,480.0","46,660.0","46,020.0","57.96K","0.43%"
"08/13/2025","46,460.0","46,400.0","46,480.0","46,220.0","53.37K","0.13%"
"08/12/2025","46,400.0","45,940.0","46,400.0","45,520.0","60.09K","0.48%"
"08/11/2025","46,180.0","45,000.0","46,180.0","45,000.0","53.64K","0.00%"
"08/08/2025","46,180.0","45,780.0","46,380.0","45,780.0","371.12K","1.49%"
"08/06/2025","45,500.0","45,000.0","45,500.0","44,920.0","190.34K","1.11%"
"08/05/2025","45,000.0","44,900.0","45,000.0","44,500.0","31.68K","0.40%"
"08/04/2025","44,820.0","46,000.0","46,480.0","44,700.0","231.45K","-1.93%"
"08/01/2025","45,700.0","45,440.0","45,700.0","45,020.0","73.01K","-1.08%"
"07/31/2025","46,200.0","46,200.0","46,200.0","45,000.0","143.18K","-0.13%"
"07/30/2025","46,260.0","44,600.0","46,260.0","43,940.0","330.82K","4.66%"
"07/29/2025","44,200.0","46,600.0","46,900.0","44,200.0","338.31K","-4.45%"
"07/28/2025","46,260.0","43,580.0","47,000.0","42,500.0","2.52M","-15.46%"
"07/25/2025","54,720.0","54,720.0","54,720.0","54,720.0","","0.00%"
"07/24/2025","54,720.0","54,720.0","54,720.0","54,720.0","","0.00%"
"07/23/2025","54,720.0","54,720.0","54,720.0","54,720.0","","0.00%"
"07/22/2025","54,720.0","54,720.0","54,720.0","54,720.0","","0.00%"
"07/21/2025","54,720.0","54,720.0","54,720.0","54,720.0","","0.00%"
"07/18/2025","54,720.0","52,820.0","55,140.0","52,820.0","341.91K","3.64%"
"07/17/2025","52,800.0","51,200.0","53,000.0","50,900.0","285.66K","3.13%"
"07/16/2025","51,200.0","51,000.0","51,300.0","50,300.0","205.37K","1.39%"
"07/15/2025","50,500.0","49,900.0","50,940.0","49,300.0","937.01K","1.36%"
"07/14/2025","49,820.0","53,860.0","54,200.0","49,820.0","515.04K","-9.05%"
"07/11/2025","54,780.0","55,800.0","55,800.0","54,500.0","45.94K","-1.93%"
"07/10/2025","55,860.0","52,860.0","56,300.0","52,860.0","282.22K","5.68%"
"07/09/2025","52,860.0","51,300.0","52,860.0","51,200.0","193.93K","3.48%"
"07/08/2025","51,080.0","51,000.0","51,080.0","51,000.0","46.46K","-0.58%"
"07/07/2025","51,380.0","51,000.0","51,700.0","51,000.0","41.81K","0.75%"
"07/04/2025","51,000.0","50,400.0","51,000.0","50,340.0","26.89K","0.39%"
"07/03/2025","50,800.0","51,400.0","51,900.0","50,800.0","32.32K","-0.47%"
"07/02/2025","51,040.0","50,400.0","51,400.0","50,400.0","20.04K","2.04%"
"07/01/2025","50,020.0","49,000.0","50,100.0","49,000.0","5.27K","3.35%"
"06/27/2025","48,400.0","48,380.0","48,400.0","48,380.0","5.30K","0.04%"
"06/26/2025","48,380.0","47,020.0","48,400.0","47,020.0","16.51K","0.79%"
"06/25/2025","48,000.0","47,000.0","48,000.0","47,000.0","25.28K","0.84%"
"06/24/2025","47,600.0","47,400.0","47,600.0","46,920.0","80.85K","0.42%"
"06/20/2025","47,400.0","47,400.0","47,660.0","47,400.0","14.45K","0.42%"
"06/19/2025","47,200.0","47,200.0","47,300.0","47,180.0","9.23K","0.21%"
"06/18/2025","47,100.0","46,640.0","47,500.0","46,640.0","26.80K","1.29%"
"06/17/2025","46,500.0","45,920.0","46,700.0","45,920.0","13.98K","1.31%"
"06/16/2025","45,900.0","45,600.0","45,900.0","45,560.0","24.53K","0.44%"
"06/13/2025","45,700.0","45,540.0","45,700.0","45,540.0","35.66K","0.35%"
"06/12/2025","45,540.0","45,400.0","45,600.0","45,300.0","22.20K","0.31%"
"06/11/2025","45,400.0","45,180.0","45,400.0","45,180.0","62.65K","0.58%"
"06/10/2025","45,140.0","44,500.0","45,200.0","44,500.0","14.88K","1.58%"
"06/09/2025","44,440.0","43,900.0","44,900.0","43,900.0","14.92K","-1.02%"
"06/06/2025","44,900.0","44,900.0","44,900.0","44,800.0","1.86K","0.00%"
"06/05/2025","44,900.0","45,100.0","45,200.0","44,900.0","6.07K","-0.66%"
"06/04/2025","45,200.0","45,900.0","45,900.0","45,200.0","20.10K","0.40%"
"06/03/2025","45,020.0","44,900.0","45,200.0","44,900.0","21.43K","0.27%"
"05/30/2025","44,900.0","45,400.0","45,500.0","44,900.0","18.79K","-1.32%"
"05/29/2025","45,500.0","45,600.0","45,700.0","45,300.0","51.59K","-0.44%"
"05/28/2025","45,700.0","45,620.0","45,700.0","45,620.0","7.07K","0.00%"
"05/27/2025","45,700.0","45,700.0","45,700.0","45,700.0","17.76K","-0.26%"
"05/26/2025","45,820.0","45,820.0","45,820.0","45,820.0","0.19K","0.00%"
"05/23/2025","45,820.0","45,620.0","45,980.0","45,540.0","31.02K","0.31%"
"05/22/2025","45,680.0","45,980.0","45,980.0","45,520.0","29.87K","-0.70%"
"05/21/2025","46,000.0","45,900.0","46,100.0","45,800.0","23.30K","0.00%"
"05/20/2025","46,000.0","45,300.0","46,200.0","45,260.0","158.49K","1.77%"
"05/19/2025","45,200.0","44,500.0","45,940.0","44,500.0","34.79K","0.89%"
"05/16/2025","44,800.0","44,800.0","44,840.0","44,800.0","13.75K","-0.18%"
"05/15/2025","44,880.0","44,940.0","45,500.0","44,500.0","41.91K","-0.13%"
"05/14/2025","44,940.0","43,980.0","44,940.0","43,600.0","36.67K","2.14%"
"05/13/2025","44,000.0","43,200.0","44,000.0","42,960.0","28.92K","1.80%"
"05/12/2025","43,220.0","43,500.0","43,500.0","43,220.0","7.66K","-1.55%"
"05/09/2025","43,900.0","44,000.0","44,000.0","43,900.0","8.77K","-0.23%"
"05/08/2025","44,000.0","42,400.0","44,000.0","42,400.0","18.20K","-1.12%"
"05/07/2025","44,500.0","42,820.0","44,500.0","42,820.0","45.91K","3.92%"
"05/06/2025","42,820.0","42,880.0","42,880.0","42,820.0","3.77K","-0.19%"
"05/05/2025","42,900.0","42,940.0","42,940.0","42,900.0","3.75K","-0.69%"
"05/02/2025","43,200.0","43,000.0","43,200.0","42,700.0","11.96K","0.47%"
"04/30/2025","43,000.0","42,440.0","43,000.0","42,400.0","36.74K","0.47%"
"04/29/2025","42,800.0","42,400.0","42,800.0","42,400.0","6.60K","1.04%"
"04/28/2025","42,360.0","42,600.0","42,660.0","42,200.0","24.08K","-0.33%"
"04/25/2025","42,500.0","42,900.0","42,920.0","42,500.0","3.46K","-0.93%"
"04/24/2025","42,900.0","42,900.0","43,100.0","42,020.0","57.16K","0.23%"
"04/23/2025","42,800.0","43,100.0","43,500.0","41,040.0","234.84K","-0.70%"
"04/22/2025","43,100.0","42,460.0","43,160.0","42,460.0","20.28K","1.89%"
"04/21/2025","42,300.0","42,600.0","42,700.0","42,300.0","27.72K","-1.17%"
"04/16/2025","42,800.0","42,700.0","42,800.0","42,700.0","4.19K","0.00%"
"04/15/2025","42,800.0","42,000.0","42,960.0","42,000.0","58.16K","-0.47%"
"04/14/2025","43,000.0","43,100.0","43,100.0","42,700.0","4.52K","0.00%"
"04/11/2025","43,000.0","42,340.0","43,000.0","42,340.0","20.04K","2.09%"
"04/10/2025","42,120.0","42,600.0","42,620.0","42,120.0","18.96K","-2.05%"
"04/09/2025","43,000.0","42,040.0","43,000.0","42,000.0","34.49K","1.90%"
"04/08/2025","42,200.0","42,900.0","42,900.0","42,160.0","22.89K","-2.36%"
"04/07/2025","43,220.0","43,000.0","43,580.0","42,820.0","31.37K","0.75%"
"04/04/2025","42,900.0","44,000.0","44,000.0","42,300.0","98.01K","-3.03%"
"04/03/2025","44,240.0","43,000.0","44,480.0","43,000.0","37.38K","1.70%"
"04/02/2025","43,500.0","42,200.0","43,500.0","41,900.0","37.82K","2.35%"
"04/01/2025","42,500.0","43,000.0","43,160.0","41,000.0","356.75K","0.00%"
