Date,Price
2013-01-02,"11,833.3"
2013-01-03,"11,833.3"
2013-01-04,"12,153.3"
2013-01-08,"12,126.7"
2013-01-09,"12,133.3"
2013-01-10,"12,000.0"
2013-01-11,"12,066.7"
2013-01-14,"11,866.7"
2013-01-15,"11,966.7"
2013-01-16,"11,900.0"
2013-01-17,"11,780.0"
2013-01-18,"11,700.0"
2013-01-21,"11,666.7"
2013-01-22,"11,560.0"
2013-01-23,"11,560.0"
2013-01-24,"11,626.7"
2013-01-25,"11,506.7"
2013-01-28,"11,266.7"
2013-01-29,"11,340.0"
2013-01-30,"11,486.7"
2013-01-31,"11,066.7"
2013-02-01,"11,326.7"
2013-02-04,"11,233.3"
2013-02-05,"11,300.0"
2013-02-06,"11,433.3"
2013-02-07,"11,620.0"
2013-02-08,"11,673.3"
2013-02-11,"11,813.3"
2013-02-12,"11,700.0"
2013-02-13,"11,660.0"
2013-02-14,"11,586.7"
2013-02-15,"11,420.0"
2013-02-18,"11,500.0"
2013-02-19,"11,613.3"
2013-02-20,"11,646.7"
2013-02-21,"11,740.0"
2013-02-22,"11,833.3"
2013-02-25,"11,806.7"
2013-02-26,"11,766.7"
2013-02-27,"11,766.7"
2013-02-28,"11,666.7"
2013-03-01,"11,726.7"
2013-03-04,"11,726.7"
2013-03-05,"11,473.3"
2013-03-06,"11,646.7"
2013-03-07,"11,586.7"
2013-03-08,"11,460.0"
2013-03-11,"11,373.3"
2013-03-12,"11,500.0"
2013-03-13,"11,446.7"
2013-03-14,"11,346.7"
2013-03-15,"11,500.0"
2013-03-18,"11,400.0"
2013-03-19,"10,973.3"
2013-03-20,"10,866.7"
2013-03-21,"10,986.7"
2013-03-22,"10,933.3"
2013-03-26,"10,973.3"
2013-03-27,"11,000.0"
2013-04-01,"11,066.7"
2013-04-02,"11,100.0"
2013-04-03,"10,966.7"
2013-04-04,"11,100.0"
2013-04-05,"11,133.3"
2013-04-08,"11,033.3"
2013-04-09,"11,000.0"
2013-04-10,"11,000.0"
2013-04-11,"10,993.3"
2013-04-12,"10,740.0"
2013-04-15,"10,413.3"
2013-04-16,"10,753.3"
2013-04-17,"10,566.7"
2013-04-18,"10,533.3"
2013-04-19,"10,413.3"
2013-04-22,"10,500.0"
2013-04-23,"10,566.7"
2013-04-24,"10,673.3"
2013-04-25,"10,566.7"
2013-04-26,"10,220.0"
2013-04-29,"10,166.7"
2013-04-30,"9,973.3"
2013-05-02,"10,100.0"
2013-05-03,"10,193.3"
2013-05-06,"10,166.7"
2013-05-07,"10,060.0"
2013-05-08,"9,833.3"
2013-05-09,"9,500.0"
2013-05-10,"9,400.0"
2013-05-14,"9,600.0"
2013-05-15,"10,000.0"
2013-05-16,"10,260.0"
2013-05-17,"10,420.0"
2013-05-20,"10,640.0"
2013-05-21,"10,873.3"
2013-05-22,"11,033.3"
2013-05-23,"10,946.7"
2013-05-24,"11,000.0"
2013-05-27,"10,906.7"
2013-05-28,"11,000.0"
2013-05-29,"11,046.7"
2013-05-30,"10,746.7"
2013-05-31,"10,320.0"
2013-06-04,"10,426.7"
2013-06-05,"10,460.0"
2013-06-06,"10,566.7"
2013-06-07,"10,340.0"
2013-06-11,"9,933.3"
2013-06-12,"9,893.3"
2013-06-13,"10,166.7"
2013-06-14,"10,193.3"
2013-06-17,"10,193.3"
2013-06-18,"10,166.7"
2013-06-19,"10,213.3"
2013-06-20,"10,086.7"
2013-06-21,"10,486.7"
2013-06-24,"9,966.7"
2013-06-25,"10,000.0"
2013-06-26,"10,020.0"
2013-06-27,"10,266.7"
2013-06-28,"10,666.7"
2013-07-02,"10,860.0"
2013-07-03,"10,666.7"
2013-07-04,"10,366.7"
2013-07-05,"10,433.3"
2013-07-08,"10,546.7"
2013-07-09,"10,466.7"
2013-07-10,"10,300.0"
2013-07-11,"10,633.3"
2013-07-12,"10,653.3"
2013-07-15,"10,893.3"
2013-07-16,"10,866.7"
2013-07-17,"10,820.0"
2013-07-18,"10,753.3"
2013-07-19,"10,513.3"
2013-07-22,"10,433.3"
2013-07-23,"10,653.3"
2013-07-24,"10,680.0"
2013-07-25,"10,580.0"
2013-07-26,"10,600.0"
2013-07-29,"10,733.3"
2013-07-30,"10,760.0"
2013-07-31,"10,380.0"
2013-08-01,"10,586.7"
2013-08-02,"10,820.0"
2013-08-05,"10,726.7"
2013-08-06,"10,586.7"
2013-08-08,"10,666.7"
2013-08-09,"10,880.0"
2013-08-12,"10,833.3"
2013-08-13,"10,993.3"
2013-08-14,"11,100.0"
2013-08-15,"11,000.0"
2013-08-16,"10,986.7"
2013-08-20,"11,000.0"
2013-08-21,"10,866.7"
2013-08-22,"11,100.0"
2013-08-23,"11,093.3"
2013-08-26,"10,873.3"
2013-08-27,"10,766.7"
2013-08-28,"10,746.7"
2013-08-29,"10,420.0"
2013-08-30,"10,660.0"
2013-09-02,"10,733.3"
2013-09-03,"10,666.7"
2013-09-04,"11,166.7"
2013-09-05,"11,100.0"
2013-09-06,"10,766.7"
2013-09-09,"10,993.3"
2013-09-10,"10,933.3"
2013-09-11,"10,920.0"
2013-09-12,"10,913.3"
2013-09-13,"10,993.3"
2013-09-16,"10,960.0"
2013-09-17,"10,966.7"
2013-09-18,"10,953.3"
2013-09-19,"10,966.7"
2013-09-20,"10,846.7"
2013-09-23,"11,000.0"
2013-09-24,"11,000.0"
2013-09-25,"11,000.0"
2013-09-26,"10,880.0"
2013-09-27,"10,980.0"
2013-09-30,"10,873.3"
2013-10-01,"10,800.0"
2013-10-02,"10,900.0"
2013-10-03,"10,900.0"
2013-10-04,"10,786.7"
2013-10-07,"10,800.0"
2013-10-08,"10,793.3"
2013-10-09,"10,706.7"
2013-10-10,"10,713.3"
2013-10-11,"10,813.3"
2013-10-15,"10,786.7"
2013-10-16,"10,800.0"
2013-10-17,"10,833.3"
2013-10-18,"10,800.0"
2013-10-21,"10,800.0"
2013-10-22,"10,780.0"
2013-10-23,"10,793.3"
2013-10-24,"10,813.3"
2013-10-25,"10,766.7"
2013-10-28,"10,700.0"
2013-10-29,"10,733.3"
2013-10-30,"10,733.3"
2013-10-31,"10,566.7"
2013-11-01,"10,733.3"
2013-11-05,"10,713.3"
2013-11-06,"10,733.3"
2013-11-07,"10,706.7"
2013-11-08,"10,400.0"
2013-11-12,"10,013.3"
