Date,Price
2013-01-02,"54,134.8"
2013-01-03,"53,915.9"
2013-01-04,"54,214.4"
2013-01-08,"54,214.4"
2013-01-09,"54,234.3"
2013-01-10,"54,174.6"
2013-01-11,"54,174.6"
2013-01-14,"54,234.3"
2013-01-15,"54,990.6"
2013-01-16,"54,871.2"
2013-01-17,"55,388.7"
2013-01-18,"55,448.4"
2013-01-21,"55,707.1"
2013-01-22,"55,727.0"
2013-01-23,"55,727.0"
2013-01-24,"55,727.0"
2013-01-25,"55,727.0"
2013-01-28,"55,727.0"
2013-01-29,"55,727.0"
2013-01-30,"55,547.9"
2013-01-31,"55,707.1"
2013-02-01,"55,727.0"
2013-02-04,"56,145.0"
2013-02-05,"57,657.6"
2013-02-06,"57,418.7"
2013-02-07,"57,657.6"
2013-02-08,"57,717.3"
2013-02-11,"58,214.8"
2013-02-12,"58,712.4"
2013-02-13,"59,130.3"
2013-02-14,"58,891.5"
2013-02-15,"58,234.7"
2013-02-18,"57,757.1"
2013-02-19,"58,294.4"
2013-02-20,"57,717.3"
2013-02-21,"57,717.3"
2013-02-22,"58,015.8"
2013-02-25,"58,214.8"
2013-02-26,"58,214.8"
2013-02-27,"58,513.4"
2013-02-28,"58,314.3"
2013-03-01,"58,314.3"
2013-03-04,"58,214.8"
2013-03-05,"58,234.7"
2013-03-06,"57,757.1"
2013-03-07,"57,717.3"
2013-03-08,"57,737.2"
2013-03-11,"58,095.4"
2013-03-12,"57,995.9"
2013-03-13,"57,995.9"
2013-03-14,"57,777.0"
2013-03-15,"57,816.8"
2013-03-18,"57,836.7"
2013-03-19,"58,214.8"
2013-03-20,"57,916.3"
2013-03-21,"57,219.7"
2013-03-22,"57,717.3"
2013-03-26,"57,717.3"
2013-03-27,"57,717.3"
2013-04-01,"57,438.6"
2013-04-02,"57,418.7"
2013-04-03,"57,418.7"
2013-04-04,"57,717.3"
2013-04-05,"57,518.2"
2013-04-08,"57,518.2"
2013-04-09,"57,518.2"
2013-04-10,"57,617.8"
2013-04-11,"57,717.3"
2013-04-12,"57,936.2"
2013-04-15,"58,015.8"
2013-04-16,"58,214.8"
2013-04-17,"58,712.4"
2013-04-18,"58,712.4"
2013-04-19,"58,692.5"
2013-04-22,"58,513.4"
2013-04-23,"58,712.4"
2013-04-24,"59,687.6"
2013-04-25,"61,299.7"
2013-04-26,"62,692.9"
2013-04-29,"63,190.5"
2013-04-30,"62,692.9"
2013-05-02,"62,991.4"
2013-05-03,"63,688.0"
2013-05-06,"63,668.1"
2013-05-07,"64,683.1"
2013-05-08,"66,076.3"
2013-05-09,"65,180.7"
2013-05-10,"65,081.2"
2013-05-14,"65,081.2"
2013-05-15,"65,678.3"
2013-05-16,"65,877.3"
2013-05-17,"65,877.3"
2013-05-20,"66,016.6"
2013-05-21,"66,175.8"
2013-05-22,"65,180.7"
2013-05-23,"67,768.0"
2013-05-24,"69,658.8"
2013-05-27,"69,658.8"
2013-05-28,"69,658.8"
2013-05-29,"69,658.8"
2013-05-30,"69,658.8"
2013-05-31,"69,658.8"
2013-06-04,"69,638.9"
2013-06-05,"68,663.6"
2013-06-06,"68,663.6"
2013-06-07,"66,673.4"
2013-06-11,"65,678.3"
2013-06-12,"65,678.3"
2013-06-13,"65,678.3"
2013-06-14,"65,638.5"
2013-06-17,"68,464.6"
2013-06-18,"69,638.9"
2013-06-19,"69,619.0"
2013-06-20,"69,419.9"
2013-06-21,"69,061.7"
2013-06-24,"68,643.7"
2013-06-25,"68,544.2"
2013-06-26,"68,663.6"
2013-06-27,"68,663.6"
2013-06-28,"68,663.6"
2013-07-02,"68,663.6"
2013-07-03,"68,663.6"
2013-07-04,"68,663.6"
2013-07-05,"68,663.6"
2013-07-08,"67,509.3"
2013-07-09,"67,469.5"
2013-07-10,"67,469.5"
2013-07-11,"67,171.0"
2013-07-12,"67,171.0"
2013-07-15,"66,971.9"
2013-07-16,"66,275.3"
2013-07-17,"66,653.5"
2013-07-18,"66,454.5"
2013-07-19,"66,355.0"
2013-07-22,"66,175.8"
2013-07-23,"65,976.8"
2013-07-24,"67,708.3"
2013-07-25,"70,534.5"
2013-07-26,"69,419.9"
2013-07-29,"69,658.8"
2013-07-30,"69,877.7"
2013-07-31,"70,634.0"
2013-08-01,"70,056.8"
2013-08-02,"70,017.0"
2013-08-05,"70,056.8"
2013-08-06,"69,957.3"
2013-08-08,"69,957.3"
2013-08-09,"70,136.4"
2013-08-12,"69,937.4"
2013-08-13,"69,857.8"
2013-08-14,"69,857.8"
2013-08-15,"69,658.8"
2013-08-16,"69,658.8"
2013-08-20,"69,758.3"
2013-08-21,"69,539.4"
2013-08-22,"69,539.4"
2013-08-23,"68,922.4"
2013-08-26,"68,962.2"
2013-08-27,"69,658.8"
2013-08-28,"69,579.2"
2013-08-29,"69,658.8"
2013-08-30,"69,638.9"
2013-09-02,"69,559.3"
2013-09-03,"69,559.3"
2013-09-04,"68,663.6"
2013-09-05,"69,161.2"
2013-09-06,"68,962.2"
2013-09-09,"69,061.7"
2013-09-10,"69,141.3"
2013-09-11,"68,723.4"
2013-09-12,"69,141.3"
2013-09-13,"69,061.7"
2013-09-16,"68,723.4"
2013-09-17,"68,723.4"
2013-09-18,"68,962.2"
2013-09-19,"69,519.5"
2013-09-20,"71,649.0"
2013-09-23,"71,430.1"
2013-09-24,"70,375.3"
2013-09-25,"69,161.2"
2013-09-26,"69,658.8"
2013-09-27,"69,599.1"
2013-09-30,"67,270.5"
2013-10-01,"67,688.4"
2013-10-02,"67,688.4"
2013-10-03,"67,668.5"
2013-10-04,"67,748.1"
2013-10-07,"68,663.6"
2013-10-08,"69,579.2"
2013-10-09,"69,658.8"
2013-10-10,"69,658.8"
2013-10-11,"69,599.1"
2013-10-15,"69,559.3"
2013-10-16,"69,579.2"
2013-10-17,"69,658.8"
2013-10-18,"69,638.9"
2013-10-21,"69,658.8"
2013-10-22,"68,862.7"
2013-10-23,"69,619.0"
2013-10-24,"69,559.3"
2013-10-25,"68,265.6"
2013-10-28,"69,220.9"
2013-10-29,"68,683.5"
2013-10-30,"68,464.6"
2013-10-31,"66,693.3"
2013-11-01,"68,186.0"
2013-11-05,"68,166.1"
2013-11-06,"68,146.2"
2013-11-07,"66,633.6"
2013-11-08,"66,693.3"
2013-11-12,"65,777.8"
2013-11-13,"66,275.3"
2013-11-14,"66,295.2"
2013-11-15,"66,076.3"
2013-11-18,"66,971.9"
2013-11-19,"68,026.8"
2013-11-20,"64,787.6"
2013-11-21,"67,757.9"
2013-11-22,"65,585.0"
2013-11-25,"64,907.3"
2013-11-26,"65,246.1"
2013-11-27,"67,618.4"
2013-11-28,"67,618.4"
2013-11-29,"67,618.4"
2013-12-02,"66,761.2"
2013-12-03,"64,887.3"
2013-12-04,"65,006.9"
2013-12-05,"65,784.4"
2013-12-06,"65,525.2"
2013-12-09,"64,010.2"
2013-12-10,"64,787.6"
2013-12-11,"66,781.1"
2013-12-12,"66,781.1"
2013-12-13,"66,581.8"
2013-12-16,"65,286.0"
2013-12-17,"65,784.4"
2013-12-18,"66,561.8"
2013-12-19,"66,561.8"
2013-12-20,"68,774.6"
2013-12-23,"68,714.8"
2013-12-24,"68,774.6"
2013-12-26,"68,674.9"
2013-12-27,"68,774.6"
2013-12-30,"71,266.4"
2014-01-02,"71,266.4"
2014-01-03,"71,266.4"
2014-01-07,"69,771.3"
2014-01-08,"68,216.4"
2014-01-09,"68,176.5"
2014-01-10,"68,276.2"
2014-01-13,"68,256.3"
2014-01-14,"68,216.4"
2014-01-15,"68,096.8"
2014-01-16,"67,777.8"
2014-01-17,"68,774.6"
2014-01-20,"68,774.6"
2014-01-21,"68,774.6"
2014-01-22,"68,555.3"
2014-01-23,"68,655.0"
2014-01-24,"68,555.3"
2014-01-27,"68,774.6"
2014-01-28,"68,575.2"
2014-01-29,"67,199.7"
2014-01-30,"64,847.4"
2014-01-31,"66,183.1"
2014-02-03,"65,286.0"
2014-02-04,"66,721.3"
2014-02-05,"66,681.4"
2014-02-06,"66,721.3"
2014-02-07,"66,621.6"
2014-02-10,"65,784.4"
2014-02-11,"66,561.8"
2014-02-12,"65,286.0"
2014-02-13,"66,163.1"
2014-02-14,"64,807.6"
2014-02-17,"65,764.4"
2014-02-18,"65,465.4"
2014-02-19,"65,784.4"
2014-02-20,"64,947.1"
2014-02-21,"67,538.6"
2014-02-24,"68,774.6"
2014-02-25,"68,176.5"
2014-02-26,"66,781.1"
2014-02-27,"66,821.0"
2014-02-28,"67,757.9"
2014-03-03,"67,877.5"
2014-03-04,"68,555.3"
2014-03-05,"68,694.8"
2014-03-06,"68,754.6"
2014-03-07,"68,774.6"
2014-03-10,"68,874.3"
2014-03-11,"69,372.6"
2014-03-12,"69,771.3"
2014-03-13,"69,771.3"
2014-03-14,"69,771.3"
2014-03-17,"69,771.3"
2014-03-18,"68,794.5"
2014-03-19,"69,651.7"
2014-03-20,"69,671.6"
2014-03-21,"69,412.5"
2014-03-25,"69,372.6"
2014-03-26,"69,452.4"
2014-03-27,"69,572.0"
2014-03-28,"69,671.6"
2014-03-31,"69,731.4"
2014-04-01,"69,751.4"
2014-04-02,"70,768.0"
2014-04-03,"70,469.0"
2014-04-04,"70,827.8"
2014-04-07,"68,954.0"
2014-04-08,"68,774.6"
2014-04-09,"68,276.2"
2014-04-10,"68,276.2"
2014-04-11,"68,774.6"
2014-04-14,"68,754.6"
2014-04-15,"68,296.1"
2014-04-16,"68,774.6"
2014-04-21,"69,671.6"
2014-04-22,"68,794.5"
2014-04-23,"68,774.6"
2014-04-24,"68,814.4"
2014-04-25,"68,336.0"
2014-04-28,"69,272.9"
2014-04-29,"69,272.9"
2014-04-30,"69,671.6"
2014-05-02,"68,475.6"
2014-05-05,"68,296.1"
2014-05-06,"68,296.1"
2014-05-07,"68,774.6"
2014-05-08,"68,774.6"
2014-05-09,"68,774.6"
2014-05-12,"68,655.0"
2014-05-13,"69,253.0"
2014-05-14,"68,774.6"
2014-05-15,"68,774.6"
2014-05-16,"68,774.6"
2014-05-19,"68,774.6"
2014-05-20,"68,754.6"
2014-05-21,"68,734.7"
