Date,Price
2013-01-02,"5,310.0"
2013-01-03,"5,300.0"
2013-01-04,"5,280.0"
2013-01-08,"5,290.0"
2013-01-09,"5,400.0"
2013-01-10,"5,400.0"
2013-01-11,"5,450.0"
2013-01-14,"5,580.0"
2013-01-15,"5,600.0"
2013-01-16,"5,700.0"
2013-01-17,"5,740.0"
2013-01-18,"5,780.0"
2013-01-21,"5,780.0"
2013-01-22,"5,810.0"
2013-01-23,"5,870.0"
2013-01-24,"5,990.0"
2013-01-25,"6,040.0"
2013-01-28,"5,910.0"
2013-01-29,"5,820.0"
2013-01-30,"5,800.0"
2013-01-31,"5,800.0"
2013-02-01,"6,050.0"
2013-02-04,"6,070.0"
2013-02-05,"5,980.0"
2013-02-06,"5,960.0"
2013-02-07,"5,980.0"
2013-02-08,"5,970.0"
2013-02-11,"5,910.0"
2013-02-12,"5,860.0"
2013-02-13,"5,900.0"
2013-02-14,"5,920.0"
2013-02-15,"5,840.0"
2013-02-18,"5,820.0"
2013-02-19,"5,890.0"
2013-02-20,"5,920.0"
2013-02-21,"5,940.0"
2013-02-22,"5,980.0"
2013-02-25,"5,990.0"
2013-02-26,"5,960.0"
2013-02-27,"5,990.0"
2013-02-28,"5,970.0"
2013-03-01,"5,970.0"
2013-03-04,"5,950.0"
2013-03-05,"5,860.0"
2013-03-06,"5,850.0"
2013-03-07,"5,800.0"
2013-03-08,"5,600.0"
2013-03-11,"5,740.0"
2013-03-12,"5,800.0"
2013-03-13,"5,740.0"
2013-03-14,"5,800.0"
2013-03-15,"5,780.0"
2013-03-18,"5,750.0"
2013-03-19,"5,700.0"
2013-03-20,"5,680.0"
2013-03-21,"5,600.0"
2013-03-22,"5,560.0"
2013-03-26,"5,600.0"
2013-03-27,"5,600.0"
2013-04-01,"5,740.0"
2013-04-02,"5,650.0"
2013-04-03,"5,580.0"
2013-04-04,"5,550.0"
2013-04-05,"5,470.0"
2013-04-08,"5,500.0"
2013-04-09,"5,520.0"
2013-04-10,"5,640.0"
2013-04-11,"5,600.0"
2013-04-12,"5,570.0"
2013-04-15,"5,560.0"
2013-04-16,"5,500.0"
2013-04-17,"5,500.0"
2013-04-18,"5,450.0"
2013-04-19,"5,490.0"
2013-04-22,"5,400.0"
2013-04-23,"5,400.0"
2013-04-24,"5,370.0"
2013-04-25,"5,300.0"
2013-04-26,"5,250.0"
2013-04-29,"5,240.0"
2013-04-30,"5,270.0"
2013-05-02,"5,280.0"
2013-05-03,"5,210.0"
2013-05-06,"5,100.0"
2013-05-07,"5,050.0"
2013-05-08,"5,010.0"
2013-05-09,"4,985.0"
2013-05-10,"4,995.0"
2013-05-14,"5,110.0"
2013-05-15,"5,140.0"
2013-05-16,"5,200.0"
2013-05-17,"5,220.0"
2013-05-20,"5,150.0"
2013-05-21,"5,100.0"
2013-05-22,"5,100.0"
2013-05-23,"5,050.0"
2013-05-24,"5,150.0"
2013-05-27,"5,110.0"
2013-05-28,"5,260.0"
2013-05-29,"5,150.0"
2013-05-30,"5,150.0"
2013-05-31,"5,050.0"
2013-06-04,"5,150.0"
2013-06-05,"5,200.0"
2013-06-06,"5,140.0"
2013-06-07,"5,050.0"
2013-06-11,"5,030.0"
2013-06-12,"5,010.0"
2013-06-13,"4,965.0"
2013-06-14,"5,000.0"
2013-06-17,"5,050.0"
2013-06-18,"5,140.0"
2013-06-19,"5,160.0"
2013-06-20,"4,980.0"
2013-06-21,"4,980.0"
2013-06-24,"4,925.0"
2013-06-25,"4,900.0"
2013-06-26,"4,845.0"
2013-06-27,"4,835.0"
2013-06-28,"4,850.0"
2013-07-02,"4,865.0"
2013-07-03,"4,865.0"
2013-07-04,"4,870.0"
2013-07-05,"4,880.0"
2013-07-08,"4,970.0"
2013-07-09,"4,910.0"
2013-07-10,"4,870.0"
2013-07-11,"4,950.0"
2013-07-12,"4,950.0"
2013-07-15,"4,990.0"
2013-07-16,"5,000.0"
2013-07-17,"5,170.0"
2013-07-18,"5,130.0"
2013-07-19,"5,150.0"
2013-07-22,"5,130.0"
2013-07-23,"5,220.0"
2013-07-24,"5,300.0"
2013-07-25,"5,290.0"
2013-07-26,"5,380.0"
2013-07-29,"5,370.0"
2013-07-30,"5,540.0"
2013-07-31,"5,530.0"
2013-08-01,"5,780.0"
2013-08-02,"5,660.0"
2013-08-05,"5,630.0"
2013-08-06,"5,630.0"
2013-08-08,"5,640.0"
2013-08-09,"5,690.0"
2013-08-12,"5,750.0"
2013-08-13,"5,800.0"
2013-08-14,"5,830.0"
2013-08-15,"5,760.0"
2013-08-16,"5,800.0"
2013-08-20,"5,700.0"
2013-08-21,"5,750.0"
2013-08-22,"5,740.0"
2013-08-23,"5,790.0"
2013-08-26,"5,740.0"
2013-08-27,"5,620.0"
2013-08-28,"5,670.0"
2013-08-29,"5,660.0"
2013-08-30,"5,700.0"
2013-09-02,"5,700.0"
2013-09-03,"5,710.0"
2013-09-04,"5,840.0"
2013-09-05,"5,940.0"
2013-09-06,"5,980.0"
2013-09-09,"5,970.0"
2013-09-10,"5,980.0"
2013-09-11,"6,080.0"
2013-09-12,"6,040.0"
2013-09-13,"6,120.0"
2013-09-16,"6,110.0"
2013-09-17,"6,170.0"
2013-09-18,"6,240.0"
2013-09-19,"6,200.0"
2013-09-20,"6,220.0"
2013-09-23,"6,190.0"
2013-09-24,"6,250.0"
2013-09-25,"6,240.0"
2013-09-26,"6,230.0"
2013-09-27,"6,200.0"
2013-09-30,"6,210.0"
2013-10-01,"6,220.0"
2013-10-02,"6,230.0"
2013-10-03,"6,130.0"
2013-10-04,"6,140.0"
2013-10-07,"6,120.0"
2013-10-08,"6,170.0"
2013-10-09,"6,170.0"
2013-10-10,"6,180.0"
2013-10-11,"6,180.0"
2013-10-15,"6,190.0"
2013-10-16,"6,240.0"
2013-10-17,"6,340.0"
