Date,Price
2013-01-02,"28,602.29"
2013-01-03,"28,602.29"
2013-01-04,"28,602.29"
2013-01-08,"28,602.29"
2013-01-09,"28,602.29"
2013-01-10,"28,602.29"
2013-01-11,"28,602.29"
2013-01-14,"28,602.29"
2013-01-15,"28,585.10"
2013-01-16,"28,516.35"
2013-01-17,"28,533.54"
2013-01-18,"28,499.16"
2013-01-21,"28,636.67"
2013-01-22,"28,602.29"
2013-01-23,"28,619.48"
2013-01-24,"28,636.67"
2013-01-25,"28,636.67"
2013-01-28,"28,636.67"
2013-01-29,"28,636.67"
2013-01-30,"28,567.91"
2013-01-31,"28,361.65"
2013-02-01,"28,361.65"
2013-02-04,"28,361.65"
2013-02-05,"28,533.54"
2013-02-06,"28,533.54"
2013-02-07,"28,533.54"
2013-02-08,"28,533.54"
2013-02-11,"28,361.65"
2013-02-12,"28,361.65"
2013-02-13,"28,361.65"
2013-02-14,"28,361.65"
2013-02-15,"28,361.65"
2013-02-18,"28,361.65"
2013-02-19,"28,361.65"
2013-02-20,"28,361.65"
2013-02-21,"28,361.65"
2013-02-22,"28,361.65"
2013-02-25,"28,361.65"
2013-02-26,"28,361.65"
2013-02-27,"28,172.57"
2013-02-28,"28,172.57"
2013-03-01,"28,172.57"
2013-03-04,"28,138.19"
2013-03-05,"28,138.19"
2013-03-06,"27,502.20"
2013-03-07,"27,502.20"
2013-03-08,"27,502.20"
2013-03-11,"27,072.48"
2013-03-12,"26,642.76"
2013-03-13,"26,642.76"
2013-03-14,"27,278.75"
2013-03-15,"27,278.75"
2013-03-18,"27,278.75"
2013-03-19,"27,450.64"
2013-03-20,"27,450.64"
2013-03-21,"27,358.85"
2013-03-22,"27,358.85"
2013-03-26,"27,358.85"
2013-03-27,"27,358.85"
2013-04-01,"27,358.85"
2013-04-02,"27,358.85"
2013-04-03,"27,358.85"
2013-04-04,"27,358.85"
2013-04-05,"27,358.85"
2013-04-08,"27,358.85"
2013-04-09,"26,458.66"
2013-04-10,"26,458.66"
2013-04-11,"26,458.66"
2013-04-12,"26,458.66"
2013-04-15,"26,458.66"
2013-04-16,"26,458.66"
2013-04-17,"26,458.66"
2013-04-18,"25,770.27"
2013-04-19,"25,770.27"
2013-04-22,"25,770.27"
2013-04-23,"26,476.31"
2013-04-24,"25,770.27"
2013-04-25,"26,035.04"
2013-04-26,"26,035.04"
2013-04-29,"26,035.04"
2013-04-30,"26,476.31"
2013-05-02,"26,476.31"
2013-05-03,"26,476.31"
2013-05-06,"26,476.31"
2013-05-07,"26,511.61"
2013-05-08,"26,511.61"
2013-05-09,"26,511.61"
2013-05-10,"26,670.47"
2013-05-14,"26,670.47"
2013-05-15,"26,670.47"
2013-05-16,"26,758.72"
2013-05-17,"26,476.31"
2013-05-20,"26,493.96"
2013-05-21,"26,493.96"
2013-05-22,"27,358.85"
2013-05-23,"27,358.85"
2013-05-24,"27,358.85"
2013-05-27,"27,358.85"
2013-05-28,"27,358.85"
2013-05-29,"27,358.85"
2013-05-30,"28,294.35"
2013-05-31,"29,106.29"
2013-06-04,"28,929.78"
2013-06-05,"29,106.29"
2013-06-06,"29,106.29"
2013-06-07,"29,106.29"
2013-06-11,"29,106.29"
2013-06-12,"29,088.64"
2013-06-13,"29,088.64"
2013-06-14,"29,035.68"
2013-06-17,"29,123.94"
2013-06-18,"29,123.94"
2013-06-19,"29,123.94"
2013-06-20,"29,123.94"
2013-06-21,"29,123.94"
2013-06-24,"29,123.94"
2013-06-25,"29,123.94"
2013-06-26,"29,123.94"
2013-06-27,"29,123.94"
2013-06-28,"29,123.94"
2013-07-02,"29,123.94"
2013-07-03,"29,123.94"
2013-07-04,"28,929.78"
2013-07-05,"28,929.78"
2013-07-08,"28,947.43"
2013-07-09,"28,947.43"
2013-07-10,"28,947.43"
2013-07-11,"28,947.43"
2013-07-12,"28,947.43"
2013-07-15,"28,947.43"
2013-07-16,"28,947.43"
2013-07-17,"29,123.94"
2013-07-18,"29,123.94"
2013-07-19,"29,123.94"
2013-07-22,"29,123.94"
2013-07-23,"29,123.94"
2013-07-24,"29,123.94"
2013-07-25,"29,123.94"
2013-07-26,"29,123.94"
2013-07-29,"29,123.94"
2013-07-30,"29,123.94"
2013-07-31,"29,123.94"
2013-08-01,"29,123.94"
2013-08-02,"29,123.94"
2013-08-05,"29,123.94"
2013-08-06,"29,300.45"
2013-08-08,"29,300.45"
2013-08-09,"29,300.45"
2013-08-12,"29,547.56"
2013-08-13,"29,300.45"
2013-08-14,"29,988.83"
2013-08-15,"30,006.48"
2013-08-16,"30,182.99"
2013-08-20,"30,182.99"
2013-08-21,"30,182.99"
2013-08-22,"30,536.01"
2013-08-23,"30,006.48"
2013-08-26,"30,006.48"
2013-08-27,"30,006.48"
2013-08-28,"30,006.48"
2013-08-29,"30,182.99"
2013-08-30,"30,182.99"
2013-09-02,"30,182.99"
2013-09-03,"30,094.74"
2013-09-04,"30,094.74"
2013-09-05,"31,312.65"
2013-09-06,"31,330.30"
2013-09-09,"31,330.30"
2013-09-10,"30,977.28"
2013-09-11,"32,301.10"
2013-09-12,"32,654.11"
2013-09-13,"31,771.57"
2013-09-16,"31,859.82"
2013-09-17,"31,330.30"
2013-09-18,"31,330.30"
2013-09-19,"31,330.30"
2013-09-20,"30,889.03"
2013-09-23,"30,624.26"
2013-09-24,"30,712.52"
2013-09-25,"30,712.52"
2013-09-26,"30,712.52"
2013-09-27,"30,712.52"
2013-09-30,"30,712.52"
2013-10-01,"30,712.52"
2013-10-02,"30,712.52"
2013-10-03,"30,959.63"
2013-10-04,"31,400.90"
2013-10-07,"31,400.90"
2013-10-08,"31,418.55"
2013-10-09,"30,712.52"
2013-10-10,"30,712.52"
2013-10-11,"30,712.52"
2013-10-15,"30,712.52"
2013-10-16,"30,447.75"
2013-10-17,"30,182.99"
2013-10-18,"30,006.48"
2013-10-21,"30,889.03"
2013-10-22,"30,359.50"
2013-10-23,"30,359.50"
2013-10-24,"30,359.50"
2013-10-25,"30,659.56"
2013-10-28,"30,889.03"
2013-10-29,"30,889.03"
2013-10-30,"30,430.10"
2013-10-31,"30,430.10"
2013-11-01,"30,430.10"
2013-11-05,"30,465.40"
2013-11-06,"30,465.40"
2013-11-07,"30,465.40"
2013-11-08,"30,889.03"
2013-11-12,"30,889.03"
2013-11-13,"30,889.03"
2013-11-14,"30,447.75"
2013-11-15,"30,447.75"
2013-11-18,"30,447.75"
2013-11-19,"30,818.42"
2013-11-20,"30,818.42"
2013-11-21,"30,818.42"
2013-11-22,"30,818.42"
2013-11-25,"30,094.74"
2013-11-26,"30,094.74"
2013-11-27,"30,006.48"
2013-11-28,"30,006.48"
2013-11-29,"30,006.48"
2013-12-02,"30,006.48"
2013-12-03,"30,889.03"
2013-12-04,"30,889.03"
2013-12-05,"30,889.03"
2013-12-06,"30,889.03"
2013-12-09,"30,889.03"
2013-12-10,"30,889.03"
2013-12-11,"31,312.65"
2013-12-12,"31,330.30"
2013-12-13,"31,771.57"
2013-12-16,"31,771.57"
2013-12-17,"31,771.57"
2013-12-18,"31,771.57"
2013-12-19,"31,330.30"
2013-12-20,"30,536.01"
2013-12-23,"30,536.01"
2013-12-24,"31,771.57"
2013-12-26,"31,771.57"
2013-12-27,"31,771.57"
2013-12-30,"31,771.57"
2014-01-02,"31,771.57"
2014-01-03,"31,771.57"
2014-01-07,"31,771.57"
2014-01-08,"31,771.57"
2014-01-09,"31,771.57"
2014-01-10,"31,771.57"
2014-01-13,"31,771.57"
2014-01-14,"31,771.57"
2014-01-15,"30,006.48"
2014-01-16,"30,006.48"
2014-01-17,"30,006.48"
2014-01-20,"30,006.48"
2014-01-21,"30,024.13"
2014-01-22,"30,112.39"
2014-01-23,"30,112.39"
2014-01-24,"29,565.21"
2014-01-27,"29,565.21"
2014-01-28,"29,565.21"
2014-01-29,"29,565.21"
2014-01-30,"29,565.21"
2014-01-31,"29,565.21"
2014-02-03,"29,565.21"
2014-02-04,"28,400.25"
2014-02-05,"28,400.25"
2014-02-06,"28,400.25"
2014-02-07,"28,276.70"
2014-02-10,"28,276.70"
2014-02-11,"28,276.70"
2014-02-12,"28,276.70"
2014-02-13,"29,371.05"
2014-02-14,"29,371.05"
2014-02-17,"29,371.05"
2014-02-18,"29,371.05"
2014-02-19,"29,371.05"
2014-02-20,"29,371.05"
2014-02-21,"29,371.05"
2014-02-24,"29,070.99"
2014-02-25,"29,070.99"
2014-02-26,"29,070.99"
2014-02-27,"29,070.99"
2014-02-28,"29,070.99"
2014-03-03,"29,070.99"
2014-03-04,"28,241.39"
2014-03-05,"28,241.39"
2014-03-06,"28,241.39"
2014-03-07,"28,241.39"
2014-03-10,"28,241.39"
2014-03-11,"28,682.67"
2014-03-12,"28,682.67"
2014-03-13,"28,682.67"
2014-03-14,"28,682.67"
2014-03-17,"28,682.67"
2014-03-18,"28,682.67"
2014-03-19,"29,123.94"
2014-03-20,"29,123.94"
2014-03-21,"30,094.74"
2014-03-25,"30,094.74"
2014-03-26,"29,123.94"
2014-03-27,"29,123.94"
2014-03-28,"29,123.94"
2014-03-31,"29,123.94"
2014-04-01,"29,123.94"
2014-04-02,"30,182.99"
2014-04-03,"30,447.75"
2014-04-04,"30,447.75"
2014-04-07,"30,447.75"
2014-04-08,"30,447.75"
2014-04-09,"30,447.75"
2014-04-10,"30,447.75"
2014-04-11,"30,447.75"
2014-04-14,"30,447.75"
2014-04-15,"30,447.75"
2014-04-16,"30,889.03"
2014-04-21,"31,611.22"
2014-04-22,"31,611.22"
2014-04-23,"31,611.22"
2014-04-24,"31,611.22"
2014-04-25,"30,708.04"
2014-04-28,"30,708.04"
2014-04-29,"30,708.04"
2014-04-30,"30,708.04"
2014-05-02,"31,159.63"
2014-05-05,"31,159.63"
2014-05-06,"30,708.04"
2014-05-07,"30,708.04"
2014-05-08,"30,708.04"
2014-05-09,"30,708.04"
2014-05-12,"30,708.04"
2014-05-13,"30,708.04"
2014-05-14,"30,708.04"
2014-05-15,"30,708.04"
2014-05-16,"30,708.04"
2014-05-19,"30,708.04"
2014-05-20,"30,708.04"
2014-05-21,"30,708.04"
2014-05-22,"30,527.40"
2014-05-23,"30,527.40"
2014-05-26,"30,708.04"
2014-05-27,"30,671.91"
2014-05-28,"30,671.91"
2014-05-29,"30,689.97"
2014-05-30,"30,689.97"
2014-06-03,"30,689.97"
2014-06-04,"30,689.97"
2014-06-05,"30,689.97"
2014-06-06,"30,689.97"
2014-06-09,"30,689.97"
2014-06-10,"30,708.04"
2014-06-11,"30,708.04"
2014-06-12,"30,689.97"
2014-06-13,"30,617.72"
2014-06-16,"30,708.04"
2014-06-17,"30,708.04"
2014-06-18,"30,708.04"
2014-06-19,"30,689.97"
2014-06-20,"30,798.36"
2014-06-24,"30,798.36"
2014-06-25,"30,798.36"
2014-06-26,"30,798.36"
2014-06-27,"30,798.36"
2014-07-01,"30,798.36"
2014-07-02,"31,593.15"
2014-07-03,"31,701.53"
2014-07-04,"31,701.53"
2014-07-07,"31,611.22"
2014-07-08,"31,611.22"
2014-07-09,"31,611.22"
2014-07-10,"30,726.10"
2014-07-11,"30,726.10"
2014-07-14,"30,726.10"
2014-07-15,"30,726.10"
