Date,Price
2013-01-02,"31,266.6"
2013-01-03,"31,249.4"
2013-01-04,"30,802.5"
2013-01-08,"30,097.7"
2013-01-09,"30,235.2"
2013-01-10,"30,321.2"
2013-01-11,"30,372.7"
2013-01-14,"30,269.6"
2013-01-15,"30,166.5"
2013-01-16,"30,080.5"
2013-01-17,"29,994.6"
2013-01-18,"30,218.0"
2013-01-21,"30,149.3"
2013-01-22,"30,218.0"
2013-01-23,"30,252.4"
2013-01-24,"30,596.2"
2013-01-25,"30,682.1"
2013-01-28,"30,510.3"
2013-01-29,"30,304.0"
2013-01-30,"30,080.5"
2013-01-31,"30,080.5"
2013-02-01,"29,943.0"
2013-02-04,"30,080.5"
2013-02-05,"30,080.5"
2013-02-06,"29,994.6"
2013-02-07,"29,874.3"
2013-02-08,"29,977.4"
2013-02-11,"29,977.4"
2013-02-12,"30,080.5"
2013-02-13,"30,183.7"
2013-02-14,"30,200.9"
2013-02-15,"30,063.3"
2013-02-18,"30,166.5"
2013-02-19,"30,080.5"
2013-02-20,"30,063.3"
2013-02-21,"30,475.9"
2013-02-22,"30,183.7"
2013-02-25,"30,407.1"
2013-02-26,"30,493.1"
2013-02-27,"30,389.9"
2013-02-28,"30,493.1"
2013-03-01,"30,493.1"
2013-03-04,"30,458.7"
2013-03-05,"30,510.3"
2013-03-06,"30,407.1"
2013-03-07,"30,510.3"
2013-03-08,"30,733.7"
2013-03-11,"30,716.5"
2013-03-12,"30,682.1"
2013-03-13,"30,699.3"
2013-03-14,"30,819.7"
2013-03-15,"30,940.0"
2013-03-18,"30,733.7"
2013-03-19,"30,493.1"
2013-03-20,"30,733.7"
2013-03-21,"30,906.7"
2013-03-22,"30,871.4"
2013-03-26,"31,153.8"
2013-03-27,"31,118.5"
2013-04-01,"30,571.3"
2013-04-02,"30,783.1"
2013-04-03,"30,853.7"
2013-04-04,"30,836.1"
2013-04-05,"30,712.5"
2013-04-08,"30,712.5"
2013-04-09,"30,677.2"
2013-04-10,"30,500.7"
2013-04-11,"30,359.5"
2013-04-12,"30,271.2"
2013-04-15,"30,271.2"
2013-04-16,"30,306.5"
2013-04-17,"30,235.9"
2013-04-18,"30,324.2"
2013-04-19,"30,447.8"
2013-04-22,"30,500.7"
2013-04-23,"30,536.0"
2013-04-24,"30,712.5"
2013-04-25,"30,712.5"
2013-04-26,"30,712.5"
2013-04-29,"31,065.5"
2013-04-30,"31,153.8"
2013-05-02,"30,994.9"
2013-05-03,"31,153.8"
2013-05-06,"31,347.9"
2013-05-07,"31,330.3"
2013-05-08,"31,295.0"
2013-05-09,"31,277.3"
2013-05-10,"31,153.8"
2013-05-14,"31,542.1"
2013-05-15,"31,153.8"
2013-05-16,"31,506.8"
2013-05-17,"31,506.8"
2013-05-20,"31,577.4"
2013-05-21,"31,171.4"
2013-05-22,"31,577.4"
2013-05-23,"31,242.0"
2013-05-24,"31,418.6"
2013-05-27,"31,612.7"
2013-05-28,"32,477.6"
2013-05-29,"32,742.4"
2013-05-30,"32,530.6"
2013-05-31,"32,248.1"
2013-06-04,"32,830.6"
2013-06-05,"33,007.1"
2013-06-06,"32,813.0"
2013-06-07,"32,159.9"
2013-06-11,"32,407.0"
2013-06-12,"31,948.1"
2013-06-13,"31,789.2"
2013-06-14,"31,771.6"
2013-06-17,"31,824.5"
2013-06-18,"32,460.0"
2013-06-19,"32,565.9"
2013-06-20,"31,648.0"
2013-06-21,"31,083.2"
2013-06-24,"30,994.9"
2013-06-25,"30,447.8"
2013-06-26,"30,712.5"
2013-06-27,"31,065.5"
2013-06-28,"31,771.6"
2013-07-02,"31,630.4"
2013-07-03,"31,453.9"
2013-07-04,"31,630.4"
2013-07-05,"31,259.7"
2013-07-08,"30,942.0"
2013-07-09,"31,065.5"
2013-07-10,"30,994.9"
2013-07-11,"31,083.2"
2013-07-12,"31,753.9"
2013-07-15,"31,859.8"
2013-07-16,"32,195.2"
2013-07-17,"32,336.4"
2013-07-18,"32,371.7"
2013-07-19,"31,895.1"
2013-07-22,"32,018.7"
2013-07-23,"32,177.5"
2013-07-24,"32,971.8"
2013-07-25,"32,918.9"
2013-07-26,"32,583.5"
2013-07-29,"32,689.4"
2013-07-30,"32,901.2"
2013-07-31,"32,654.1"
2013-08-01,"32,777.7"
2013-08-02,"33,483.7"
2013-08-05,"33,695.5"
2013-08-06,"33,060.1"
2013-08-08,"33,360.1"
2013-08-09,"33,448.4"
2013-08-12,"33,624.9"
2013-08-13,"33,889.7"
2013-08-14,"33,854.4"
2013-08-15,"33,377.8"
2013-08-16,"33,271.9"
2013-08-20,"33,783.8"
2013-08-21,"34,330.9"
2013-08-22,"34,313.3"
2013-08-23,"33,730.8"
2013-08-26,"33,872.0"
2013-08-27,"33,748.5"
2013-08-28,"33,466.1"
2013-08-29,"33,289.5"
2013-08-30,"34,048.5"
2013-09-02,"33,819.1"
2013-09-03,"33,624.9"
2013-09-04,"34,330.9"
2013-09-05,"34,895.8"
2013-09-06,"34,648.7"
2013-09-09,"35,195.8"
2013-09-10,"35,195.8"
2013-09-11,"35,301.7"
2013-09-12,"35,301.7"
2013-09-13,"35,213.5"
2013-09-16,"35,195.8"
2013-09-17,"35,125.2"
2013-09-18,"35,142.9"
2013-09-19,"35,125.2"
2013-09-20,"35,213.5"
2013-09-23,"35,125.2"
