Date,Price
2013-01-02,"5,450.0"
2013-01-03,"5,490.0"
2013-01-04,"5,520.0"
2013-01-08,"5,430.0"
2013-01-09,"5,450.0"
2013-01-10,"5,460.0"
2013-01-11,"5,450.0"
2013-01-14,"5,460.0"
2013-01-15,"5,440.0"
2013-01-16,"5,450.0"
2013-01-17,"5,440.0"
2013-01-18,"5,490.0"
2013-01-21,"5,500.0"
2013-01-22,"5,480.0"
2013-01-23,"5,560.0"
2013-01-24,"5,590.0"
2013-01-25,"5,600.0"
2013-01-28,"5,600.0"
2013-01-29,"5,640.0"
2013-01-30,"5,620.0"
2013-01-31,"5,650.0"
2013-02-01,"5,650.0"
2013-02-04,"5,700.0"
2013-02-05,"5,710.0"
2013-02-06,"5,600.0"
2013-02-07,"5,510.0"
2013-02-08,"5,500.0"
2013-02-11,"5,440.0"
2013-02-12,"5,420.0"
2013-02-13,"5,430.0"
2013-02-14,"5,450.0"
2013-02-15,"5,410.0"
2013-02-18,"5,410.0"
2013-02-19,"5,220.0"
2013-02-20,"5,190.0"
2013-02-21,"5,230.0"
2013-02-22,"5,240.0"
2013-02-25,"5,270.0"
2013-02-26,"5,220.0"
2013-02-27,"5,230.0"
2013-02-28,"5,210.0"
2013-03-01,"5,200.0"
2013-03-04,"5,150.0"
2013-03-05,"5,120.0"
2013-03-06,"5,090.0"
2013-03-07,"5,060.0"
2013-03-08,"5,140.0"
2013-03-11,"5,140.0"
2013-03-12,"5,110.0"
2013-03-13,"5,100.0"
2013-03-14,"5,100.0"
2013-03-15,"5,100.0"
2013-03-18,"4,960.0"
2013-03-19,"4,895.0"
2013-03-20,"4,900.0"
2013-03-21,"4,955.0"
2013-03-22,"5,030.0"
2013-03-26,"5,070.0"
2013-03-27,"5,050.0"
2013-04-01,"4,980.0"
2013-04-02,"4,975.0"
2013-04-03,"4,900.0"
2013-04-04,"4,935.0"
2013-04-05,"5,020.0"
2013-04-08,"4,935.0"
2013-04-09,"4,620.0"
2013-04-10,"4,525.0"
2013-04-11,"4,550.0"
2013-04-12,"4,450.0"
2013-04-15,"4,225.0"
2013-04-16,"4,395.0"
2013-04-17,"4,330.0"
2013-04-18,"4,310.0"
2013-04-19,"4,345.0"
2013-04-22,"4,360.0"
2013-04-23,"4,375.0"
2013-04-24,"4,410.0"
2013-04-25,"4,405.0"
2013-04-26,"4,335.0"
2013-04-29,"4,340.0"
2013-04-30,"4,390.0"
2013-05-02,"4,290.0"
2013-05-03,"4,320.0"
2013-05-06,"4,180.0"
2013-05-07,"4,200.0"
2013-05-08,"4,200.0"
2013-05-09,"4,180.0"
2013-05-10,"4,135.0"
2013-05-14,"4,125.0"
2013-05-15,"4,140.0"
2013-05-16,"4,125.0"
2013-05-17,"4,075.0"
2013-05-20,"3,995.0"
2013-05-21,"4,000.0"
2013-05-22,"4,015.0"
2013-05-23,"4,135.0"
2013-05-24,"4,155.0"
2013-05-27,"4,170.0"
2013-05-28,"4,190.0"
2013-05-29,"4,195.0"
2013-05-30,"4,205.0"
2013-05-31,"4,080.0"
2013-06-04,"4,120.0"
2013-06-05,"4,110.0"
2013-06-06,"4,085.0"
2013-06-07,"4,135.0"
2013-06-11,"4,060.0"
2013-06-12,"3,955.0"
2013-06-13,"3,975.0"
2013-06-14,"4,000.0"
2013-06-17,"4,085.0"
2013-06-18,"4,180.0"
2013-06-19,"4,120.0"
2013-06-20,"3,960.0"
2013-06-21,"3,975.0"
2013-06-24,"3,850.0"
2013-06-25,"3,850.0"
2013-06-26,"3,885.0"
2013-06-27,"3,900.0"
2013-06-28,"4,080.0"
2013-07-02,"4,080.0"
2013-07-03,"4,045.0"
2013-07-04,"4,100.0"
2013-07-05,"4,035.0"
2013-07-08,"4,010.0"
2013-07-09,"3,955.0"
2013-07-10,"3,875.0"
2013-07-11,"4,050.0"
2013-07-12,"4,060.0"
2013-07-15,"4,140.0"
2013-07-16,"4,160.0"
2013-07-17,"4,235.0"
2013-07-18,"4,295.0"
2013-07-19,"4,330.0"
2013-07-22,"4,320.0"
2013-07-23,"4,390.0"
2013-07-24,"4,385.0"
2013-07-25,"4,340.0"
2013-07-26,"4,325.0"
2013-07-29,"4,300.0"
2013-07-30,"4,305.0"
2013-07-31,"4,335.0"
2013-08-01,"4,350.0"
2013-08-02,"4,330.0"
2013-08-05,"4,345.0"
2013-08-06,"4,455.0"
2013-08-08,"4,320.0"
2013-08-09,"4,340.0"
2013-08-12,"4,335.0"
2013-08-13,"4,340.0"
2013-08-14,"4,355.0"
2013-08-15,"4,345.0"
2013-08-16,"4,370.0"
2013-08-20,"4,390.0"
2013-08-21,"4,360.0"
2013-08-22,"4,360.0"
2013-08-23,"4,350.0"
2013-08-26,"4,355.0"
2013-08-27,"4,370.0"
2013-08-28,"4,465.0"
2013-08-29,"4,385.0"
2013-08-30,"4,335.0"
2013-09-02,"4,355.0"
2013-09-03,"4,350.0"
2013-09-04,"4,395.0"
2013-09-05,"4,415.0"
2013-09-06,"4,390.0"
2013-09-09,"4,425.0"
2013-09-10,"4,495.0"
2013-09-11,"4,495.0"
2013-09-12,"4,490.0"
2013-09-13,"4,450.0"
2013-09-16,"4,435.0"
2013-09-17,"4,445.0"
2013-09-18,"4,490.0"
2013-09-19,"4,425.0"
