Date,Price
2013-01-02,"21,280.0"
2013-01-03,"21,280.0"
2013-01-04,"21,460.0"
2013-01-08,"20,960.0"
2013-01-09,"21,060.0"
2013-01-10,"21,100.0"
2013-01-11,"21,200.0"
2013-01-14,"21,100.0"
2013-01-15,"21,160.0"
2013-01-16,"22,320.0"
2013-01-17,"21,700.0"
2013-01-18,"21,560.0"
2013-01-21,"21,660.0"
2013-01-22,"21,880.0"
2013-01-23,"21,600.0"
2013-01-24,"22,100.0"
2013-01-25,"22,280.0"
2013-01-28,"22,200.0"
2013-01-29,"22,140.0"
2013-01-30,"22,400.0"
2013-01-31,"22,700.0"
2013-02-01,"23,200.0"
2013-02-04,"23,180.0"
2013-02-05,"23,780.0"
2013-02-06,"23,500.0"
2013-02-07,"22,900.0"
2013-02-08,"23,000.0"
2013-02-11,"23,020.0"
2013-02-12,"23,120.0"
2013-02-13,"23,340.0"
2013-02-14,"23,140.0"
2013-02-15,"22,260.0"
2013-02-18,"22,420.0"
2013-02-19,"22,460.0"
2013-02-20,"22,300.0"
2013-02-21,"22,500.0"
2013-02-22,"22,780.0"
2013-02-25,"22,700.0"
2013-02-26,"22,780.0"
2013-02-27,"23,000.0"
2013-02-28,"22,700.0"
2013-03-01,"22,860.0"
2013-03-04,"22,720.0"
2013-03-05,"22,400.0"
2013-03-06,"22,000.0"
2013-03-07,"21,680.0"
2013-03-08,"21,560.0"
2013-03-11,"21,420.0"
2013-03-12,"21,560.0"
2013-03-13,"21,500.0"
2013-03-14,"21,560.0"
2013-03-15,"22,000.0"
2013-03-18,"21,500.0"
2013-03-19,"21,800.0"
2013-03-20,"21,700.0"
2013-03-21,"21,400.0"
2013-03-22,"21,320.0"
2013-03-26,"21,740.0"
2013-03-27,"21,740.0"
2013-04-01,"22,100.0"
2013-04-02,"22,000.0"
2013-04-03,"21,860.0"
2013-04-04,"21,980.0"
2013-04-05,"22,000.0"
2013-04-08,"21,860.0"
2013-04-09,"21,980.0"
2013-04-10,"22,000.0"
2013-04-11,"22,300.0"
2013-04-12,"22,300.0"
2013-04-15,"21,080.0"
2013-04-16,"21,800.0"
2013-04-17,"21,840.0"
2013-04-18,"21,900.0"
2013-04-19,"21,800.0"
2013-04-22,"21,860.0"
2013-04-23,"21,700.0"
2013-04-24,"21,200.0"
2013-04-25,"21,280.0"
2013-04-26,"20,800.0"
2013-04-29,"20,000.0"
2013-04-30,"20,140.0"
2013-05-02,"20,520.0"
2013-05-03,"20,380.0"
2013-05-06,"20,200.0"
2013-05-07,"20,220.0"
2013-05-08,"20,360.0"
2013-05-09,"20,600.0"
2013-05-10,"20,200.0"
2013-05-14,"20,800.0"
2013-05-15,"21,140.0"
2013-05-16,"21,560.0"
2013-05-17,"21,560.0"
2013-05-20,"21,600.0"
2013-05-21,"22,280.0"
2013-05-22,"21,740.0"
2013-05-23,"20,560.0"
2013-05-24,"21,600.0"
2013-05-27,"21,180.0"
2013-05-28,"21,720.0"
2013-05-29,"21,240.0"
2013-05-30,"21,200.0"
2013-05-31,"20,100.0"
2013-06-04,"20,760.0"
2013-06-05,"20,500.0"
2013-06-06,"20,500.0"
2013-06-07,"20,680.0"
2013-06-11,"20,300.0"
2013-06-12,"20,180.0"
2013-06-13,"19,720.0"
2013-06-14,"19,860.0"
2013-06-17,"20,000.0"
2013-06-18,"19,900.0"
2013-06-19,"19,700.0"
2013-06-20,"19,320.0"
2013-06-21,"18,540.0"
2013-06-24,"18,500.0"
2013-06-25,"18,820.0"
2013-06-26,"19,300.0"
2013-06-27,"19,300.0"
2013-06-28,"19,300.0"
2013-07-02,"19,700.0"
2013-07-03,"19,200.0"
2013-07-04,"19,460.0"
2013-07-05,"18,400.0"
2013-07-08,"19,100.0"
2013-07-09,"19,080.0"
2013-07-10,"19,080.0"
2013-07-11,"19,200.0"
2013-07-12,"19,760.0"
2013-07-15,"20,100.0"
2013-07-16,"20,100.0"
2013-07-17,"20,500.0"
2013-07-18,"20,860.0"
2013-07-19,"20,820.0"
2013-07-22,"20,420.0"
2013-07-23,"20,920.0"
2013-07-24,"21,460.0"
2013-07-25,"21,240.0"
2013-07-26,"21,000.0"
2013-07-29,"21,300.0"
2013-07-30,"21,000.0"
2013-07-31,"20,560.0"
2013-08-01,"21,320.0"
2013-08-02,"21,560.0"
2013-08-05,"21,800.0"
2013-08-06,"21,600.0"
2013-08-08,"21,740.0"
2013-08-09,"21,820.0"
2013-08-12,"21,760.0"
2013-08-13,"22,500.0"
2013-08-14,"22,680.0"
2013-08-15,"21,980.0"
2013-08-16,"21,740.0"
2013-08-20,"21,480.0"
2013-08-21,"21,560.0"
2013-08-22,"21,560.0"
2013-08-23,"21,500.0"
2013-08-26,"21,500.0"
2013-08-27,"21,300.0"
2013-08-28,"21,700.0"
2013-08-29,"21,440.0"
2013-08-30,"21,840.0"
2013-09-02,"22,160.0"
2013-09-03,"22,380.0"
2013-09-04,"22,380.0"
2013-09-05,"22,100.0"
2013-09-06,"22,000.0"
2013-09-09,"22,300.0"
2013-09-10,"22,560.0"
2013-09-11,"22,500.0"
2013-09-12,"22,700.0"
2013-09-13,"22,320.0"
2013-09-16,"22,540.0"
2013-09-17,"22,400.0"
2013-09-18,"22,300.0"
2013-09-19,"22,480.0"
2013-09-20,"22,500.0"
2013-09-23,"22,460.0"
2013-09-24,"22,780.0"
2013-09-25,"22,700.0"
2013-09-26,"22,380.0"
2013-09-27,"22,400.0"
2013-09-30,"22,400.0"
2013-10-01,"22,400.0"
2013-10-02,"22,300.0"
2013-10-03,"22,500.0"
2013-10-04,"22,440.0"
2013-10-07,"22,500.0"
2013-10-08,"22,300.0"
2013-10-09,"22,160.0"
2013-10-10,"22,400.0"
2013-10-11,"22,400.0"
2013-10-15,"22,360.0"
2013-10-16,"22,360.0"
2013-10-17,"22,340.0"
2013-10-18,"22,400.0"
2013-10-21,"22,360.0"
2013-10-22,"22,480.0"
2013-10-23,"22,500.0"
2013-10-24,"22,380.0"
2013-10-25,"22,500.0"
2013-10-28,"22,180.0"
2013-10-29,"22,120.0"
2013-10-30,"22,460.0"
2013-10-31,"21,960.0"
2013-11-01,"22,200.0"
2013-11-05,"21,740.0"
2013-11-06,"21,980.0"
2013-11-07,"21,700.0"
2013-11-08,"20,720.0"
2013-11-12,"19,620.0"
