Date,Price
2013-01-02,"20,500.0"
2013-01-03,"21,400.0"
2013-01-04,"21,000.0"
2013-01-08,"21,080.0"
2013-01-09,"21,180.0"
2013-01-10,"21,100.0"
2013-01-11,"21,000.0"
2013-01-14,"21,300.0"
2013-01-15,"21,480.0"
2013-01-16,"21,760.0"
2013-01-17,"21,420.0"
2013-01-18,"21,580.0"
2013-01-21,"21,600.0"
2013-01-22,"21,800.0"
2013-01-23,"21,800.0"
2013-01-24,"22,160.0"
2013-01-25,"22,300.0"
2013-01-28,"22,160.0"
2013-01-29,"22,360.0"
2013-01-30,"22,760.0"
2013-01-31,"23,380.0"
2013-02-01,"23,380.0"
2013-02-04,"23,380.0"
2013-02-05,"24,000.0"
2013-02-06,"23,960.0"
2013-02-07,"23,460.0"
2013-02-08,"23,500.0"
2013-02-11,"23,700.0"
2013-02-12,"23,400.0"
2013-02-13,"23,640.0"
2013-02-14,"23,460.0"
2013-02-15,"22,880.0"
2013-02-18,"22,800.0"
2013-02-19,"22,800.0"
2013-02-20,"22,740.0"
2013-02-21,"23,000.0"
2013-02-22,"22,980.0"
2013-02-25,"22,980.0"
2013-02-26,"23,000.0"
2013-02-27,"23,000.0"
2013-02-28,"22,720.0"
2013-03-01,"22,980.0"
2013-03-04,"22,500.0"
2013-03-05,"22,580.0"
2013-03-06,"22,300.0"
2013-03-07,"21,680.0"
2013-03-08,"21,700.0"
2013-03-11,"21,440.0"
2013-03-12,"21,540.0"
2013-03-13,"21,580.0"
2013-03-14,"21,620.0"
2013-03-15,"21,900.0"
2013-03-18,"21,660.0"
2013-03-19,"21,600.0"
2013-03-20,"21,700.0"
2013-03-21,"21,540.0"
2013-03-22,"21,600.0"
2013-03-26,"21,760.0"
2013-03-27,"21,760.0"
2013-04-01,"22,080.0"
2013-04-02,"22,180.0"
2013-04-03,"21,940.0"
2013-04-04,"22,060.0"
2013-04-05,"22,000.0"
2013-04-08,"22,060.0"
2013-04-09,"22,060.0"
2013-04-10,"22,200.0"
2013-04-11,"22,400.0"
2013-04-12,"22,200.0"
2013-04-15,"20,980.0"
2013-04-16,"21,660.0"
2013-04-17,"21,700.0"
2013-04-18,"21,740.0"
2013-04-19,"21,700.0"
2013-04-22,"21,780.0"
2013-04-23,"21,700.0"
2013-04-24,"21,300.0"
2013-04-25,"21,120.0"
2013-04-26,"21,020.0"
2013-04-29,"20,280.0"
2013-04-30,"20,320.0"
2013-05-02,"20,500.0"
2013-05-03,"20,500.0"
2013-05-06,"20,260.0"
2013-05-07,"20,300.0"
2013-05-08,"20,240.0"
2013-05-09,"20,500.0"
2013-05-10,"20,480.0"
2013-05-14,"20,740.0"
2013-05-15,"21,200.0"
2013-05-16,"21,560.0"
2013-05-17,"21,980.0"
2013-05-20,"21,720.0"
2013-05-21,"22,000.0"
2013-05-22,"21,760.0"
2013-05-23,"21,500.0"
2013-05-24,"21,480.0"
