Date,Price
2013-01-02,"48,400.00"
2013-01-03,"48,400.00"
2013-01-04,"48,400.00"
2013-01-08,"48,400.00"
2013-01-09,"48,400.00"
2013-01-10,"48,400.00"
2013-01-11,"48,400.00"
2013-01-14,"48,400.00"
2013-01-15,"48,400.00"
2013-01-16,"48,400.00"
2013-01-17,"48,400.00"
2013-01-18,"45,000.00"
2013-01-21,"45,000.00"
2013-01-22,"45,000.00"
2013-01-23,"45,000.00"
2013-01-24,"46,600.00"
2013-01-25,"46,600.00"
2013-01-28,"46,600.00"
2013-01-29,"46,600.00"
2013-01-30,"47,500.00"
2013-01-31,"48,000.00"
2013-02-01,"48,000.00"
2013-02-04,"48,000.00"
2013-02-05,"46,600.00"
2013-02-06,"46,600.00"
2013-02-07,"46,600.00"
2013-02-08,"46,600.00"
2013-02-11,"46,000.00"
2013-02-12,"46,000.00"
2013-02-13,"46,000.00"
2013-02-14,"46,000.00"
2013-02-15,"46,000.00"
2013-02-18,"46,000.00"
2013-02-19,"47,000.00"
2013-02-20,"47,000.00"
2013-02-21,"47,000.00"
2013-02-22,"47,000.00"
2013-02-25,"46,000.00"
2013-02-26,"46,000.00"
2013-02-27,"46,000.00"
2013-02-28,"46,000.00"
2013-03-01,"46,000.00"
2013-03-04,"46,000.00"
2013-03-05,"46,000.00"
2013-03-06,"46,020.00"
2013-03-07,"46,020.00"
2013-03-08,"46,020.00"
2013-03-11,"46,020.00"
2013-03-12,"46,020.00"
2013-03-13,"46,020.00"
2013-03-14,"46,020.00"
2013-03-15,"46,020.00"
2013-03-18,"46,020.00"
2013-03-19,"46,020.00"
2013-03-20,"46,000.00"
2013-03-21,"46,000.00"
2013-03-22,"46,000.00"
2013-03-26,"46,000.00"
2013-03-27,"46,000.00"
2013-04-01,"46,000.00"
2013-04-02,"46,000.00"
2013-04-03,"46,000.00"
2013-04-04,"47,000.00"
2013-04-05,"47,000.00"
2013-04-08,"47,000.00"
2013-04-09,"46,000.00"
2013-04-10,"46,000.00"
2013-04-11,"46,000.00"
2013-04-12,"46,000.00"
2013-04-15,"46,000.00"
2013-04-16,"46,000.00"
2013-04-17,"46,000.00"
2013-04-18,"46,000.00"
2013-04-19,"46,000.00"
2013-04-22,"46,000.00"
2013-04-23,"46,000.00"
2013-04-24,"46,000.00"
2013-04-25,"46,000.00"
2013-04-26,"46,000.00"
2013-04-29,"46,000.00"
2013-04-30,"46,000.00"
2013-05-02,"46,000.00"
2013-05-03,"46,000.00"
2013-05-06,"46,000.00"
2013-05-07,"46,000.00"
2013-05-08,"46,000.00"
2013-05-09,"46,000.00"
2013-05-10,"46,000.00"
2013-05-14,"46,000.00"
2013-05-15,"46,000.00"
2013-05-16,"46,000.00"
2013-05-17,"46,000.00"
2013-05-20,"46,000.00"
2013-05-21,"46,000.00"
2013-05-22,"46,000.00"
2013-05-23,"46,000.00"
2013-05-24,"46,000.00"
2013-05-27,"46,000.00"
2013-05-28,"46,000.00"
2013-05-29,"46,000.00"
2013-05-30,"46,000.00"
2013-05-31,"46,000.00"
2013-06-04,"46,000.00"
2013-06-05,"46,000.00"
2013-06-06,"46,000.00"
2013-06-07,"46,000.00"
2013-06-11,"46,000.00"
2013-06-12,"46,000.00"
2013-06-13,"46,000.00"
2013-06-14,"46,000.00"
2013-06-17,"46,000.00"
2013-06-18,"46,000.00"
2013-06-19,"46,000.00"
2013-06-20,"46,000.00"
2013-06-21,"46,000.00"
2013-06-24,"45,000.00"
2013-06-25,"45,000.00"
2013-06-26,"45,000.00"
2013-06-27,"45,000.00"
2013-06-28,"45,000.00"
2013-07-02,"45,000.00"
2013-07-03,"45,000.00"
2013-07-04,"45,000.00"
2013-07-05,"45,000.00"
2013-07-08,"45,000.00"
2013-07-09,"45,000.00"
2013-07-10,"45,000.00"
2013-07-11,"45,000.00"
2013-07-12,"45,000.00"
2013-07-15,"45,000.00"
2013-07-16,"45,000.00"
2013-07-17,"44,500.00"
2013-07-18,"44,500.00"
2013-07-19,"44,500.00"
2013-07-22,"44,500.00"
2013-07-23,"44,500.00"
2013-07-24,"44,500.00"
2013-07-25,"44,500.00"
2013-07-26,"44,500.00"
2013-07-29,"44,500.00"
2013-07-30,"44,500.00"
2013-07-31,"44,500.00"
2013-08-01,"44,500.00"
2013-08-02,"44,500.00"
2013-08-05,"44,500.00"
2013-08-06,"44,500.00"
2013-08-08,"44,500.00"
2013-08-09,"44,500.00"
2013-08-12,"44,500.00"
2013-08-13,"44,500.00"
2013-08-14,"44,500.00"
2013-08-15,"44,500.00"
2013-08-16,"44,500.00"
2013-08-20,"44,500.00"
2013-08-21,"44,500.00"
2013-08-22,"44,500.00"
2013-08-23,"44,500.00"
2013-08-26,"44,500.00"
2013-08-27,"44,500.00"
2013-08-28,"44,500.00"
2013-08-29,"44,500.00"
2013-08-30,"44,500.00"
2013-09-02,"44,500.00"
2013-09-03,"44,500.00"
2013-09-04,"44,500.00"
2013-09-05,"44,500.00"
2013-09-06,"44,500.00"
2013-09-09,"44,500.00"
2013-09-10,"44,500.00"
2013-09-11,"44,500.00"
2013-09-12,"44,500.00"
2013-09-13,"44,500.00"
2013-09-16,"44,500.00"
2013-09-17,"44,300.00"
2013-09-18,"44,300.00"
2013-09-19,"44,300.00"
2013-09-20,"44,300.00"
2013-09-23,"44,300.00"
2013-09-24,"44,300.00"
2013-09-25,"44,300.00"
2013-09-26,"44,300.00"
2013-09-27,"44,300.00"
2013-09-30,"44,300.00"
2013-10-01,"44,300.00"
2013-10-02,"44,300.00"
2013-10-03,"44,300.00"
2013-10-04,"44,300.00"
2013-10-07,"44,300.00"
2013-10-08,"44,300.00"
2013-10-09,"44,300.00"
2013-10-10,"44,300.00"
2013-10-11,"44,300.00"
2013-10-15,"44,300.00"
2013-10-16,"44,300.00"
2013-10-17,"44,300.00"
2013-10-18,"44,300.00"
2013-10-21,"44,300.00"
2013-10-22,"44,200.00"
2013-10-23,"44,180.00"
2013-10-24,"44,100.00"
2013-10-25,"44,000.00"
2013-10-28,"44,000.00"
2013-10-29,"44,000.00"
2013-10-30,"44,000.00"
2013-10-31,"44,000.00"
2013-11-01,"44,000.00"
2013-11-05,"44,000.00"
2013-11-06,"44,000.00"
2013-11-07,"43,900.00"
2013-11-08,"43,900.00"
2013-11-12,"43,900.00"
2013-11-13,"43,900.00"
2013-11-14,"43,900.00"
2013-11-15,"43,900.00"
2013-11-18,"43,900.00"
2013-11-19,"43,900.00"
2013-11-20,"43,900.00"
2013-11-21,"43,900.00"
2013-11-22,"43,800.00"
2013-11-25,"43,800.00"
2013-11-26,"43,800.00"
2013-11-27,"43,700.00"
2013-11-28,"43,700.00"
2013-11-29,"43,700.00"
2013-12-02,"43,700.00"
2013-12-03,"43,700.00"
2013-12-04,"43,700.00"
2013-12-05,"43,700.00"
2013-12-06,"43,600.00"
2013-12-09,"43,500.00"
2013-12-10,"43,500.00"
2013-12-11,"43,500.00"
2013-12-12,"43,500.00"
2013-12-13,"43,500.00"
2013-12-16,"43,500.00"
2013-12-17,"43,500.00"
2013-12-18,"43,500.00"
2013-12-19,"43,500.00"
2013-12-20,"43,500.00"
2013-12-23,"43,500.00"
2013-12-24,"43,500.00"
2013-12-26,"43,500.00"
2013-12-27,"43,500.00"
2013-12-30,"43,500.00"
2014-01-02,"43,500.00"
2014-01-03,"43,500.00"
2014-01-07,"43,500.00"
2014-01-08,"43,500.00"
2014-01-09,"43,500.00"
2014-01-10,"43,500.00"
2014-01-13,"43,500.00"
2014-01-14,"43,500.00"
2014-01-15,"43,500.00"
2014-01-16,"43,500.00"
2014-01-17,"43,500.00"
2014-01-20,"43,500.00"
2014-01-21,"43,500.00"
2014-01-22,"43,500.00"
2014-01-23,"43,500.00"
2014-01-24,"43,500.00"
2014-01-27,"43,500.00"
2014-01-28,"43,400.00"
2014-01-29,"43,400.00"
2014-01-30,"43,400.00"
2014-01-31,"43,400.00"
2014-02-03,"43,400.00"
2014-02-04,"43,400.00"
2014-02-05,"43,400.00"
2014-02-06,"43,400.00"
2014-02-07,"43,400.00"
2014-02-10,"43,420.00"
2014-02-11,"43,400.00"
