Date,Price
2013-01-02,"29,400.0"
2013-01-03,"29,680.0"
2013-01-04,"29,960.0"
2013-01-08,"29,800.0"
2013-01-09,"30,000.0"
2013-01-10,"30,000.0"
2013-01-11,"30,060.0"
2013-01-14,"30,200.0"
2013-01-15,"30,300.0"
2013-01-16,"30,480.0"
2013-01-17,"30,500.0"
2013-01-18,"30,500.0"
2013-01-21,"30,500.0"
2013-01-22,"30,500.0"
2013-01-23,"30,680.0"
2013-01-24,"30,660.0"
2013-01-25,"30,660.0"
2013-01-28,"30,600.0"
2013-01-29,"30,560.0"
2013-01-30,"30,500.0"
2013-01-31,"30,480.0"
2013-02-01,"30,680.0"
2013-02-04,"30,300.0"
2013-02-05,"30,700.0"
2013-02-06,"30,580.0"
2013-02-07,"30,480.0"
2013-02-08,"30,220.0"
2013-02-11,"29,300.0"
2013-02-12,"29,380.0"
2013-02-13,"29,720.0"
2013-02-14,"29,960.0"
2013-02-15,"29,960.0"
2013-02-18,"29,280.0"
2013-02-19,"29,300.0"
2013-02-20,"29,400.0"
2013-02-21,"29,000.0"
2013-02-22,"29,300.0"
2013-02-25,"29,100.0"
2013-02-26,"28,920.0"
2013-02-27,"29,000.0"
2013-02-28,"28,800.0"
2013-03-01,"28,700.0"
2013-03-04,"28,020.0"
2013-03-05,"27,800.0"
2013-03-06,"28,260.0"
2013-03-07,"28,480.0"
2013-03-08,"28,320.0"
2013-03-11,"28,500.0"
2013-03-12,"28,600.0"
2013-03-13,"28,460.0"
2013-03-14,"28,200.0"
2013-03-15,"28,500.0"
2013-03-18,"28,580.0"
2013-03-19,"28,140.0"
2013-03-20,"28,300.0"
2013-03-21,"27,840.0"
2013-03-22,"28,000.0"
2013-03-26,"28,580.0"
2013-03-27,"28,800.0"
2013-04-01,"28,400.0"
2013-04-02,"28,280.0"
2013-04-03,"28,200.0"
2013-04-04,"28,340.0"
2013-04-05,"28,060.0"
2013-04-08,"28,080.0"
2013-04-09,"28,600.0"
2013-04-10,"28,600.0"
2013-04-11,"29,200.0"
2013-04-12,"29,380.0"
2013-04-15,"28,160.0"
2013-04-16,"28,620.0"
2013-04-17,"29,000.0"
2013-04-18,"29,340.0"
2013-04-19,"29,560.0"
2013-04-22,"29,680.0"
2013-04-23,"29,600.0"
2013-04-24,"29,640.0"
2013-04-25,"29,880.0"
2013-04-26,"29,800.0"
2013-04-29,"29,900.0"
2013-04-30,"30,000.0"
2013-05-02,"30,000.0"
2013-05-03,"29,940.0"
2013-05-06,"29,960.0"
2013-05-07,"30,000.0"
2013-05-08,"29,580.0"
2013-05-09,"28,720.0"
2013-05-10,"28,320.0"
2013-05-14,"28,500.0"
2013-05-15,"28,400.0"
2013-05-16,"27,900.0"
2013-05-17,"28,300.0"
2013-05-20,"28,200.0"
2013-05-21,"28,220.0"
2013-05-22,"28,340.0"
2013-05-23,"27,920.0"
2013-05-24,"28,160.0"
2013-05-27,"28,480.0"
2013-05-28,"28,200.0"
2013-05-29,"27,900.0"
2013-05-30,"28,040.0"
2013-05-31,"27,500.0"
2013-06-04,"27,400.0"
2013-06-05,"27,120.0"
2013-06-06,"27,380.0"
2013-06-07,"27,300.0"
2013-06-11,"27,040.0"
2013-06-12,"26,720.0"
2013-06-13,"26,520.0"
2013-06-14,"26,320.0"
2013-06-17,"26,400.0"
2013-06-18,"27,000.0"
2013-06-19,"26,680.0"
2013-06-20,"26,540.0"
2013-06-21,"25,800.0"
2013-06-24,"25,700.0"
2013-06-25,"25,400.0"
2013-06-26,"25,620.0"
2013-06-27,"25,900.0"
2013-06-28,"26,400.0"
2013-07-02,"25,900.0"
2013-07-03,"25,600.0"
2013-07-04,"25,560.0"
2013-07-05,"25,640.0"
2013-07-08,"25,400.0"
2013-07-09,"25,420.0"
2013-07-10,"24,980.0"
2013-07-11,"24,780.0"
2013-07-12,"25,000.0"
2013-07-15,"25,600.0"
2013-07-16,"25,500.0"
2013-07-17,"25,880.0"
2013-07-18,"26,500.0"
2013-07-19,"26,100.0"
2013-07-22,"25,700.0"
2013-07-23,"26,600.0"
2013-07-24,"26,620.0"
2013-07-25,"26,900.0"
2013-07-26,"26,900.0"
2013-07-29,"26,800.0"
2013-07-30,"26,900.0"
2013-07-31,"26,800.0"
2013-08-01,"26,920.0"
2013-08-02,"27,140.0"
2013-08-05,"27,460.0"
2013-08-06,"26,500.0"
2013-08-08,"26,400.0"
2013-08-09,"26,600.0"
2013-08-12,"26,880.0"
2013-08-13,"27,120.0"
2013-08-14,"27,480.0"
2013-08-15,"27,220.0"
2013-08-16,"26,700.0"
2013-08-20,"26,700.0"
2013-08-21,"26,900.0"
2013-08-22,"26,620.0"
2013-08-23,"26,540.0"
2013-08-26,"26,600.0"
2013-08-27,"26,660.0"
2013-08-28,"26,660.0"
2013-08-29,"26,440.0"
2013-08-30,"26,380.0"
2013-09-02,"26,240.0"
2013-09-03,"26,020.0"
2013-09-04,"26,200.0"
2013-09-05,"26,500.0"
2013-09-06,"26,220.0"
2013-09-09,"26,720.0"
2013-09-10,"27,300.0"
2013-09-11,"27,240.0"
2013-09-12,"26,860.0"
2013-09-13,"26,600.0"
2013-09-16,"26,780.0"
2013-09-17,"27,100.0"
2013-09-18,"27,000.0"
2013-09-19,"26,920.0"
2013-09-20,"26,700.0"
2013-09-23,"26,920.0"
2013-09-24,"27,000.0"
2013-09-25,"26,960.0"
2013-09-26,"26,760.0"
2013-09-27,"26,880.0"
2013-09-30,"26,900.0"
2013-10-01,"26,720.0"
2013-10-02,"26,960.0"
2013-10-03,"26,800.0"
2013-10-04,"26,880.0"
2013-10-07,"26,780.0"
2013-10-08,"26,640.0"
2013-10-09,"26,540.0"
2013-10-10,"26,600.0"
2013-10-11,"26,680.0"
2013-10-15,"26,700.0"
2013-10-16,"26,520.0"
2013-10-17,"26,560.0"
2013-10-18,"26,620.0"
2013-10-21,"26,600.0"
2013-10-22,"26,000.0"
2013-10-23,"26,180.0"
2013-10-24,"26,120.0"
2013-10-25,"26,480.0"
2013-10-28,"26,480.0"
2013-10-29,"26,500.0"
2013-10-30,"26,200.0"
2013-10-31,"26,100.0"
2013-11-01,"26,500.0"
2013-11-05,"25,940.0"
2013-11-06,"25,840.0"
2013-11-07,"25,300.0"
