Date,Price
2013-01-02,"1,320.00"
2013-01-03,"1,375.00"
2013-01-04,"1,380.00"
2013-01-08,"1,370.00"
2013-01-09,"1,385.00"
2013-01-10,"1,385.00"
2013-01-11,"1,415.00"
2013-01-14,"1,415.00"
2013-01-15,"1,395.00"
2013-01-16,"1,390.00"
2013-01-17,"1,395.00"
2013-01-18,"1,405.00"
2013-01-21,"1,395.00"
2013-01-22,"1,400.00"
2013-01-23,"1,410.00"
2013-01-24,"1,410.00"
2013-01-25,"1,410.00"
2013-01-28,"1,390.00"
2013-01-29,"1,385.00"
2013-01-30,"1,385.00"
2013-01-31,"1,340.00"
2013-02-01,"1,360.00"
2013-02-04,"1,335.00"
2013-02-05,"1,315.00"
2013-02-06,"1,310.00"
2013-02-07,"1,295.00"
2013-02-08,"1,335.00"
2013-02-11,"1,320.00"
2013-02-12,"1,335.00"
2013-02-13,"1,365.00"
2013-02-14,"1,360.00"
2013-02-15,"1,370.00"
2013-02-18,"1,375.00"
2013-02-19,"1,410.00"
2013-02-20,"1,415.00"
2013-02-21,"1,395.00"
2013-02-22,"1,400.00"
2013-02-25,"1,400.00"
2013-02-26,"1,410.00"
2013-02-27,"1,410.00"
2013-02-28,"1,410.00"
2013-03-01,"1,410.00"
2013-03-04,"1,400.00"
2013-03-05,"1,405.00"
2013-03-06,"1,400.00"
2013-03-07,"1,390.00"
2013-03-08,"1,395.00"
2013-03-11,"1,400.00"
2013-03-12,"1,405.00"
2013-03-13,"1,385.00"
2013-03-14,"1,390.00"
2013-03-15,"1,400.00"
2013-03-18,"1,395.00"
2013-03-19,"1,390.00"
2013-03-20,"1,385.00"
2013-03-21,"1,395.00"
2013-03-22,"1,385.00"
2013-03-26,"1,390.00"
2013-03-27,"1,400.00"
2013-04-01,"1,400.00"
2013-04-02,"1,390.00"
2013-04-03,"1,395.00"
2013-04-04,"1,395.00"
2013-04-05,"1,400.00"
2013-04-08,"1,385.00"
2013-04-09,"1,390.00"
2013-04-10,"1,400.00"
2013-04-11,"1,395.00"
2013-04-12,"1,400.00"
2013-04-15,"1,365.00"
2013-04-16,"1,375.00"
2013-04-17,"1,375.00"
2013-04-18,"1,370.00"
2013-04-19,"1,380.00"
2013-04-22,"1,380.00"
2013-04-23,"1,370.00"
2013-04-24,"1,375.00"
2013-04-25,"1,380.00"
2013-04-26,"1,385.00"
2013-04-29,"1,370.00"
2013-04-30,"1,365.00"
2013-05-02,"1,390.00"
2013-05-03,"1,400.00"
2013-05-06,"1,400.00"
2013-05-07,"1,410.00"
2013-05-08,"1,375.00"
