Date,Price
2013-01-02,"38,240.0"
2013-01-03,"38,400.0"
2013-01-04,"38,320.0"
2013-01-08,"38,200.0"
2013-01-09,"38,200.0"
2013-01-10,"37,980.0"
2013-01-11,"38,000.0"
2013-01-14,"38,300.0"
2013-01-15,"37,800.0"
2013-01-16,"38,060.0"
2013-01-17,"37,820.0"
2013-01-18,"38,120.0"
2013-01-21,"38,180.0"
2013-01-22,"38,700.0"
2013-01-23,"38,640.0"
2013-01-24,"38,680.0"
2013-01-25,"38,640.0"
2013-01-28,"38,400.0"
2013-01-29,"38,400.0"
2013-01-30,"38,600.0"
2013-01-31,"38,400.0"
2013-02-01,"38,480.0"
2013-02-04,"38,520.0"
2013-02-05,"38,500.0"
2013-02-06,"38,460.0"
2013-02-07,"38,780.0"
2013-02-08,"38,880.0"
2013-02-11,"38,500.0"
2013-02-12,"38,600.0"
2013-02-13,"39,000.0"
2013-02-14,"39,000.0"
2013-02-15,"38,960.0"
2013-02-18,"39,200.0"
2013-02-19,"39,360.0"
2013-02-20,"38,980.0"
2013-02-21,"39,000.0"
2013-02-22,"39,400.0"
2013-02-25,"39,400.0"
2013-02-26,"39,400.0"
2013-02-27,"39,600.0"
2013-02-28,"39,740.0"
2013-03-01,"40,000.0"
2013-03-04,"39,860.0"
2013-03-05,"39,700.0"
2013-03-06,"39,300.0"
2013-03-07,"38,900.0"
2013-03-08,"38,600.0"
2013-03-11,"38,760.0"
2013-03-12,"38,880.0"
2013-03-13,"38,680.0"
2013-03-14,"38,800.0"
2013-03-15,"39,600.0"
2013-03-18,"39,380.0"
2013-03-19,"39,300.0"
2013-03-20,"39,280.0"
2013-03-21,"39,200.0"
2013-03-22,"39,060.0"
2013-03-26,"39,280.0"
2013-03-27,"39,200.0"
2013-04-01,"39,100.0"
2013-04-02,"39,200.0"
2013-04-03,"38,780.0"
2013-04-04,"38,860.0"
2013-04-05,"38,700.0"
2013-04-08,"38,500.0"
2013-04-09,"38,780.0"
2013-04-10,"39,280.0"
2013-04-11,"39,340.0"
2013-04-12,"39,000.0"
2013-04-15,"38,800.0"
2013-04-16,"38,620.0"
2013-04-17,"38,500.0"
2013-04-18,"38,900.0"
2013-04-19,"38,500.0"
2013-04-22,"38,880.0"
2013-04-23,"38,500.0"
2013-04-24,"38,500.0"
2013-04-25,"38,740.0"
2013-04-26,"39,180.0"
2013-04-29,"39,180.0"
2013-04-30,"38,420.0"
2013-05-02,"39,160.0"
2013-05-03,"39,200.0"
2013-05-06,"39,120.0"
2013-05-07,"39,240.0"
2013-05-08,"38,500.0"
2013-05-09,"38,980.0"
2013-05-10,"38,600.0"
2013-05-14,"38,500.0"
2013-05-15,"39,000.0"
2013-05-16,"39,680.0"
2013-05-17,"39,800.0"
2013-05-20,"39,580.0"
2013-05-21,"39,780.0"
2013-05-22,"39,960.0"
2013-05-23,"39,840.0"
2013-05-24,"39,960.0"
2013-05-27,"39,940.0"
2013-05-28,"40,100.0"
2013-05-29,"40,000.0"
2013-05-30,"39,420.0"
2013-05-31,"39,600.0"
2013-06-04,"39,980.0"
2013-06-05,"39,600.0"
2013-06-06,"39,580.0"
2013-06-07,"39,500.0"
2013-06-11,"39,480.0"
2013-06-12,"38,300.0"
2013-06-13,"38,700.0"
2013-06-14,"39,280.0"
2013-06-17,"38,500.0"
2013-06-18,"39,220.0"
2013-06-19,"39,580.0"
2013-06-20,"38,800.0"
2013-06-21,"38,300.0"
2013-06-24,"37,500.0"
2013-06-25,"36,800.0"
2013-06-26,"36,560.0"
2013-06-27,"36,400.0"
2013-06-28,"37,940.0"
2013-07-02,"37,900.0"
2013-07-03,"37,940.0"
2013-07-04,"37,860.0"
2013-07-05,"37,500.0"
2013-07-08,"36,300.0"
2013-07-09,"35,720.0"
2013-07-10,"35,000.0"
2013-07-11,"35,560.0"
2013-07-12,"35,800.0"
2013-07-15,"37,300.0"
2013-07-16,"37,500.0"
2013-07-17,"37,960.0"
2013-07-18,"37,900.0"
2013-07-19,"37,980.0"
2013-07-22,"37,600.0"
2013-07-23,"38,000.0"
2013-07-24,"38,300.0"
2013-07-25,"38,140.0"
2013-07-26,"37,720.0"
2013-07-29,"37,860.0"
2013-07-30,"38,260.0"
2013-07-31,"37,880.0"
2013-08-01,"38,000.0"
2013-08-02,"38,360.0"
2013-08-05,"38,220.0"
2013-08-06,"38,120.0"
2013-08-08,"37,980.0"
2013-08-09,"38,360.0"
2013-08-12,"38,400.0"
2013-08-13,"38,480.0"
2013-08-14,"38,660.0"
2013-08-15,"37,700.0"
2013-08-16,"38,060.0"
2013-08-20,"38,260.0"
2013-08-21,"38,120.0"
2013-08-22,"37,880.0"
2013-08-23,"38,180.0"
2013-08-26,"38,000.0"
2013-08-27,"38,200.0"
2013-08-28,"38,600.0"
2013-08-29,"38,640.0"
2013-08-30,"38,980.0"
2013-09-02,"38,520.0"
2013-09-03,"38,840.0"
2013-09-04,"38,980.0"
2013-09-05,"38,900.0"
2013-09-06,"38,880.0"
2013-09-09,"38,900.0"
2013-09-10,"39,000.0"
2013-09-11,"38,980.0"
2013-09-12,"38,980.0"
2013-09-13,"39,000.0"
2013-09-16,"39,000.0"
2013-09-17,"39,000.0"
2013-09-18,"39,000.0"
2013-09-19,"39,000.0"
2013-09-20,"39,000.0"
2013-09-23,"39,000.0"
2013-09-24,"39,000.0"
2013-09-25,"39,460.0"
2013-09-26,"38,940.0"
2013-09-27,"38,900.0"
2013-09-30,"38,560.0"
2013-10-01,"38,800.0"
2013-10-02,"38,800.0"
2013-10-03,"38,980.0"
2013-10-04,"38,980.0"
2013-10-07,"38,840.0"
2013-10-08,"38,880.0"
2013-10-09,"38,840.0"
2013-10-10,"38,760.0"
2013-10-11,"38,800.0"
2013-10-15,"38,720.0"
2013-10-16,"38,700.0"
2013-10-17,"38,700.0"
2013-10-18,"38,700.0"
2013-10-21,"38,700.0"
2013-10-22,"38,700.0"
2013-10-23,"38,700.0"
2013-10-24,"38,700.0"
2013-10-25,"38,320.0"
2013-10-28,"38,040.0"
2013-10-29,"37,920.0"
2013-10-30,"38,200.0"
2013-10-31,"37,600.0"
2013-11-01,"38,360.0"
2013-11-05,"38,200.0"
2013-11-06,"38,400.0"
2013-11-07,"38,140.0"
2013-11-08,"36,700.0"
2013-11-12,"35,640.0"
2013-11-13,"36,600.0"
2013-11-14,"36,940.0"
2013-11-15,"37,000.0"
2013-11-18,"37,280.0"
2013-11-19,"37,060.0"
2013-11-20,"37,340.0"
2013-11-21,"37,000.0"
2013-11-22,"36,920.0"
2013-11-25,"36,500.0"
2013-11-26,"35,800.0"
2013-11-27,"35,720.0"
2013-11-28,"35,800.0"
2013-11-29,"35,700.0"
2013-12-02,"35,460.0"
2013-12-03,"35,900.0"
2013-12-04,"34,200.0"
2013-12-05,"34,800.0"
2013-12-06,"34,380.0"
2013-12-09,"34,940.0"
2013-12-10,"35,400.0"
2013-12-11,"35,600.0"
2013-12-12,"36,360.0"
2013-12-13,"35,980.0"
2013-12-16,"35,020.0"
2013-12-17,"35,020.0"
2013-12-18,"35,400.0"
2013-12-19,"35,800.0"
2013-12-20,"36,180.0"
2013-12-23,"34,900.0"
2013-12-24,"34,900.0"
2013-12-26,"34,920.0"
2013-12-27,"34,920.0"
2013-12-30,"34,980.0"
2014-01-02,"35,000.0"
2014-01-03,"35,000.0"
2014-01-07,"34,200.0"
2014-01-08,"35,040.0"
2014-01-09,"35,000.0"
2014-01-10,"34,000.0"
2014-01-13,"33,400.0"
2014-01-14,"33,640.0"
2014-01-15,"34,300.0"
2014-01-16,"33,900.0"
2014-01-17,"33,300.0"
2014-01-20,"32,740.0"
2014-01-21,"32,440.0"
2014-01-22,"32,600.0"
2014-01-23,"32,120.0"
2014-01-24,"31,600.0"
2014-01-27,"31,100.0"
2014-01-28,"30,620.0"
2014-01-29,"31,000.0"
2014-01-30,"30,820.0"
2014-01-31,"31,200.0"
2014-02-03,"30,860.0"
2014-02-04,"30,800.0"
2014-02-05,"30,620.0"
2014-02-06,"31,320.0"
2014-02-07,"31,700.0"
2014-02-10,"31,420.0"
2014-02-11,"31,640.0"
2014-02-12,"32,100.0"
2014-02-13,"32,520.0"
2014-02-14,"33,100.0"
2014-02-17,"33,360.0"
2014-02-18,"32,840.0"
2014-02-19,"32,960.0"
2014-02-20,"32,220.0"
2014-02-21,"32,480.0"
2014-02-24,"33,200.0"
2014-02-25,"32,540.0"
2014-02-26,"32,460.0"
2014-02-27,"32,900.0"
2014-02-28,"33,900.0"
2014-03-03,"33,720.0"
2014-03-04,"34,660.0"
2014-03-05,"35,020.0"
2014-03-06,"35,280.0"
2014-03-07,"34,700.0"
2014-03-10,"34,980.0"
2014-03-11,"36,000.0"
2014-03-12,"35,620.0"
2014-03-13,"35,960.0"
2014-03-14,"35,800.0"
2014-03-17,"35,840.0"
2014-03-18,"35,320.0"
2014-03-19,"35,620.0"
2014-03-20,"35,940.0"
2014-03-21,"35,640.0"
2014-03-25,"36,600.0"
2014-03-26,"37,080.0"
2014-03-27,"36,800.0"
2014-03-28,"36,800.0"
2014-03-31,"36,800.0"
2014-04-01,"36,800.0"
2014-04-02,"37,200.0"
2014-04-03,"37,280.0"
2014-04-04,"36,820.0"
2014-04-07,"36,500.0"
2014-04-08,"36,500.0"
2014-04-09,"36,960.0"
2014-04-10,"36,500.0"
2014-04-11,"36,500.0"
2014-04-14,"36,680.0"
2014-04-15,"36,200.0"
2014-04-16,"36,020.0"
2014-04-21,"36,340.0"
2014-04-22,"36,400.0"
2014-04-23,"36,960.0"
2014-04-24,"36,760.0"
2014-04-25,"36,940.0"
2014-04-28,"37,000.0"
