Date,Price
2013-01-02,"9,600.0"
2013-01-03,"9,600.0"
2013-01-04,"9,670.0"
2013-01-08,"9,330.0"
2013-01-09,"9,570.0"
2013-01-10,"9,450.0"
2013-01-11,"9,590.0"
2013-01-14,"9,500.0"
2013-01-15,"9,400.0"
2013-01-16,"9,600.0"
2013-01-17,"9,600.0"
2013-01-18,"9,690.0"
2013-01-21,"9,700.0"
2013-01-22,"9,770.0"
2013-01-23,"9,830.0"
2013-01-24,"9,800.0"
2013-01-25,"9,900.0"
2013-01-28,"9,910.0"
2013-01-29,"9,960.0"
2013-01-30,"10,180.0"
2013-01-31,"9,990.0"
2013-02-01,"10,200.0"
2013-02-04,"10,080.0"
2013-02-05,"10,200.0"
2013-02-06,"10,060.0"
2013-02-07,"10,000.0"
2013-02-08,"9,990.0"
2013-02-11,"9,980.0"
2013-02-12,"10,040.0"
2013-02-13,"10,080.0"
2013-02-14,"10,080.0"
2013-02-15,"10,080.0"
2013-02-18,"10,080.0"
2013-02-19,"10,040.0"
2013-02-20,"9,980.0"
2013-02-21,"9,970.0"
2013-02-22,"10,060.0"
2013-02-25,"10,000.0"
2013-02-26,"9,930.0"
2013-02-27,"9,900.0"
2013-02-28,"9,800.0"
2013-03-01,"9,740.0"
2013-03-04,"9,540.0"
2013-03-05,"9,460.0"
2013-03-06,"9,460.0"
2013-03-07,"9,200.0"
2013-03-08,"9,070.0"
2013-03-11,"9,010.0"
2013-03-12,"9,160.0"
2013-03-13,"9,140.0"
2013-03-14,"9,140.0"
2013-03-15,"9,480.0"
2013-03-18,"9,150.0"
2013-03-19,"9,000.0"
2013-03-20,"8,920.0"
2013-03-21,"9,150.0"
2013-03-22,"8,950.0"
2013-03-26,"8,900.0"
2013-03-27,"9,000.0"
2013-04-01,"8,910.0"
2013-04-02,"8,810.0"
2013-04-03,"8,660.0"
2013-04-04,"8,760.0"
2013-04-05,"8,850.0"
2013-04-08,"8,590.0"
2013-04-09,"8,800.0"
2013-04-10,"8,980.0"
2013-04-11,"9,000.0"
2013-04-12,"8,830.0"
2013-04-15,"8,510.0"
2013-04-16,"8,600.0"
2013-04-17,"8,600.0"
2013-04-18,"8,880.0"
2013-04-19,"8,900.0"
2013-04-22,"8,980.0"
2013-04-23,"8,840.0"
2013-04-24,"8,890.0"
2013-04-25,"8,870.0"
2013-04-26,"8,620.0"
2013-04-29,"8,580.0"
2013-04-30,"8,400.0"
2013-05-02,"8,550.0"
2013-05-03,"8,600.0"
2013-05-06,"8,450.0"
2013-05-07,"8,380.0"
2013-05-08,"8,400.0"
2013-05-09,"8,340.0"
2013-05-10,"8,200.0"
2013-05-14,"7,960.0"
2013-05-15,"8,090.0"
2013-05-16,"8,060.0"
2013-05-17,"8,150.0"
2013-05-20,"8,030.0"
2013-05-21,"8,000.0"
2013-05-22,"8,340.0"
2013-05-23,"8,430.0"
2013-05-24,"8,370.0"
2013-05-27,"8,290.0"
2013-05-28,"8,220.0"
2013-05-29,"8,220.0"
2013-05-30,"8,200.0"
2013-05-31,"7,940.0"
2013-06-04,"8,080.0"
2013-06-05,"8,050.0"
2013-06-06,"8,090.0"
2013-06-07,"7,960.0"
2013-06-11,"7,960.0"
2013-06-12,"7,590.0"
2013-06-13,"7,650.0"
2013-06-14,"7,600.0"
2013-06-17,"7,620.0"
2013-06-18,"7,620.0"
2013-06-19,"7,880.0"
2013-06-20,"7,830.0"
2013-06-21,"7,400.0"
2013-06-24,"7,350.0"
2013-06-25,"7,400.0"
2013-06-26,"7,430.0"
2013-06-27,"7,410.0"
2013-06-28,"7,570.0"
2013-07-02,"7,550.0"
2013-07-03,"7,600.0"
2013-07-04,"7,510.0"
2013-07-05,"7,410.0"
2013-07-08,"7,430.0"
2013-07-09,"7,430.0"
2013-07-10,"7,440.0"
2013-07-11,"7,650.0"
2013-07-12,"7,850.0"
2013-07-15,"7,840.0"
2013-07-16,"7,810.0"
2013-07-17,"8,200.0"
2013-07-18,"8,180.0"
2013-07-19,"8,200.0"
2013-07-22,"8,070.0"
2013-07-23,"8,300.0"
2013-07-24,"8,500.0"
2013-07-25,"8,600.0"
2013-07-26,"8,500.0"
2013-07-29,"8,350.0"
2013-07-30,"8,320.0"
2013-07-31,"8,040.0"
2013-08-01,"8,370.0"
2013-08-02,"8,700.0"
2013-08-05,"8,800.0"
2013-08-06,"8,640.0"
2013-08-08,"8,680.0"
2013-08-09,"8,900.0"
2013-08-12,"8,890.0"
2013-08-13,"8,930.0"
2013-08-14,"9,180.0"
2013-08-15,"9,220.0"
2013-08-16,"9,080.0"
2013-08-20,"9,090.0"
2013-08-21,"9,140.0"
2013-08-22,"9,070.0"
2013-08-23,"9,030.0"
2013-08-26,"9,030.0"
2013-08-27,"9,020.0"
2013-08-28,"9,230.0"
2013-08-29,"9,160.0"
2013-08-30,"9,240.0"
2013-09-02,"9,220.0"
2013-09-03,"9,320.0"
2013-09-04,"9,360.0"
2013-09-05,"9,310.0"
2013-09-06,"9,320.0"
2013-09-09,"9,380.0"
2013-09-10,"9,640.0"
2013-09-11,"9,650.0"
2013-09-12,"9,600.0"
2013-09-13,"9,650.0"
2013-09-16,"9,580.0"
2013-09-17,"9,740.0"
2013-09-18,"9,720.0"
2013-09-19,"9,660.0"
2013-09-20,"9,620.0"
2013-09-23,"9,750.0"
2013-09-24,"9,710.0"
2013-09-25,"9,700.0"
2013-09-26,"9,620.0"
2013-09-27,"9,700.0"
2013-09-30,"9,450.0"
2013-10-01,"9,490.0"
2013-10-02,"9,310.0"
2013-10-03,"9,320.0"
2013-10-04,"9,310.0"
2013-10-07,"9,450.0"
2013-10-08,"9,480.0"
2013-10-09,"9,490.0"
2013-10-10,"9,400.0"
2013-10-11,"9,380.0"
2013-10-15,"9,360.0"
2013-10-16,"9,350.0"
2013-10-17,"9,400.0"
2013-10-18,"9,580.0"
2013-10-21,"9,680.0"
2013-10-22,"9,660.0"
2013-10-23,"9,540.0"
2013-10-24,"9,440.0"
2013-10-25,"9,350.0"
2013-10-28,"9,320.0"
2013-10-29,"9,400.0"
2013-10-30,"9,490.0"
2013-10-31,"9,360.0"
2013-11-01,"9,480.0"
2013-11-05,"9,450.0"
2013-11-06,"9,230.0"
2013-11-07,"8,960.0"
2013-11-08,"8,870.0"
2013-11-12,"8,720.0"
2013-11-13,"8,800.0"
2013-11-14,"8,880.0"
2013-11-15,"8,860.0"
2013-11-18,"8,750.0"
2013-11-19,"8,870.0"
2013-11-20,"8,600.0"
2013-11-21,"8,700.0"
2013-11-22,"8,630.0"
2013-11-25,"8,690.0"
2013-11-26,"8,800.0"
2013-11-27,"8,900.0"
2013-11-28,"8,860.0"
2013-11-29,"8,620.0"
2013-12-02,"8,700.0"
2013-12-03,"8,970.0"
2013-12-04,"8,570.0"
2013-12-05,"8,800.0"
2013-12-06,"8,700.0"
2013-12-09,"8,920.0"
2013-12-10,"8,900.0"
2013-12-11,"9,040.0"
2013-12-12,"9,100.0"
2013-12-13,"9,000.0"
2013-12-16,"8,840.0"
2013-12-17,"9,120.0"
2013-12-18,"9,030.0"
2013-12-19,"9,060.0"
2013-12-20,"8,810.0"
2013-12-23,"8,600.0"
2013-12-24,"8,970.0"
2013-12-26,"8,870.0"
2013-12-27,"8,920.0"
2013-12-30,"9,100.0"
2014-01-02,"9,050.0"
2014-01-03,"8,980.0"
2014-01-07,"8,650.0"
2014-01-08,"8,870.0"
2014-01-09,"8,820.0"
2014-01-10,"8,890.0"
2014-01-13,"8,890.0"
2014-01-14,"8,790.0"
2014-01-15,"8,720.0"
2014-01-16,"8,370.0"
2014-01-17,"8,340.0"
2014-01-20,"8,500.0"
2014-01-21,"8,360.0"
