Date,Price
2013-01-02,"4,250.00"
2013-01-03,"4,250.00"
2013-01-04,"4,250.00"
2013-01-08,"4,260.00"
2013-01-09,"4,300.00"
2013-01-10,"4,290.00"
2013-01-11,"4,290.00"
2013-01-14,"4,300.00"
2013-01-15,"4,295.00"
2013-01-16,"4,200.00"
2013-01-17,"4,210.00"
2013-01-18,"4,210.00"
2013-01-21,"4,280.00"
2013-01-22,"4,320.00"
2013-01-23,"4,325.00"
2013-01-24,"4,325.00"
2013-01-25,"4,400.00"
2013-01-28,"4,400.00"
2013-01-29,"4,400.00"
2013-01-30,"4,500.00"
2013-01-31,"4,600.00"
2013-02-01,"4,600.00"
2013-02-04,"4,600.00"
2013-02-05,"4,600.00"
2013-02-06,"4,590.00"
2013-02-07,"4,590.00"
2013-02-08,"4,590.00"
2013-02-11,"4,580.00"
2013-02-12,"4,630.00"
2013-02-13,"4,650.00"
2013-02-14,"4,660.00"
2013-02-15,"4,615.00"
2013-02-18,"4,655.00"
2013-02-19,"4,680.00"
2013-02-20,"4,690.00"
2013-02-21,"4,690.00"
2013-02-22,"4,780.00"
2013-02-25,"4,780.00"
2013-02-26,"4,840.00"
2013-02-27,"4,895.00"
2013-02-28,"4,860.00"
2013-03-01,"4,850.00"
2013-03-04,"4,855.00"
2013-03-05,"4,850.00"
2013-03-06,"4,790.00"
2013-03-07,"4,710.00"
2013-03-08,"4,680.00"
2013-03-11,"4,650.00"
2013-03-12,"4,750.00"
2013-03-13,"4,750.00"
2013-03-14,"4,720.00"
2013-03-15,"4,715.00"
2013-03-18,"4,715.00"
2013-03-19,"4,715.00"
2013-03-20,"4,715.00"
2013-03-21,"4,715.00"
2013-03-22,"4,715.00"
2013-03-26,"4,715.00"
2013-03-27,"4,715.00"
2013-04-01,"4,700.00"
2013-04-02,"4,700.00"
2013-04-03,"4,700.00"
2013-04-04,"4,690.00"
2013-04-05,"4,690.00"
2013-04-08,"4,580.00"
2013-04-09,"4,580.00"
2013-04-10,"4,500.00"
2013-04-11,"4,500.00"
2013-04-12,"4,500.00"
2013-04-15,"4,500.00"
2013-04-16,"4,300.00"
2013-04-17,"4,300.00"
2013-04-18,"4,310.00"
2013-04-19,"4,300.00"
2013-04-22,"4,300.00"
2013-04-23,"4,300.00"
2013-04-24,"4,150.00"
2013-04-25,"4,150.00"
2013-04-26,"4,150.00"
2013-04-29,"4,100.00"
2013-04-30,"4,090.00"
2013-05-02,"4,000.00"
2013-05-03,"4,000.00"
2013-05-06,"3,880.00"
2013-05-07,"3,800.00"
2013-05-08,"3,760.00"
2013-05-09,"3,800.00"
2013-05-10,"3,780.00"
2013-05-14,"3,700.00"
2013-05-15,"3,800.00"
2013-05-16,"3,800.00"
2013-05-17,"3,770.00"
2013-05-20,"3,800.00"
2013-05-21,"3,790.00"
2013-05-22,"3,935.00"
2013-05-23,"3,915.00"
2013-05-24,"3,825.00"
2013-05-27,"3,825.00"
2013-05-28,"3,870.00"
2013-05-29,"3,870.00"
2013-05-30,"3,800.00"
2013-05-31,"3,870.00"
2013-06-04,"3,870.00"
2013-06-05,"3,870.00"
2013-06-06,"3,870.00"
2013-06-07,"3,870.00"
2013-06-11,"3,870.00"
2013-06-12,"3,870.00"
2013-06-13,"3,800.00"
2013-06-14,"3,800.00"
2013-06-17,"3,800.00"
2013-06-18,"3,800.00"
2013-06-19,"3,750.00"
2013-06-20,"3,700.00"
2013-06-21,"3,560.00"
2013-06-24,"3,560.00"
2013-06-25,"3,560.00"
2013-06-26,"3,415.00"
2013-06-27,"3,540.00"
2013-06-28,"3,540.00"
2013-07-02,"3,415.00"
2013-07-03,"3,415.00"
2013-07-04,"3,415.00"
2013-07-05,"3,415.00"
2013-07-08,"3,415.00"
2013-07-09,"3,415.00"
2013-07-10,"3,415.00"
2013-07-11,"3,415.00"
2013-07-12,"3,415.00"
2013-07-15,"3,415.00"
2013-07-16,"3,395.00"
2013-07-17,"3,260.00"
2013-07-18,"3,295.00"
2013-07-19,"3,260.00"
2013-07-22,"3,200.00"
2013-07-23,"3,300.00"
2013-07-24,"3,200.00"
2013-07-25,"3,200.00"
2013-07-26,"3,165.00"
2013-07-29,"3,000.00"
2013-07-30,"2,900.00"
2013-07-31,"2,940.00"
2013-08-01,"2,900.00"
2013-08-02,"2,900.00"
2013-08-05,"2,895.00"
2013-08-06,"2,910.00"
2013-08-08,"2,795.00"
2013-08-09,"2,805.00"
2013-08-12,"2,800.00"
2013-08-13,"2,850.00"
2013-08-14,"2,875.00"
2013-08-15,"3,090.00"
2013-08-16,"3,155.00"
2013-08-20,"3,150.00"
2013-08-21,"3,200.00"
2013-08-22,"3,275.00"
2013-08-23,"3,225.00"
2013-08-26,"3,250.00"
2013-08-27,"3,370.00"
2013-08-28,"3,470.00"
2013-08-29,"3,470.00"
2013-08-30,"3,465.00"
2013-09-02,"3,465.00"
2013-09-03,"3,420.00"
2013-09-04,"3,300.00"
2013-09-05,"3,250.00"
2013-09-06,"3,300.00"
2013-09-09,"3,300.00"
2013-09-10,"3,270.00"
2013-09-11,"3,250.00"
2013-09-12,"3,250.00"
2013-09-13,"3,250.00"
2013-09-16,"3,200.00"
2013-09-17,"3,200.00"
2013-09-18,"3,300.00"
2013-09-19,"3,300.00"
2013-09-20,"3,265.00"
2013-09-23,"3,265.00"
2013-09-24,"3,200.00"
2013-09-25,"3,280.00"
2013-09-26,"3,170.00"
2013-09-27,"3,190.00"
2013-09-30,"3,305.00"
2013-10-01,"3,200.00"
2013-10-02,"3,280.00"
2013-10-03,"3,255.00"
2013-10-04,"3,240.00"
2013-10-07,"3,300.00"
2013-10-08,"3,270.00"
2013-10-09,"3,300.00"
2013-10-10,"3,260.00"
2013-10-11,"3,200.00"
2013-10-15,"3,200.00"
2013-10-16,"3,250.00"
2013-10-17,"3,310.00"
2013-10-18,"3,350.00"
2013-10-21,"3,325.00"
2013-10-22,"3,450.00"
2013-10-23,"3,555.00"
2013-10-24,"3,620.00"
2013-10-25,"3,560.00"
2013-10-28,"3,580.00"
2013-10-29,"3,520.00"
2013-10-30,"3,500.00"
2013-10-31,"3,405.00"
2013-11-01,"3,365.00"
2013-11-05,"3,365.00"
2013-11-06,"3,365.00"
2013-11-07,"3,365.00"
2013-11-08,"3,265.00"
2013-11-12,"3,265.00"
2013-11-13,"3,265.00"
2013-11-14,"3,230.00"
2013-11-15,"3,295.00"
2013-11-18,"3,165.00"
2013-11-19,"3,150.00"
2013-11-20,"3,100.00"
2013-11-21,"3,100.00"
2013-11-22,"3,010.00"
2013-11-25,"3,000.00"
2013-11-26,"3,040.00"
2013-11-27,"3,040.00"
2013-11-28,"3,105.00"
2013-11-29,"3,225.00"
2013-12-02,"3,225.00"
2013-12-03,"3,100.00"
2013-12-04,"3,100.00"
2013-12-05,"3,100.00"
2013-12-06,"3,000.00"
2013-12-09,"3,000.00"
2013-12-10,"2,990.00"
2013-12-11,"3,025.00"
2013-12-12,"3,270.00"
2013-12-13,"3,270.00"
2013-12-16,"3,270.00"
2013-12-17,"3,270.00"
2013-12-18,"3,400.00"
2013-12-19,"3,460.00"
2013-12-20,"3,450.00"
2013-12-23,"3,550.00"
2013-12-24,"3,615.00"
2013-12-26,"3,635.00"
2013-12-27,"3,630.00"
2013-12-30,"3,615.00"
2014-01-02,"3,615.00"
2014-01-03,"3,600.00"
2014-01-07,"3,600.00"
2014-01-08,"3,600.00"
2014-01-09,"3,600.00"
2014-01-10,"3,500.00"
2014-01-13,"3,110.00"
2014-01-14,"3,110.00"
2014-01-15,"3,230.00"
2014-01-16,"3,230.00"
2014-01-17,"3,195.00"
2014-01-20,"3,095.00"
2014-01-21,"3,100.00"
2014-01-22,"3,100.00"
2014-01-23,"3,180.00"
2014-01-24,"3,130.00"
2014-01-27,"3,060.00"
2014-01-28,"3,055.00"
2014-01-29,"3,025.00"
2014-01-30,"3,025.00"
2014-01-31,"3,145.00"
2014-02-03,"3,050.00"
2014-02-04,"3,030.00"
