Date,Price
2013-01-02,"17,200.00"
2013-01-03,"17,200.00"
2013-01-04,"17,200.00"
2013-01-08,"17,200.00"
2013-01-09,"17,200.00"
2013-01-10,"17,200.00"
2013-01-11,"17,200.00"
2013-01-14,"17,200.00"
2013-01-15,"17,200.00"
2013-01-16,"17,200.00"
2013-01-17,"17,200.00"
2013-01-18,"17,200.00"
2013-01-21,"17,200.00"
2013-01-22,"17,200.00"
2013-01-23,"17,200.00"
2013-01-24,"17,200.00"
2013-01-25,"17,200.00"
2013-01-28,"17,200.00"
2013-01-29,"17,200.00"
2013-01-30,"17,200.00"
2013-01-31,"17,200.00"
2013-02-01,"17,200.00"
2013-02-04,"17,200.00"
2013-02-05,"17,200.00"
2013-02-06,"17,200.00"
2013-02-07,"17,200.00"
2013-02-08,"17,200.00"
2013-02-11,"17,200.00"
2013-02-12,"17,200.00"
2013-02-13,"17,200.00"
2013-02-14,"17,200.00"
2013-02-15,"17,200.00"
2013-02-18,"17,200.00"
2013-02-19,"17,200.00"
2013-02-20,"17,200.00"
2013-02-21,"17,200.00"
2013-02-22,"17,200.00"
2013-02-25,"17,200.00"
2013-02-26,"17,200.00"
2013-02-27,"17,200.00"
2013-02-28,"17,200.00"
2013-03-01,"17,200.00"
2013-03-04,"17,200.00"
2013-03-05,"17,200.00"
2013-03-06,"17,200.00"
2013-03-07,"17,200.00"
2013-03-08,"17,200.00"
2013-03-11,"17,200.00"
2013-03-12,"17,200.00"
2013-03-13,"17,200.00"
2013-03-14,"17,200.00"
2013-03-15,"17,200.00"
2013-03-18,"17,200.00"
2013-03-19,"17,200.00"
2013-03-20,"17,200.00"
2013-03-21,"17,200.00"
2013-03-22,"17,200.00"
2013-03-26,"17,200.00"
2013-03-27,"17,200.00"
2013-04-01,"17,200.00"
2013-04-02,"17,200.00"
2013-04-03,"17,200.00"
2013-04-04,"17,200.00"
2013-04-05,"17,200.00"
2013-04-08,"17,200.00"
2013-04-09,"17,200.00"
2013-04-10,"17,200.00"
2013-04-11,"17,200.00"
2013-04-12,"17,200.00"
2013-04-15,"17,200.00"
2013-04-16,"17,200.00"
2013-04-17,"17,200.00"
2013-04-18,"17,200.00"
2013-04-19,"17,200.00"
2013-04-22,"17,200.00"
