Date,Price
2013-01-02,"3,045.1"
2013-01-03,"3,045.1"
2013-01-04,"3,045.1"
2013-01-08,"3,045.1"
2013-01-09,"3,045.1"
2013-01-10,"3,045.1"
2013-01-11,"3,045.1"
2013-01-14,"3,045.1"
2013-01-15,"3,045.1"
2013-01-16,"3,045.1"
2013-01-17,"3,045.1"
2013-01-18,"3,045.1"
2013-01-21,"3,045.1"
2013-01-22,"3,045.1"
2013-01-23,"3,045.1"
2013-01-24,"3,045.1"
2013-01-25,"3,045.1"
2013-01-28,"3,045.1"
2013-01-29,"3,045.1"
2013-01-30,"3,045.1"
2013-01-31,"3,045.1"
2013-02-01,"3,045.1"
2013-02-04,"3,045.1"
2013-02-05,"3,045.1"
2013-02-06,"3,080.3"
2013-02-07,"3,080.3"
2013-02-08,"3,080.3"
2013-02-11,"3,080.3"
2013-02-12,"3,080.3"
2013-02-13,"2,932.7"
2013-02-14,"2,932.7"
2013-02-15,"2,932.7"
2013-02-18,"2,932.7"
2013-02-19,"2,932.7"
2013-02-20,"2,932.7"
2013-02-21,"3,150.6"
2013-02-22,"3,157.6"
2013-02-25,"3,159.9"
2013-02-26,"3,159.9"
2013-02-27,"3,159.9"
2013-02-28,"3,267.7"
2013-03-01,"3,277.0"
2013-03-04,"3,279.4"
2013-03-05,"3,279.4"
2013-03-06,"3,279.4"
2013-03-07,"3,279.4"
2013-03-08,"3,361.4"
2013-03-11,"3,361.4"
2013-03-12,"3,361.4"
2013-03-13,"3,302.8"
2013-03-14,"3,302.8"
2013-03-15,"3,302.8"
2013-03-18,"3,302.8"
2013-03-19,"3,307.5"
2013-03-20,"3,307.5"
2013-03-21,"2,928.0"
2013-03-22,"2,928.0"
2013-03-26,"2,928.0"
2013-03-27,"2,928.0"
2013-04-01,"2,928.0"
2013-04-02,"2,928.0"
2013-04-03,"2,928.0"
2013-04-04,"2,928.0"
2013-04-05,"2,928.0"
2013-04-08,"2,928.0"
2013-04-09,"2,928.0"
2013-04-10,"2,928.0"
2013-04-11,"2,928.0"
2013-04-12,"2,928.0"
2013-04-15,"2,928.0"
2013-04-16,"2,928.0"
2013-04-17,"2,928.0"
2013-04-18,"2,928.0"
2013-04-19,"2,928.0"
2013-04-22,"2,928.0"
2013-04-23,"2,928.0"
2013-04-24,"2,928.0"
2013-04-25,"2,928.0"
2013-04-26,"2,928.0"
2013-04-29,"2,928.0"
2013-04-30,"3,429.3"
2013-05-02,"3,429.3"
2013-05-03,"3,429.3"
2013-05-06,"3,429.3"
2013-05-07,"3,429.3"
2013-05-08,"3,429.3"
2013-05-09,"3,429.3"
2013-05-10,"4,216.4"
2013-05-14,"4,216.4"
2013-05-15,"4,216.4"
2013-05-16,"4,216.4"
2013-05-17,"4,216.4"
2013-05-20,"4,216.4"
2013-05-21,"4,216.4"
2013-05-22,"4,216.4"
2013-05-23,"4,216.4"
2013-05-24,"4,216.4"
2013-05-27,"4,216.4"
2013-05-28,"4,216.4"
2013-05-29,"4,642.7"
2013-05-30,"4,642.7"
2013-05-31,"4,731.7"
2013-06-04,"4,731.7"
2013-06-05,"4,731.7"
2013-06-06,"4,731.7"
2013-06-07,"4,731.7"
2013-06-11,"4,731.7"
2013-06-12,"4,731.7"
2013-06-13,"4,731.7"
2013-06-14,"4,731.7"
2013-06-17,"4,731.7"
2013-06-18,"4,731.7"
2013-06-19,"4,731.7"
2013-06-20,"4,731.7"
2013-06-21,"4,731.7"
2013-06-24,"4,731.7"
2013-06-25,"4,731.7"
2013-06-26,"5,340.7"
2013-06-27,"5,340.7"
2013-06-28,"5,340.7"
2013-07-02,"5,340.7"
2013-07-03,"5,340.7"
2013-07-04,"5,340.7"
2013-07-05,"5,340.7"
2013-07-08,"5,340.7"
2013-07-09,"5,340.7"
2013-07-10,"5,340.7"
2013-07-11,"5,340.7"
2013-07-12,"5,340.7"
2013-07-15,"5,340.7"
2013-07-16,"5,340.7"
2013-07-17,"5,340.7"
2013-07-18,"5,340.7"
2013-07-19,"5,340.7"
2013-07-22,"5,340.7"
2013-07-23,"5,340.7"
2013-07-24,"5,340.7"
2013-07-25,"5,340.7"
2013-07-26,"5,340.7"
2013-07-29,"5,340.7"
2013-07-30,"5,340.7"
2013-07-31,"5,340.7"
2013-08-01,"5,340.7"
2013-08-02,"5,340.7"
2013-08-05,"5,340.7"
2013-08-06,"5,340.7"
2013-08-08,"5,340.7"
2013-08-09,"5,340.7"
2013-08-12,"5,340.7"
2013-08-13,"5,340.7"
2013-08-14,"5,340.7"
2013-08-15,"5,340.7"
2013-08-16,"5,340.7"
2013-08-20,"5,340.7"
2013-08-21,"5,340.7"
2013-08-22,"5,340.7"
2013-08-23,"5,340.7"
2013-08-26,"5,340.7"
2013-08-27,"5,340.7"
2013-08-28,"5,340.7"
2013-08-29,"5,340.7"
2013-08-30,"5,340.7"
2013-09-02,"5,340.7"
2013-09-03,"5,340.7"
2013-09-04,"5,340.7"
2013-09-05,"5,340.7"
2013-09-06,"5,434.4"
2013-09-09,"5,434.4"
2013-09-10,"5,434.4"
2013-09-11,"5,453.2"
2013-09-12,"5,453.2"
2013-09-13,"5,453.2"
2013-09-16,"5,453.2"
2013-09-17,"5,453.2"
2013-09-18,"5,453.2"
2013-09-19,"5,481.3"
2013-09-20,"5,481.3"
2013-09-23,"5,481.3"
2013-09-24,"5,481.3"
2013-09-25,"5,481.3"
2013-09-26,"5,481.3"
2013-09-27,"5,481.3"
2013-09-30,"5,481.3"
2013-10-01,"5,481.3"
2013-10-02,"5,481.3"
2013-10-03,"5,481.3"
2013-10-04,"5,481.3"
2013-10-07,"5,481.3"
2013-10-08,"5,481.3"
2013-10-09,"5,481.3"
2013-10-10,"5,481.3"
2013-10-11,"5,481.3"
2013-10-15,"5,664.0"
2013-10-16,"5,664.0"
2013-10-17,"5,664.0"
2013-10-18,"5,664.0"
2013-10-21,"5,664.0"
2013-10-22,"5,664.0"
2013-10-23,"5,664.0"
2013-10-24,"5,664.0"
2013-10-25,"5,664.0"
2013-10-28,"5,664.0"
2013-10-29,"5,702.7"
2013-10-30,"5,702.7"
2013-10-31,"5,702.7"
2013-11-01,"5,702.7"
2013-11-05,"5,702.7"
2013-11-06,"5,702.7"
2013-11-07,"5,702.7"
2013-11-08,"5,605.9"
2013-11-12,"5,605.9"
2013-11-13,"5,605.9"
2013-11-14,"5,605.9"
2013-11-15,"5,509.1"
2013-11-18,"5,509.1"
2013-11-19,"5,509.1"
2013-11-20,"5,509.1"
2013-11-21,"5,509.1"
2013-11-22,"5,509.1"
2013-11-25,"5,509.1"
2013-11-26,"5,509.1"
2013-11-27,"5,509.1"
2013-11-28,"5,509.1"
2013-11-29,"5,509.1"
2013-12-02,"5,509.1"
2013-12-03,"5,509.1"
2013-12-04,"5,509.1"
2013-12-05,"5,509.1"
2013-12-06,"5,509.1"
2013-12-09,"5,509.1"
2013-12-10,"5,509.1"
2013-12-11,"5,509.1"
2013-12-12,"5,509.1"
2013-12-13,"5,509.1"
2013-12-16,"4,618.3"
2013-12-17,"4,618.3"
2013-12-18,"4,618.3"
2013-12-19,"4,618.3"
2013-12-20,"4,618.3"
2013-12-23,"4,618.3"
2013-12-24,"4,618.3"
2013-12-26,"4,618.3"
2013-12-27,"4,618.3"
2013-12-30,"4,618.3"
2014-01-02,"4,618.3"
2014-01-03,"4,618.3"
2014-01-07,"4,618.3"
2014-01-08,"4,618.3"
2014-01-09,"4,618.3"
2014-01-10,"4,618.3"
2014-01-13,"4,618.3"
2014-01-14,"4,618.3"
2014-01-15,"4,618.3"
2014-01-16,"4,618.3"
2014-01-17,"4,618.3"
2014-01-20,"4,618.3"
2014-01-21,"4,618.3"
2014-01-22,"4,618.3"
2014-01-23,"4,618.3"
2014-01-24,"4,618.3"
2014-01-27,"4,618.3"
2014-01-28,"4,618.3"
2014-01-29,"4,618.3"
2014-01-30,"4,618.3"
2014-01-31,"4,618.3"
2014-02-03,"4,618.3"
2014-02-04,"4,618.3"
2014-02-05,"4,618.3"
2014-02-06,"4,618.3"
2014-02-07,"4,618.3"
2014-02-10,"4,618.3"
2014-02-11,"4,618.3"
2014-02-12,"4,618.3"
2014-02-13,"4,618.3"
2014-02-14,"4,618.3"
2014-02-17,"4,618.3"
2014-02-18,"4,618.3"
2014-02-19,"4,618.3"
2014-02-20,"4,618.3"
2014-02-21,"4,618.3"
2014-02-24,"4,618.3"
2014-02-25,"4,618.3"
2014-02-26,"4,618.3"
2014-02-27,"4,618.3"
2014-02-28,"4,618.3"
2014-03-03,"4,618.3"
2014-03-04,"4,618.3"
2014-03-05,"4,618.3"
2014-03-06,"4,618.3"
2014-03-07,"4,618.3"
2014-03-10,"4,618.3"
2014-03-11,"4,618.3"
2014-03-12,"4,618.3"
2014-03-13,"4,618.3"
2014-03-14,"4,618.3"
2014-03-17,"4,618.3"
2014-03-18,"4,618.3"
2014-03-19,"4,618.3"
2014-03-20,"4,647.4"
2014-03-21,"4,647.4"
2014-03-25,"4,647.4"
2014-03-26,"4,702.0"
2014-03-27,"4,702.0"
2014-03-28,"4,702.0"
2014-03-31,"4,702.0"
2014-04-01,"4,702.0"
2014-04-02,"4,702.0"
2014-04-03,"4,408.2"
2014-04-04,"4,408.2"
2014-04-07,"4,408.2"
2014-04-08,"4,408.2"
2014-04-09,"4,408.2"
2014-04-10,"4,408.2"
2014-04-11,"4,408.2"
2014-04-14,"4,408.2"
2014-04-15,"4,408.2"
2014-04-16,"4,408.2"
2014-04-21,"4,408.2"
2014-04-22,"4,408.2"
2014-04-23,"4,408.2"
2014-04-24,"4,692.2"
2014-04-25,"4,692.2"
2014-04-28,"4,692.2"
2014-04-29,"4,692.2"
2014-04-30,"4,692.2"
2014-05-02,"4,692.2"
2014-05-05,"4,692.2"
2014-05-06,"4,692.2"
2014-05-07,"4,692.2"
2014-05-08,"4,692.2"
2014-05-09,"4,222.0"
2014-05-12,"4,589.4"
2014-05-13,"4,604.1"
2014-05-14,"4,599.2"
2014-05-15,"4,604.1"
2014-05-16,"4,599.2"
2014-05-19,"4,697.1"
2014-05-20,"4,702.0"
2014-05-21,"4,702.0"
2014-05-22,"4,702.0"
2014-05-23,"4,702.0"
2014-05-26,"4,702.0"
2014-05-27,"4,702.0"
2014-05-28,"4,702.0"
2014-05-29,"4,702.0"
2014-05-30,"4,702.0"
2014-06-03,"4,706.9"
2014-06-04,"4,706.9"
2014-06-05,"4,702.0"
2014-06-06,"4,702.0"
2014-06-09,"4,702.0"
2014-06-10,"4,702.0"
2014-06-11,"4,702.0"
2014-06-12,"4,702.0"
2014-06-13,"4,702.0"
2014-06-16,"4,702.0"
2014-06-17,"4,702.0"
2014-06-18,"4,702.0"
2014-06-19,"4,702.0"
2014-06-20,"4,702.0"
2014-06-24,"4,702.0"
2014-06-25,"4,702.0"
2014-06-26,"4,702.0"
2014-06-27,"4,702.0"
2014-07-01,"4,702.0"
2014-07-02,"4,702.0"
2014-07-03,"4,702.0"
2014-07-04,"4,702.0"
2014-07-07,"4,702.0"
2014-07-08,"4,702.0"
2014-07-09,"4,702.0"
2014-07-10,"4,604.1"
2014-07-11,"4,697.1"
2014-07-14,"4,702.0"
2014-07-15,"4,653.1"
2014-07-16,"4,609.0"
2014-07-17,"4,653.1"
2014-07-18,"4,653.1"
2014-07-21,"4,653.1"
2014-07-22,"4,653.1"
2014-07-23,"4,653.1"
2014-07-24,"4,653.1"
2014-07-25,"4,653.1"
2014-07-28,"4,653.1"
2014-07-29,"4,653.1"
2014-07-30,"4,653.1"
2014-07-31,"4,653.1"
2014-08-01,"4,653.1"
2014-08-04,"4,653.1"
2014-08-05,"4,653.1"
2014-08-06,"4,653.1"
2014-08-08,"4,653.1"
2014-08-11,"4,702.0"
2014-08-12,"4,702.0"
2014-08-13,"4,702.0"
2014-08-14,"4,702.0"
2014-08-15,"4,751.0"
2014-08-19,"4,839.2"
2014-08-20,"4,839.2"
2014-08-21,"4,839.2"
2014-08-22,"4,839.2"
2014-08-25,"4,839.2"
2014-08-26,"4,839.2"
2014-08-27,"4,839.2"
2014-08-28,"4,839.2"
2014-08-29,"4,839.2"
2014-09-01,"4,839.2"
2014-09-02,"4,839.2"
2014-09-03,"4,907.8"
2014-09-04,"4,907.8"
2014-09-05,"4,995.9"
2014-09-08,"4,995.9"
2014-09-09,"4,995.9"
2014-09-10,"4,995.9"
2014-09-11,"4,995.9"
2014-09-12,"4,995.9"
2014-09-15,"4,995.9"
2014-09-16,"4,995.9"
2014-09-17,"4,995.9"
2014-09-18,"4,995.9"
2014-09-19,"4,995.9"
2014-09-22,"4,995.9"
2014-09-23,"5,015.5"
2014-09-24,"5,120.0"
2014-09-25,"5,120.0"
2014-09-26,"5,120.0"
2014-09-29,"5,120.0"
2014-09-30,"5,120.0"
2014-10-01,"5,120.0"
2014-10-02,"5,120.0"
2014-10-03,"5,120.0"
2014-10-06,"5,120.0"
2014-10-07,"5,120.0"
2014-10-08,"5,120.0"
