Date,Price
2013-01-02,"37,300.0"
2013-01-03,"37,480.0"
2013-01-04,"37,480.0"
2013-01-08,"37,020.0"
2013-01-09,"37,580.0"
2013-01-10,"36,980.0"
2013-01-11,"36,980.0"
2013-01-14,"37,280.0"
2013-01-15,"36,500.0"
2013-01-16,"37,160.0"
2013-01-17,"37,380.0"
2013-01-18,"37,180.0"
2013-01-21,"37,260.0"
2013-01-22,"37,320.0"
2013-01-23,"37,660.0"
2013-01-24,"37,640.0"
2013-01-25,"37,320.0"
2013-01-28,"37,040.0"
2013-01-29,"37,520.0"
2013-01-30,"37,460.0"
2013-01-31,"37,700.0"
2013-02-01,"37,540.0"
2013-02-04,"37,540.0"
2013-02-05,"37,240.0"
2013-02-06,"37,480.0"
2013-02-07,"37,120.0"
2013-02-08,"37,220.0"
2013-02-11,"36,680.0"
2013-02-12,"37,160.0"
2013-02-13,"37,600.0"
2013-02-14,"37,620.0"
2013-02-15,"37,600.0"
2013-02-18,"37,700.0"
2013-02-19,"37,980.0"
2013-02-20,"37,760.0"
2013-02-21,"38,000.0"
2013-02-22,"38,440.0"
2013-02-25,"38,360.0"
2013-02-26,"38,300.0"
2013-02-27,"38,700.0"
2013-02-28,"38,660.0"
2013-03-01,"38,860.0"
2013-03-04,"38,600.0"
2013-03-05,"38,520.0"
2013-03-06,"38,260.0"
2013-03-07,"38,380.0"
2013-03-08,"37,980.0"
2013-03-11,"37,440.0"
2013-03-12,"37,660.0"
2013-03-13,"37,800.0"
2013-03-14,"37,700.0"
2013-03-15,"39,000.0"
2013-03-18,"38,400.0"
2013-03-19,"38,020.0"
2013-03-20,"38,120.0"
2013-03-21,"37,800.0"
2013-03-22,"38,000.0"
2013-03-26,"38,060.0"
2013-03-27,"39,000.0"
2013-04-01,"38,600.0"
2013-04-02,"38,460.0"
2013-04-03,"37,940.0"
2013-04-04,"38,220.0"
2013-04-05,"37,540.0"
2013-04-08,"37,880.0"
2013-04-09,"38,100.0"
2013-04-10,"38,460.0"
2013-04-11,"38,520.0"
2013-04-12,"38,300.0"
2013-04-15,"37,260.0"
2013-04-16,"37,800.0"
2013-04-17,"37,760.0"
2013-04-18,"38,000.0"
2013-04-19,"38,000.0"
2013-04-22,"38,000.0"
2013-04-23,"37,800.0"
2013-04-24,"37,780.0"
2013-04-25,"38,000.0"
2013-04-26,"37,980.0"
2013-04-29,"38,300.0"
2013-04-30,"38,500.0"
2013-05-02,"38,160.0"
2013-05-03,"38,140.0"
2013-05-06,"38,480.0"
2013-05-07,"38,500.0"
2013-05-08,"37,860.0"
2013-05-09,"38,280.0"
2013-05-10,"37,620.0"
2013-05-14,"37,940.0"
2013-05-15,"38,000.0"
2013-05-16,"38,200.0"
2013-05-17,"38,900.0"
2013-05-20,"38,800.0"
2013-05-21,"38,760.0"
2013-05-22,"39,080.0"
2013-05-23,"38,640.0"
2013-05-24,"38,980.0"
2013-05-27,"38,780.0"
2013-05-28,"39,100.0"
2013-05-29,"38,520.0"
2013-05-30,"38,200.0"
2013-05-31,"38,800.0"
2013-06-04,"38,900.0"
2013-06-05,"38,580.0"
2013-06-06,"37,900.0"
2013-06-07,"38,140.0"
2013-06-11,"37,820.0"
2013-06-12,"37,000.0"
2013-06-13,"37,220.0"
2013-06-14,"37,500.0"
2013-06-17,"37,300.0"
2013-06-18,"38,400.0"
2013-06-19,"38,480.0"
2013-06-20,"38,200.0"
2013-06-21,"36,200.0"
2013-06-24,"36,500.0"
2013-06-25,"36,000.0"
2013-06-26,"35,120.0"
2013-06-27,"35,560.0"
2013-06-28,"37,400.0"
2013-07-02,"37,040.0"
2013-07-03,"36,900.0"
2013-07-04,"36,980.0"
2013-07-05,"36,220.0"
2013-07-08,"35,180.0"
2013-07-09,"34,960.0"
2013-07-10,"34,120.0"
2013-07-11,"34,420.0"
2013-07-12,"34,880.0"
2013-07-15,"36,500.0"
2013-07-16,"36,520.0"
2013-07-17,"36,980.0"
2013-07-18,"37,180.0"
2013-07-19,"36,640.0"
2013-07-22,"36,560.0"
2013-07-23,"36,900.0"
2013-07-24,"37,280.0"
2013-07-25,"37,280.0"
2013-07-26,"36,820.0"
2013-07-29,"36,540.0"
2013-07-30,"37,080.0"
2013-07-31,"37,380.0"
2013-08-01,"37,120.0"
2013-08-02,"37,320.0"
2013-08-05,"37,480.0"
2013-08-06,"37,080.0"
2013-08-08,"36,960.0"
2013-08-09,"36,940.0"
2013-08-12,"37,500.0"
2013-08-13,"37,580.0"
2013-08-14,"37,900.0"
2013-08-15,"37,200.0"
2013-08-16,"37,060.0"
2013-08-20,"37,000.0"
2013-08-21,"37,000.0"
2013-08-22,"37,280.0"
2013-08-23,"37,100.0"
2013-08-26,"37,480.0"
2013-08-27,"37,500.0"
2013-08-28,"37,600.0"
2013-08-29,"37,300.0"
2013-08-30,"38,280.0"
2013-09-02,"37,440.0"
2013-09-03,"37,600.0"
2013-09-04,"38,000.0"
2013-09-05,"37,800.0"
2013-09-06,"37,560.0"
2013-09-09,"38,000.0"
2013-09-10,"38,480.0"
2013-09-11,"38,500.0"
2013-09-12,"38,340.0"
2013-09-13,"38,300.0"
2013-09-16,"38,000.0"
2013-09-17,"38,280.0"
2013-09-18,"38,180.0"
2013-09-19,"38,260.0"
2013-09-20,"38,300.0"
2013-09-23,"38,300.0"
2013-09-24,"38,200.0"
2013-09-25,"38,300.0"
2013-09-26,"38,060.0"
2013-09-27,"37,820.0"
2013-09-30,"38,120.0"
2013-10-01,"38,200.0"
2013-10-02,"38,000.0"
2013-10-03,"38,400.0"
2013-10-04,"38,400.0"
2013-10-07,"38,160.0"
2013-10-08,"38,500.0"
2013-10-09,"37,840.0"
2013-10-10,"37,900.0"
2013-10-11,"37,900.0"
2013-10-15,"37,900.0"
2013-10-16,"37,800.0"
2013-10-17,"37,940.0"
2013-10-18,"37,900.0"
2013-10-21,"38,000.0"
2013-10-22,"37,660.0"
2013-10-23,"37,900.0"
2013-10-24,"37,640.0"
2013-10-25,"37,440.0"
2013-10-28,"37,320.0"
2013-10-29,"37,480.0"
2013-10-30,"37,480.0"
2013-10-31,"37,500.0"
2013-11-01,"37,520.0"
2013-11-05,"37,040.0"
2013-11-06,"37,500.0"
2013-11-07,"37,100.0"
2013-11-08,"35,600.0"
2013-11-12,"34,300.0"
2013-11-13,"35,240.0"
2013-11-14,"35,960.0"
2013-11-15,"36,100.0"
2013-11-18,"36,000.0"
2013-11-19,"36,080.0"
2013-11-20,"35,900.0"
2013-11-21,"35,800.0"
2013-11-22,"35,660.0"
2013-11-25,"35,420.0"
2013-11-26,"34,980.0"
2013-11-27,"34,400.0"
2013-11-28,"34,500.0"
2013-11-29,"34,800.0"
2013-12-02,"34,140.0"
2013-12-03,"34,120.0"
2013-12-04,"33,400.0"
2013-12-05,"33,600.0"
2013-12-06,"34,060.0"
2013-12-09,"34,200.0"
2013-12-10,"34,300.0"
2013-12-11,"34,800.0"
2013-12-12,"35,300.0"
2013-12-13,"35,300.0"
2013-12-16,"34,020.0"
2013-12-17,"34,180.0"
2013-12-18,"34,400.0"
2013-12-19,"34,400.0"
2013-12-20,"34,000.0"
2013-12-23,"33,840.0"
2013-12-24,"34,200.0"
2013-12-26,"34,000.0"
2013-12-27,"33,900.0"
2013-12-30,"33,700.0"
2014-01-02,"33,980.0"
2014-01-03,"33,960.0"
2014-01-07,"33,800.0"
2014-01-08,"33,800.0"
2014-01-09,"34,360.0"
2014-01-10,"33,220.0"
2014-01-13,"33,280.0"
2014-01-14,"33,180.0"
2014-01-15,"33,460.0"
2014-01-16,"32,860.0"
2014-01-17,"32,500.0"
2014-01-20,"32,000.0"
2014-01-21,"31,620.0"
2014-01-22,"31,600.0"
2014-01-23,"31,200.0"
2014-01-24,"31,000.0"
2014-01-27,"30,100.0"
2014-01-28,"29,820.0"
2014-01-29,"30,000.0"
2014-01-30,"29,900.0"
2014-01-31,"30,700.0"
2014-02-03,"29,820.0"
2014-02-04,"29,800.0"
2014-02-05,"29,800.0"
2014-02-06,"30,180.0"
2014-02-07,"30,860.0"
2014-02-10,"30,600.0"
2014-02-11,"30,700.0"
2014-02-12,"31,100.0"
2014-02-13,"31,560.0"
2014-02-14,"31,940.0"
2014-02-17,"32,080.0"
2014-02-18,"31,740.0"
2014-02-19,"32,000.0"
2014-02-20,"31,100.0"
2014-02-21,"31,140.0"
2014-02-24,"31,920.0"
2014-02-25,"31,540.0"
2014-02-26,"31,800.0"
2014-02-27,"32,100.0"
2014-02-28,"33,180.0"
2014-03-03,"32,900.0"
2014-03-04,"33,500.0"
2014-03-05,"34,000.0"
2014-03-06,"34,380.0"
2014-03-07,"34,080.0"
2014-03-10,"33,620.0"
2014-03-11,"35,020.0"
2014-03-12,"35,120.0"
2014-03-13,"34,720.0"
2014-03-14,"34,700.0"
2014-03-17,"34,880.0"
2014-03-18,"34,640.0"
2014-03-19,"34,700.0"
2014-03-20,"34,680.0"
2014-03-21,"34,980.0"
2014-03-25,"35,900.0"
2014-03-26,"36,080.0"
2014-03-27,"36,480.0"
2014-03-28,"36,420.0"
2014-03-31,"36,500.0"
2014-04-01,"36,340.0"
2014-04-02,"36,800.0"
2014-04-03,"36,460.0"
2014-04-04,"36,320.0"
2014-04-07,"36,000.0"
2014-04-08,"35,980.0"
2014-04-09,"36,300.0"
2014-04-10,"36,000.0"
2014-04-11,"36,080.0"
2014-04-14,"36,320.0"
2014-04-15,"35,640.0"
2014-04-16,"36,180.0"
2014-04-21,"36,000.0"
2014-04-22,"36,200.0"
2014-04-23,"36,520.0"
2014-04-24,"36,600.0"
2014-04-25,"36,800.0"
2014-04-28,"36,520.0"
2014-04-29,"37,000.0"
2014-04-30,"37,780.0"
2014-05-02,"37,920.0"
2014-05-05,"37,540.0"
2014-05-06,"37,960.0"
2014-05-07,"38,200.0"
2014-05-08,"38,180.0"
2014-05-09,"38,100.0"
2014-05-12,"38,500.0"
2014-05-13,"38,880.0"
2014-05-14,"38,640.0"
2014-05-15,"38,000.0"
2014-05-16,"38,800.0"
2014-05-19,"38,980.0"
2014-05-20,"37,500.0"
2014-05-21,"38,120.0"
2014-05-22,"37,680.0"
2014-05-23,"37,920.0"
2014-05-26,"37,980.0"
2014-05-27,"38,180.0"
2014-05-28,"38,300.0"
2014-05-29,"38,300.0"
2014-05-30,"38,300.0"
2014-06-03,"39,000.0"
2014-06-04,"38,980.0"
2014-06-05,"38,680.0"
2014-06-06,"38,600.0"
2014-06-09,"38,840.0"
2014-06-10,"39,780.0"
2014-06-11,"39,700.0"
2014-06-12,"39,800.0"
2014-06-13,"39,680.0"
2014-06-16,"39,500.0"
2014-06-17,"39,400.0"
2014-06-18,"39,500.0"
2014-06-19,"39,580.0"
2014-06-20,"39,860.0"
2014-06-24,"40,000.0"
2014-06-25,"39,820.0"
2014-06-26,"39,900.0"
2014-06-27,"39,900.0"
2014-07-01,"40,000.0"
2014-07-02,"39,900.0"
2014-07-03,"39,960.0"
2014-07-04,"39,980.0"
2014-07-07,"39,780.0"
2014-07-08,"40,040.0"
2014-07-09,"39,980.0"
2014-07-10,"39,300.0"
2014-07-11,"39,580.0"
2014-07-14,"39,500.0"
2014-07-15,"39,200.0"
2014-07-16,"39,500.0"
2014-07-17,"39,640.0"
2014-07-18,"39,600.0"
2014-07-21,"39,360.0"
2014-07-22,"39,700.0"
2014-07-23,"39,540.0"
2014-07-24,"39,600.0"
2014-07-25,"40,000.0"
2014-07-28,"40,700.0"
2014-07-29,"41,100.0"
2014-07-30,"41,420.0"
2014-07-31,"41,800.0"
2014-08-01,"41,020.0"
2014-08-04,"41,520.0"
2014-08-05,"42,000.0"
2014-08-06,"41,820.0"
2014-08-08,"41,800.0"
2014-08-11,"43,900.0"
2014-08-12,"42,800.0"
2014-08-13,"42,500.0"
2014-08-14,"42,500.0"
2014-08-15,"42,300.0"
2014-08-19,"42,700.0"
2014-08-20,"43,320.0"
2014-08-21,"43,500.0"
2014-08-22,"43,500.0"
2014-08-25,"43,480.0"
2014-08-26,"43,300.0"
2014-08-27,"43,500.0"
2014-08-28,"43,500.0"
2014-08-29,"44,100.0"
2014-09-01,"44,200.0"
2014-09-02,"44,000.0"
2014-09-03,"44,300.0"
2014-09-04,"44,000.0"
2014-09-05,"43,980.0"
2014-09-08,"43,980.0"
2014-09-09,"43,960.0"
2014-09-10,"43,880.0"
2014-09-11,"43,360.0"
2014-09-12,"42,800.0"
2014-09-15,"42,780.0"
2014-09-16,"42,600.0"
2014-09-17,"43,360.0"
2014-09-18,"43,800.0"
2014-09-19,"43,700.0"
2014-09-22,"43,600.0"
2014-09-23,"42,000.0"
2014-09-24,"40,900.0"
2014-09-25,"40,920.0"
2014-09-26,"41,140.0"
2014-09-29,"41,200.0"
2014-09-30,"40,640.0"
2014-10-01,"39,300.0"
2014-10-02,"39,400.0"
2014-10-03,"40,880.0"
2014-10-06,"42,000.0"
2014-10-07,"42,000.0"
2014-10-08,"41,220.0"
2014-10-09,"40,900.0"
2014-10-10,"39,620.0"
2014-10-14,"38,820.0"
2014-10-15,"38,800.0"
2014-10-16,"39,100.0"
2014-10-17,"39,360.0"
2014-10-20,"39,360.0"
2014-10-21,"39,680.0"
2014-10-22,"39,800.0"
2014-10-23,"40,100.0"
2014-10-24,"40,320.0"
2014-10-27,"40,300.0"
2014-10-28,"41,180.0"
2014-10-29,"41,200.0"
2014-10-30,"41,800.0"
2014-10-31,"42,780.0"
2014-11-04,"42,720.0"
2014-11-05,"42,600.0"
2014-11-06,"42,600.0"
2014-11-07,"41,980.0"
2014-11-10,"42,100.0"
2014-11-11,"41,860.0"
2014-11-12,"41,580.0"
2014-11-13,"40,500.0"
2014-11-14,"40,260.0"
2014-11-18,"40,200.0"
2014-11-19,"40,100.0"
2014-11-20,"40,600.0"
2014-11-21,"40,500.0"
2014-11-24,"40,640.0"
2014-11-25,"40,700.0"
2014-11-26,"40,500.0"
2014-11-27,"40,500.0"
2014-11-28,"40,580.0"
2014-12-01,"40,480.0"
2014-12-02,"40,000.0"
2014-12-03,"40,400.0"
2014-12-04,"40,100.0"
2014-12-05,"40,100.0"
2014-12-09,"41,060.0"
2014-12-10,"39,800.0"
2014-12-11,"38,500.0"
2014-12-12,"36,720.0"
2014-12-15,"35,420.0"
2014-12-16,"36,020.0"
2014-12-17,"38,000.0"
2014-12-18,"37,100.0"
2014-12-19,"38,200.0"
2014-12-22,"40,280.0"
2014-12-23,"40,280.0"
2014-12-24,"40,520.0"
2014-12-26,"40,000.0"
2014-12-29,"39,820.0"
2014-12-30,"40,000.0"
2015-01-02,"39,700.0"
2015-01-05,"37,820.0"
2015-01-06,"37,600.0"
2015-01-07,"37,000.0"
2015-01-08,"36,820.0"
2015-01-09,"36,220.0"
2015-01-13,"35,600.0"
2015-01-14,"34,600.0"
2015-01-15,"34,200.0"
2015-01-16,"34,500.0"
2015-01-19,"34,700.0"
2015-01-20,"34,460.0"
2015-01-21,"34,300.0"
2015-01-22,"34,400.0"
2015-01-23,"35,000.0"
2015-01-26,"34,900.0"
2015-01-27,"34,500.0"
2015-01-28,"34,800.0"
2015-01-29,"35,000.0"
2015-01-30,"35,400.0"
2015-02-02,"35,580.0"
2015-02-03,"35,600.0"
2015-02-04,"35,780.0"
2015-02-05,"35,600.0"
2015-02-06,"35,600.0"
2015-02-09,"35,760.0"
2015-02-10,"35,160.0"
2015-02-11,"34,500.0"
2015-02-12,"34,700.0"
2015-02-13,"35,360.0"
2015-02-16,"35,400.0"
2015-02-17,"35,500.0"
2015-02-18,"35,600.0"
2015-02-19,"35,300.0"
2015-02-20,"34,540.0"
2015-02-23,"35,040.0"
2015-02-24,"34,600.0"
2015-02-25,"34,500.0"
2015-02-26,"35,020.0"
2015-02-27,"35,040.0"
2015-03-02,"33,720.0"
2015-03-03,"33,020.0"
2015-03-04,"33,520.0"
2015-03-05,"33,600.0"
2015-03-06,"32,780.0"
2015-03-09,"32,240.0"
2015-03-10,"32,040.0"
2015-03-11,"32,000.0"
2015-03-12,"32,620.0"
2015-03-13,"32,860.0"
2015-03-16,"32,880.0"
2015-03-17,"32,740.0"
2015-03-18,"32,700.0"
2015-03-19,"32,460.0"
2015-03-20,"31,620.0"
2015-03-24,"32,100.0"
2015-03-25,"32,680.0"
2015-03-26,"32,900.0"
2015-03-27,"32,900.0"
2015-03-30,"33,020.0"
2015-03-31,"33,560.0"
2015-04-01,"34,200.0"
2015-04-06,"34,820.0"
2015-04-07,"35,300.0"
2015-04-08,"35,200.0"
2015-04-09,"35,520.0"
2015-04-10,"35,500.0"
2015-04-13,"35,500.0"
2015-04-14,"35,580.0"
2015-04-15,"35,600.0"
2015-04-16,"35,660.0"
2015-04-17,"35,500.0"
2015-04-20,"35,000.0"
2015-04-21,"34,600.0"
2015-04-22,"34,600.0"
2015-04-23,"34,500.0"
2015-04-24,"35,600.0"
2015-04-27,"36,260.0"
2015-04-28,"36,940.0"
2015-04-29,"37,100.0"
2015-04-30,"39,140.0"
2015-05-04,"37,160.0"
2015-05-05,"37,500.0"
2015-05-06,"37,280.0"
2015-05-07,"35,600.0"
2015-05-08,"35,560.0"
2015-05-11,"35,840.0"
2015-05-12,"35,280.0"
2015-05-13,"35,540.0"
2015-05-14,"35,500.0"
2015-05-15,"35,500.0"
2015-05-19,"36,200.0"
2015-05-20,"35,200.0"
2015-05-21,"35,240.0"
2015-05-22,"35,020.0"
2015-05-25,"34,900.0"
2015-05-26,"34,600.0"
2015-05-27,"33,320.0"
2015-05-28,"33,280.0"
2015-05-29,"33,820.0"
2015-06-01,"33,620.0"
2015-06-02,"34,020.0"
2015-06-03,"34,400.0"
2015-06-04,"34,820.0"
2015-06-05,"35,500.0"
2015-06-09,"35,700.0"
2015-06-10,"35,660.0"
2015-06-11,"36,180.0"
2015-06-12,"36,300.0"
2015-06-16,"36,320.0"
2015-06-17,"36,900.0"
2015-06-18,"37,000.0"
2015-06-19,"36,600.0"
2015-06-22,"36,540.0"
2015-06-23,"36,780.0"
2015-06-24,"36,740.0"
2015-06-25,"35,940.0"
2015-06-26,"36,340.0"
2015-06-30,"37,020.0"
2015-07-01,"37,220.0"
2015-07-02,"37,340.0"
2015-07-03,"36,680.0"
2015-07-06,"36,740.0"
2015-07-07,"36,600.0"
2015-07-08,"36,460.0"
2015-07-09,"36,700.0"
2015-07-10,"36,400.0"
2015-07-13,"36,400.0"
2015-07-14,"36,700.0"
2015-07-15,"37,000.0"
2015-07-16,"36,940.0"
2015-07-17,"36,000.0"
2015-07-21,"36,040.0"
2015-07-22,"36,500.0"
2015-07-23,"36,220.0"
2015-07-24,"36,220.0"
2015-07-27,"36,220.0"
2015-07-28,"36,200.0"
2015-07-29,"37,180.0"
2015-07-30,"37,000.0"
2015-07-31,"37,000.0"
2015-08-03,"36,860.0"
2015-08-04,"36,860.0"
2015-08-05,"36,340.0"
2015-08-06,"36,600.0"
2015-08-10,"36,540.0"
2015-08-11,"36,400.0"
2015-08-12,"36,460.0"
2015-08-13,"36,780.0"
2015-08-14,"36,600.0"
2015-08-18,"36,600.0"
2015-08-19,"36,000.0"
2015-08-20,"35,500.0"
2015-08-21,"34,060.0"
2015-08-24,"32,400.0"
2015-08-25,"32,240.0"
2015-08-26,"32,240.0"
2015-08-27,"33,360.0"
2015-08-28,"34,300.0"
2015-08-31,"35,300.0"
2015-09-01,"34,420.0"
2015-09-02,"33,240.0"
2015-09-03,"33,800.0"
2015-09-04,"33,500.0"
2015-09-07,"33,900.0"
2015-09-08,"34,280.0"
2015-09-09,"33,840.0"
2015-09-10,"34,880.0"
2015-09-11,"34,600.0"
2015-09-14,"35,300.0"
2015-09-15,"35,680.0"
2015-09-16,"35,800.0"
2015-09-17,"35,980.0"
2015-09-18,"35,920.0"
2015-09-21,"35,000.0"
2015-09-22,"34,880.0"
2015-09-23,"35,300.0"
2015-09-24,"35,220.0"
2015-09-25,"35,340.0"
2015-09-28,"35,100.0"
2015-09-29,"35,260.0"
2015-09-30,"35,880.0"
2015-10-01,"35,600.0"
2015-10-02,"36,560.0"
2015-10-05,"36,960.0"
2015-10-06,"36,920.0"
2015-10-07,"37,380.0"
2015-10-08,"37,300.0"
2015-10-09,"37,180.0"
2015-10-13,"37,400.0"
2015-10-14,"36,840.0"
2015-10-15,"36,020.0"
2015-10-16,"36,200.0"
2015-10-19,"36,760.0"
2015-10-20,"36,760.0"
2015-10-21,"36,840.0"
2015-10-22,"37,300.0"
2015-10-23,"37,240.0"
2015-10-26,"37,200.0"
2015-10-27,"37,160.0"
2015-10-28,"36,760.0"
2015-10-29,"36,460.0"
2015-10-30,"36,780.0"
2015-11-03,"37,140.0"
2015-11-04,"36,960.0"
2015-11-05,"36,480.0"
2015-11-06,"36,140.0"
2015-11-09,"36,180.0"
2015-11-10,"36,700.0"
2015-11-11,"36,460.0"
2015-11-12,"35,400.0"
2015-11-13,"34,600.0"
2015-11-17,"32,500.0"
2015-11-18,"32,860.0"
2015-11-19,"32,980.0"
2015-11-20,"33,520.0"
2015-11-23,"33,300.0"
2015-11-24,"32,900.0"
2015-11-25,"32,480.0"
2015-11-26,"31,920.0"
2015-11-27,"31,540.0"
2015-11-30,"32,360.0"
2015-12-01,"32,600.0"
2015-12-02,"31,540.0"
2015-12-03,"30,520.0"
2015-12-04,"30,400.0"
2015-12-07,"29,600.0"
2015-12-09,"30,160.0"
2015-12-10,"31,920.0"
2015-12-11,"31,500.0"
2015-12-14,"31,500.0"
2015-12-15,"33,000.0"
2015-12-16,"33,740.0"
2015-12-17,"34,160.0"
2015-12-18,"34,400.0"
2015-12-21,"34,500.0"
2015-12-22,"33,860.0"
2015-12-23,"35,400.0"
2015-12-24,"35,200.0"
2015-12-28,"35,400.0"
2015-12-29,"35,360.0"
2015-12-30,"35,700.0"
2016-01-04,"34,120.0"
2016-01-05,"34,280.0"
2016-01-06,"34,100.0"
2016-01-07,"32,520.0"
2016-01-08,"32,140.0"
2016-01-12,"30,900.0"
2016-01-13,"31,440.0"
2016-01-14,"32,500.0"
2016-01-15,"32,000.0"
2016-01-18,"31,020.0"
2016-01-19,"31,660.0"
2016-01-20,"32,500.0"
2016-01-21,"33,460.0"
2016-01-22,"34,600.0"
2016-01-25,"34,320.0"
2016-01-26,"34,540.0"
2016-01-27,"34,580.0"
2016-01-28,"35,000.0"
2016-01-29,"35,800.0"
2016-02-01,"35,640.0"
2016-02-02,"34,740.0"
2016-02-03,"35,300.0"
2016-02-04,"35,620.0"
2016-02-05,"35,620.0"
2016-02-08,"35,620.0"
2016-02-09,"35,700.0"
2016-02-10,"35,740.0"
2016-02-11,"35,680.0"
2016-02-12,"36,300.0"
2016-02-15,"36,380.0"
2016-02-16,"36,000.0"
2016-02-17,"36,880.0"
2016-02-18,"37,000.0"
2016-02-19,"37,380.0"
2016-02-22,"37,020.0"
2016-02-23,"36,620.0"
2016-02-24,"36,860.0"
2016-02-25,"37,500.0"
2016-02-26,"37,900.0"
