model,step,date,ret,mu_max,eps_max,epsilon,epsilon_fraction,status,status_code,status_description
1-WDRO-CVaR (eps=0.75),0,2021-01-04,-0.005571470696141421,0.001249063683821806,0.0009237560729049304,0.0006928170546786979,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),1,2021-01-05,0.0170606437539232,0.001203773662431662,0.0009506344463527117,0.0007129758347645338,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),2,2021-01-06,-0.004785362020735178,0.0013035875673493476,0.0010800995070157286,0.0008100746302617965,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),3,2021-01-07,0.005110659709481593,0.0014036505493273928,0.0011508651380959997,0.0008631488535719998,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),4,2021-01-08,0.004953504000479395,0.0014765849772395384,0.0011409501296525358,0.0008557125972394018,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),5,2021-01-12,0.016742908723412962,0.001615836246331881,0.0012160222421436341,0.0009120166816077256,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),6,2021-01-13,-0.004188622185370272,0.0016498987212977179,0.0012745292307059597,0.0009558969230294698,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),7,2021-01-14,0.005588168418291007,0.0015994215219200577,0.001192829730378399,0.0008946222977837993,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),8,2021-01-15,0.00029209042338384757,0.0015546280307539829,0.0011852107651162329,0.0008889080738371746,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),9,2021-01-18,-0.007664180629305507,0.001495602125651222,0.0011341797940542752,0.0008506348455407063,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),10,2021-01-19,0.022406314491842834,0.0013741120504675963,0.0009998861971366668,0.0007499146478525001,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),11,2021-01-20,-5.433403870509302e-06,0.0015496389561687064,0.0012325902392144913,0.0009244426794108684,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),12,2021-01-21,-0.014176346597877065,0.0015682881267499048,0.0012612743861694117,0.0009459557896270588,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),13,2021-01-22,-0.01903613165584077,0.0014225997964628979,0.0011342293654089128,0.0008506720240566846,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),14,2021-01-25,-0.009059533395631859,0.0012241748887522783,0.0009751779870639508,0.0007313834902979631,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),15,2021-01-26,-0.0026647743647810864,0.0012470202374464433,0.0008326831275261598,0.0006245123456446199,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),16,2021-01-27,-0.018799492698953944,0.0012442455741150731,0.0008685691654557238,0.0006514268740917928,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),17,2021-01-28,-0.0017050759272586476,0.0011446800605172316,0.0007216281012715178,0.0005412210759536384,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),18,2021-01-29,-0.019483394525176622,0.0011307299691256198,0.0007058694267361238,0.0005294020700520928,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),19,2021-02-01,-0.008092566889070816,0.0011715540782081839,0.0006561319009058781,0.0004920989256794086,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),20,2021-02-02,-0.007973020309893311,0.001066720587886504,0.0005728268684695885,0.00042962015135219133,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),21,2021-02-03,-0.006664036280995718,0.001022003881077545,0.0005422396207872736,0.00040667971559045523,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),22,2021-02-04,-0.009089762630903385,0.000949976589505074,0.00045951479082947233,0.00034463609312210426,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),23,2021-02-05,0.012011345168080147,0.0008818085873817259,0.0004448999578391511,0.0003336749683793633,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),24,2021-02-08,0.009861001536536976,0.0009319031391960367,0.0004934193869437544,0.0003700645402078158,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),25,2021-02-09,-0.006528686738286395,0.0010506556587501134,0.0005997901845682128,0.0004498426384261596,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),26,2021-02-10,-0.007343308654494419,0.0010812044318275337,0.0006287649279392981,0.00047157369595447355,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),27,2021-02-11,0.009251836560425119,0.0010362798302268649,0.0005613020460864507,0.000420976534564838,0.75,optimal,2,optimal
1-WDRO-CVaR (eps=0.75),28,2021-02-12,-0.008191819252734035,0.0011575643759980457,0.0006464194121708258,0.0004848145591281193,0.75,optimal,2,optimal
