model,step,date,ret,mu_max,eps_max,epsilon,epsilon_fraction,status,status_code,status_description
MinVar,0,2021-01-04,-0.011868625289822052,0.001249063683821806,0.0009237560729049304,0.0,,optimal,2,Solución óptima
MinVar,1,2021-01-05,0.006387861989784999,0.001203773662431662,0.0009506344463527117,0.0,,optimal,2,Solución óptima
MinVar,2,2021-01-06,-0.0022322498279919462,0.0013035875673493476,0.0010800995070157286,0.0,,optimal,2,Solución óptima
MinVar,3,2021-01-07,-0.0011777057261793044,0.0014036505493273928,0.0011508651380959997,0.0,,optimal,2,Solución óptima
MinVar,4,2021-01-08,-0.0019066603060911348,0.0014765849772395384,0.0011409501296525358,0.0,,optimal,2,Solución óptima
MinVar,5,2021-01-12,0.009410582385599851,0.001615836246331881,0.0012160222421436341,0.0,,optimal,2,Solución óptima
MinVar,6,2021-01-13,-0.0018983567082690384,0.0016498987212977179,0.0012745292307059597,0.0,,optimal,2,Solución óptima
MinVar,7,2021-01-14,0.005740397650082155,0.0015994215219200577,0.001192829730378399,0.0,,optimal,2,Solución óptima
MinVar,8,2021-01-15,0.0016336556688526726,0.0015546280307539829,0.0011852107651162329,0.0,,optimal,2,Solución óptima
MinVar,9,2021-01-18,-0.0026944846404175805,0.001495602125651222,0.0011341797940542752,0.0,,optimal,2,Solución óptima
MinVar,10,2021-01-19,0.007594657904193019,0.0013741120504675963,0.0009998861971366668,0.0,,optimal,2,Solución óptima
MinVar,11,2021-01-20,0.003349113224139273,0.0015496389561687064,0.0012325902392144913,0.0,,optimal,2,Solución óptima
MinVar,12,2021-01-21,-0.007327436196495834,0.0015682881267499048,0.0012612743861694117,0.0,,optimal,2,Solución óptima
MinVar,13,2021-01-22,0.0029068370391202004,0.0014225997964628979,0.0011342293654089128,0.0,,optimal,2,Solución óptima
MinVar,14,2021-01-25,-0.010151527416102646,0.0012241748887522783,0.0009751779870639508,0.0,,optimal,2,Solución óptima
MinVar,15,2021-01-26,-0.0005354432307078164,0.0012470202374464433,0.0008326831275261598,0.0,,optimal,2,Solución óptima
MinVar,16,2021-01-27,-0.0067968163416152125,0.0012442455741150731,0.0008685691654557238,0.0,,optimal,2,Solución óptima
MinVar,17,2021-01-28,0.002839110918324554,0.0011446800605172316,0.0007216281012715178,0.0,,optimal,2,Solución óptima
MinVar,18,2021-01-29,-0.017462218952572148,0.0011307299691256198,0.0007058694267361238,0.0,,optimal,2,Solución óptima
MinVar,19,2021-02-01,0.0006265857787856705,0.0011715540782081839,0.0006561319009058781,0.0,,optimal,2,Solución óptima
MinVar,20,2021-02-02,-0.0007011774005753422,0.001066720587886504,0.0005728268684695885,0.0,,optimal,2,Solución óptima
MinVar,21,2021-02-03,0.0013519875693146187,0.001022003881077545,0.0005422396207872736,0.0,,optimal,2,Solución óptima
MinVar,22,2021-02-04,-0.004326685466116955,0.000949976589505074,0.00045951479082947233,0.0,,optimal,2,Solución óptima
MinVar,23,2021-02-05,0.010819919390762349,0.0008818085873817259,0.0004448999578391511,0.0,,optimal,2,Solución óptima
MinVar,24,2021-02-08,0.0023318742144708016,0.0009319031391960367,0.0004934193869437544,0.0,,optimal,2,Solución óptima
MinVar,25,2021-02-09,-0.002550273976823156,0.0010506556587501134,0.0005997901845682128,0.0,,optimal,2,Solución óptima
MinVar,26,2021-02-10,-0.001528354561795494,0.0010812044318275337,0.0006287649279392981,0.0,,optimal,2,Solución óptima
MinVar,27,2021-02-11,0.005559946911559061,0.0010362798302268649,0.0005613020460864507,0.0,,optimal,2,Solución óptima
MinVar,28,2021-02-12,-0.005655140450805561,0.0011575643759980457,0.0006464194121708258,0.0,,optimal,2,Solución óptima
MinVar,29,2021-02-15,0.005905146072509082,0.0011639027678403174,0.000744178877635564,0.0,,optimal,2,Solución óptima
MinVar,30,2021-02-16,-0.0032449352371055266,0.001112594758512128,0.0006523320806123964,0.0,,optimal,2,Solución óptima
