model,step,date,ret,mu_max,eps_max,epsilon,epsilon_fraction,status,status_code,status_description
SAA-Markowitz,0,2021-01-04,-0.010831185635637567,0.001249063683821806,0.0009237560729049304,0.0,,optimal,2,Solución óptima
SAA-Markowitz,1,2021-01-05,0.009960415686769118,0.001203773662431662,0.0009506344463527117,0.0,,optimal,2,Solución óptima
SAA-Markowitz,2,2021-01-06,-0.00398189758503441,0.0013035875673493476,0.0010800995070157286,0.0,,optimal,2,Solución óptima
SAA-Markowitz,3,2021-01-07,-0.00019521134346563683,0.0014036505493273928,0.0011508651380959997,0.0,,optimal,2,Solución óptima
SAA-Markowitz,4,2021-01-08,0.001290842935748806,0.0014765849772395384,0.0011409501296525358,0.0,,optimal,2,Solución óptima
SAA-Markowitz,5,2021-01-12,0.013962136920896906,0.001615836246331881,0.0012160222421436341,0.0,,optimal,2,Solución óptima
SAA-Markowitz,6,2021-01-13,-0.0016313940524298033,0.0016498987212977179,0.0012745292307059597,0.0,,optimal,2,Solución óptima
SAA-Markowitz,7,2021-01-14,0.006054574500523858,0.0015994215219200577,0.001192829730378399,0.0,,optimal,2,Solución óptima
SAA-Markowitz,8,2021-01-15,0.0010306987025770493,0.0015546280307539829,0.0011852107651162329,0.0,,optimal,2,Solución óptima
SAA-Markowitz,9,2021-01-18,-0.004837536804438796,0.001495602125651222,0.0011341797940542752,0.0,,optimal,2,Solución óptima
SAA-Markowitz,10,2021-01-19,0.016548348501104277,0.0013741120504675963,0.0009998861971366668,0.0,,optimal,2,Solución óptima
SAA-Markowitz,11,2021-01-20,0.0003735077840579065,0.0015496389561687064,0.0012325902392144913,0.0,,optimal,2,Solución óptima
SAA-Markowitz,12,2021-01-21,-0.009306594538442056,0.0015682881267499048,0.0012612743861694117,0.0,,optimal,2,Solución óptima
SAA-Markowitz,13,2021-01-22,-0.004053157936987773,0.0014225997964628979,0.0011342293654089128,0.0,,optimal,2,Solución óptima
SAA-Markowitz,14,2021-01-25,-0.00949498830369555,0.0012241748887522783,0.0009751779870639508,0.0,,optimal,2,Solución óptima
SAA-Markowitz,15,2021-01-26,-0.0013554416341956524,0.0012470202374464433,0.0008326831275261598,0.0,,optimal,2,Solución óptima
SAA-Markowitz,16,2021-01-27,-0.010973358710462289,0.0012442455741150731,0.0008685691654557238,0.0,,optimal,2,Solución óptima
SAA-Markowitz,17,2021-01-28,0.002509997011869882,0.0011446800605172316,0.0007216281012715178,0.0,,optimal,2,Solución óptima
SAA-Markowitz,18,2021-01-29,-0.021556099507422575,0.0011307299691256198,0.0007058694267361238,0.0,,optimal,2,Solución óptima
SAA-Markowitz,19,2021-02-01,-0.004821582426735609,0.0011715540782081839,0.0006561319009058781,0.0,,optimal,2,Solución óptima
SAA-Markowitz,20,2021-02-02,-0.0036275750162079357,0.001066720587886504,0.0005728268684695885,0.0,,optimal,2,Solución óptima
SAA-Markowitz,21,2021-02-03,-0.001844831209541792,0.001022003881077545,0.0005422396207872736,0.0,,optimal,2,Solución óptima
SAA-Markowitz,22,2021-02-04,-0.008311431963483861,0.000949976589505074,0.00045951479082947233,0.0,,optimal,2,Solución óptima
SAA-Markowitz,23,2021-02-05,0.011933763562778539,0.0008818085873817259,0.0004448999578391511,0.0,,optimal,2,Solución óptima
SAA-Markowitz,24,2021-02-08,0.0064044875522619475,0.0009319031391960367,0.0004934193869437544,0.0,,optimal,2,Solución óptima
SAA-Markowitz,25,2021-02-09,-0.004907751769313495,0.0010506556587501134,0.0005997901845682128,0.0,,optimal,2,Solución óptima
SAA-Markowitz,26,2021-02-10,-0.003781600578927149,0.0010812044318275337,0.0006287649279392981,0.0,,optimal,2,Solución óptima
SAA-Markowitz,27,2021-02-11,0.009648927040370597,0.0010362798302268649,0.0005613020460864507,0.0,,optimal,2,Solución óptima
SAA-Markowitz,28,2021-02-12,-0.008976077307836408,0.0011575643759980457,0.0006464194121708258,0.0,,optimal,2,Solución óptima
SAA-Markowitz,29,2021-02-15,0.0014332049805196375,0.0011639027678403174,0.000744178877635564,0.0,,optimal,2,Solución óptima
SAA-Markowitz,30,2021-02-16,-0.003400682279251865,0.001112594758512128,0.0006523320806123964,0.0,,optimal,2,Solución óptima
SAA-Markowitz,31,2021-02-17,-0.004655106027683688,0.0011158693157686593,0.0006288678103822503,0.0,,optimal,2,Solución óptima
SAA-Markowitz,32,2021-02-18,0.0010080528253461414,0.0009972794773051847,0.000525678019889818,0.0,,optimal,2,Solución óptima
SAA-Markowitz,33,2021-02-19,-0.001063753395219389,0.0010139879397509889,0.0005577470378817005,0.0,,optimal,2,Solución óptima
SAA-Markowitz,34,2021-02-22,-0.008708587380151494,0.0010382290289903612,0.0005759737187348583,0.0,,optimal,2,Solución óptima
SAA-Markowitz,35,2021-02-23,0.0019635101043706873,0.0009645614713305192,0.0005293368782711527,0.0,,optimal,2,Solución óptima
SAA-Markowitz,36,2021-02-24,0.012784080859917788,0.0009924312739308867,0.0005365015942565869,0.0,,optimal,2,Solución óptima
SAA-Markowitz,37,2021-02-25,-0.007519992254329246,0.0009924312739308867,0.0006041033141283621,0.0,,optimal,2,Solución óptima
SAA-Markowitz,38,2021-02-26,-1.111656315540277e-05,0.0009972794773051776,0.000519299691071231,0.0,,optimal,2,Solución óptima
SAA-Markowitz,39,2021-03-01,0.011816211536004905,0.0009050383716280378,0.0005366975852353554,0.0,,optimal,2,Solución óptima
SAA-Markowitz,40,2021-03-02,0.0014673167361203383,0.0009732439467171264,0.000567992914829175,0.0,,optimal,2,Solución óptima
SAA-Markowitz,41,2021-03-03,-0.0020036836596540337,0.0008818756594228675,0.0004993981098367764,0.0,,optimal,2,Solución óptima
SAA-Markowitz,42,2021-03-04,-0.010191727629024153,0.0008447653149566775,0.00043559917738971354,0.0,,optimal,2,Solución óptima
SAA-Markowitz,43,2021-03-05,0.003163922140941048,0.0007371717855538753,0.0003067004559971706,0.0,,optimal,2,Solución óptima
SAA-Markowitz,44,2021-03-08,0.0016881920827709963,0.0008812888490712978,0.0004396118813363496,0.0,,optimal,2,Solución óptima
SAA-Markowitz,45,2021-03-09,-0.0024509004175438157,0.0008385281494730377,0.00037061422539163,0.0,,optimal,2,Solución óptima
SAA-Markowitz,46,2021-03-10,-0.00014453660548127602,0.0008729523453327051,0.00039983453667519187,0.0,,optimal,2,Solución óptima
SAA-Markowitz,47,2021-03-11,-0.002482469803580487,0.0009358282176251024,0.00046613386987547046,0.0,,optimal,2,Solución óptima
SAA-Markowitz,48,2021-03-12,0.0031300133168079064,0.00094478226711273,0.0004650333221196827,0.0,,optimal,2,Solución óptima
SAA-Markowitz,49,2021-03-15,-0.0014354228294105697,0.0009749337719979308,0.0005091623785757192,0.0,,optimal,2,Solución óptima
SAA-Markowitz,50,2021-03-16,-0.008569372429355094,0.0009898115210555277,0.0005468884244191415,0.0,,optimal,2,Solución óptima
SAA-Markowitz,51,2021-03-17,0.009292550620653114,0.0010211333729015328,0.0005327789120505239,0.0,,optimal,2,Solución óptima
SAA-Markowitz,52,2021-03-18,-0.001409908942104548,0.000972142445224393,0.0005826159612579533,0.0,,optimal,2,Solución óptima
