model,step,date,ret,mu_max,eps_max,epsilon,epsilon_fraction,status,status_code,status_description
2-WDRO-CVaR-M (eps=1.00),0,2021-01-04,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),1,2021-01-05,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),2,2021-01-06,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),3,2021-01-07,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),4,2021-01-08,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),5,2021-01-12,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),6,2021-01-13,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),7,2021-01-14,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),8,2021-01-15,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),9,2021-01-18,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),10,2021-01-19,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),11,2021-01-20,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),12,2021-01-21,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),13,2021-01-22,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),14,2021-01-25,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),15,2021-01-26,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),16,2021-01-27,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),17,2021-01-28,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),18,2021-01-29,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),19,2021-02-01,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),20,2021-02-02,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),21,2021-02-03,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),22,2021-02-04,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),23,2021-02-05,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),24,2021-02-08,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),25,2021-02-09,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),26,2021-02-10,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),27,2021-02-11,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),28,2021-02-12,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),29,2021-02-15,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),30,2021-02-16,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),31,2021-02-17,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),32,2021-02-18,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),33,2021-02-19,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),34,2021-02-22,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),35,2021-02-23,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),36,2021-02-24,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),37,2021-02-25,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),38,2021-02-26,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),39,2021-03-01,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),40,2021-03-02,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),41,2021-03-03,,,,,1.0,error,-1,desconocido
2-WDRO-CVaR-M (eps=1.00),42,2021-03-04,,,,,1.0,error,-1,desconocido
