Modelo,Tipo,Epsilon frac,Media (diaria),Media (anual),Std (diaria),Std (anual),Sharpe (diario),Sharpe (anual),CVaR(0.05),Turnover promedio,Avg. Portfolio Assets,N iter. OK
SAA-Markowitz,BENCHMARK,,0.0004879,0.1229508,0.0163052,0.2588370256630222,0.0299,0.475,-0.039429,0.078,5.77,1222.0
MinVar,BENCHMARK,,-0.0001291,-0.0325332,0.0089547,0.14215145559114054,-0.0144,-0.2289,-0.02157,0.0165,15.51,1250.0
EqualWeight,BENCHMARK,,0.000167,0.042083999999999996,0.0090476,0.14362619737192794,0.0185,0.2931,-0.021254,0.0,20.0,1250.0
2-WDRO-Markowitz (eps=0.50),DRO,0.5,0.0006791,0.17113319999999999,0.0181898,0.28875412318801613,0.0373,0.5926,-0.043807,0.0757,4.5,1222.0
2-WDRO-Markowitz (eps=0.75),DRO,0.75,0.0008177,0.2060604,0.0196663,0.3121928340527374,0.0416,0.6601,-0.046955,0.0737,3.85,1222.0
2-WDRO-Markowitz (eps=1.00),DRO,1.0,0.0010144,0.2556288,0.0224694,0.3566906670530083,0.0451,0.7167,-0.05233,0.0688,2.8,1222.0
1-WDRO-CVaR (eps=0.50),DRO,0.5,0.0006598,0.1662696,0.0182558,0.2898018407071977,0.0361,0.5737,-0.043957,0.0809,4.48,1222.0
1-WDRO-CVaR (eps=0.75),DRO,0.75,0.0008145,0.205254,0.0197026,0.31276907868828724,0.0413,0.6562,-0.046981,0.0765,3.92,1222.0
1-WDRO-CVaR (eps=1.00),DRO,1.0,0.0010123,0.25509960000000004,0.0224545,0.3564541368857991,0.0451,0.7157,-0.052327,0.0676,2.8,1222.0
2-WDRO-CVaR (eps=0.50),DRO,0.5,0.0008621,0.2172492,0.0208464,0.3309263407858613,0.0414,0.6565,-0.050078,0.1312,16.11,1222.0
2-WDRO-CVaR (eps=0.75),DRO,0.75,0.0009008,0.2270016,0.0221283,0.3512758724197835,0.0407,0.6462,-0.053203,0.129,15.41,1222.0
2-WDRO-CVaR (eps=1.00),DRO,1.0,0.0010053,0.2533356,0.0237302,0.3767052465709497,0.0424,0.6725,-0.055687,0.0715,18.15,1222.0
